t,own_known,merged_known,total
1.0,0,0,45369
2.0,1668,1668,45369
3.0,3586,3978,45369
4.0,5418,6086,45369
5.0,6147,6876,45369
6.0,6954,7599,45369
7.0,7551,8153,45369
8.0,8002,8594,45369
9.0,8211,8858,45369
10.0,8681,9447,45369
11.0,9473,10340,45369
12.0,10516,11360,45369
13.0,11270,12119,45369
14.0,11953,12875,45369
15.0,12408,13363,45369
16.0,13101,14059,45369
17.0,13790,14772,45369
18.0,14428,15413,45369
19.0,15035,16063,45369
20.0,15629,16746,45369
21.0,16261,17513,45369
22.0,16961,18353,45369
23.0,17591,19117,45369
24.0,18139,19816,45369
25.0,18706,20505,45369
26.0,19280,21157,45369
27.0,19695,21677,45369
28.0,20206,22229,45369
29.0,20718,22773,45369
30.0,21259,23372,45369
31.0,21788,24020,45369
32.0,22304,24736,45369
33.0,22836,25523,45369
34.0,23484,26358,45369
35.0,24167,27265,45369
36.0,24902,28233,45369
37.0,25262,28758,45369
38.0,25704,29249,45369
39.0,25937,29479,45369
40.0,26040,29612,45369
41.0,26159,29751,45369
42.0,26225,29910,45369
43.0,26279,30238,45369
44.0,26302,30531,45369
45.0,26345,30890,45369
46.0,26400,31120,45369
47.0,26442,31282,45369
48.0,26498,31357,45369
49.0,26537,31417,45369
50.0,26632,31495,45369
51.0,26734,31591,45369
52.0,26862,31669,45369
53.0,26977,31759,45369
54.0,27171,31894,45369
55.0,27413,32068,45369
56.0,27664,32238,45369
57.0,27829,32361,45369
58.0,28120,32594,45369
59.0,28400,32845,45369
60.0,28691,33107,45369
61.0,29009,33441,45369
62.0,29204,33639,45369
63.0,29539,33991,45369
64.0,29893,34362,45369
65.0,30154,34668,45369
66.0,30517,35038,45369
67.0,30813,35363,45369
68.0,31055,35623,45369
69.0,31256,35828,45369
70.0,31357,35937,45369
71.0,31420,36029,45369
72.0,31463,36086,45369
73.0,31504,36140,45369
74.0,31531,36216,45369
75.0,31544,36277,45369
76.0,31556,36367,45369
77.0,31588,36518,45369
78.0,31604,36609,45369
79.0,31613,36662,45369
80.0,31641,36699,45369
81.0,31684,36726,45369
82.0,31707,36788,45369
83.0,31753,36805,45369
84.0,31788,36820,45369
85.0,31819,36822,45369
86.0,31845,36828,45369
87.0,31859,36829,45369
88.0,31875,36833,45369
89.0,31879,36834,45369
90.0,31887,36840,45369
91.0,31885,36844,45369
92.0,31900,36845,45369
93.0,31893,36856,45369
94.0,31896,36860,45369
95.0,31908,36866,45369
96.0,31916,36871,45369
97.0,31925,36889,45369
98.0,31932,36898,45369
99.0,31939,36912,45369
100.0,31955,36914,45369
101.0,32011,36924,45369
102.0,32046,36928,45369
103.0,32164,36941,45369
104.0,32384,37017,45369
105.0,32711,37165,45369
106.0,33024,37375,45369
107.0,33637,37789,45369
108.0,34239,38252,45369
109.0,34653,38594,45369
110.0,35317,39163,45369
111.0,36045,39825,45369
112.0,36476,40238,45369
113.0,37148,40843,45369
114.0,37702,41359,45369
115.0,37988,41636,45369
116.0,38304,41941,45369
117.0,38518,42159,45369
118.0,38604,42333,45369
119.0,38732,42477,45369
120.0,38798,42630,45369
121.0,38819,42706,45369
122.0,38832,42727,45369
123.0,38871,42777,45369
124.0,38886,42830,45369
125.0,38899,42856,45369
126.0,38929,42885,45369
127.0,38945,42918,45369
128.0,38967,42939,45369
129.0,38991,42956,45369
130.0,39014,42991,45369
131.0,39057,43013,45369
132.0,39120,43057,45369
133.0,39164,43114,45369
134.0,39206,43146,45369
135.0,39221,43213,45369
136.0,39231,43288,45369
137.0,39245,43319,45369
138.0,39262,43343,45369
139.0,39274,43355,45369
140.0,39283,43372,45369
141.0,39292,43390,45369
142.0,39307,43412,45369
143.0,39322,43446,45369
144.0,39314,43489,45369
145.0,39311,43524,45369
146.0,39327,43560,45369
147.0,39340,43592,45369
148.0,39344,43609,45369
149.0,39352,43624,45369
150.0,39362,43635,45369
151.0,39360,43659,45369
152.0,39379,43675,45369
153.0,39393,43700,45369
154.0,39401,43720,45369
155.0,39416,43755,45369
156.0,39420,43790,45369
157.0,39427,43812,45369
158.0,39430,43833,45369
159.0,39430,43858,45369
160.0,39425,43881,45369
161.0,39425,43886,45369
162.0,39422,43898,45369
163.0,39427,43902,45369
164.0,39433,43905,45369
165.0,39433,43905,45369
166.0,39435,43906,45369
167.0,39427,43906,45369
168.0,39433,43906,45369
169.0,39444,43907,45369
170.0,39436,43907,45369
171.0,39440,43907,45369
172.0,39446,43907,45369
173.0,39446,43909,45369
174.0,39448,43909,45369
175.0,39452,43910,45369
176.0,39457,43910,45369
177.0,39452,43910,45369
178.0,39451,43911,45369
179.0,39448,43911,45369
180.0,39448,43911,45369
181.0,39452,43912,45369
182.0,39453,43915,45369
183.0,39456,43919,45369
184.0,39457,43921,45369
185.0,39454,43924,45369
186.0,39450,43924,45369
187.0,39443,43925,45369
188.0,39444,43928,45369
189.0,39445,43931,45369
190.0,39452,43934,45369
191.0,39452,43934,45369
192.0,39453,43940,45369
193.0,39458,43940,45369
194.0,39460,43940,45369
195.0,39461,43942,45369
196.0,39462,43942,45369
197.0,39461,43943,45369
198.0,39458,43943,45369
199.0,39456,43943,45369
200.0,39459,43943,45369
201.0,39466,43943,45369
202.0,39468,43943,45369
203.0,39466,43943,45369
204.0,39466,43943,45369
205.0,39466,43943,45369
206.0,39470,43943,45369
207.0,39471,43943,45369
208.0,39473,43943,45369
209.0,39473,43943,45369
210.0,39473,43943,45369
211.0,39471,43943,45369
212.0,39471,43943,45369
213.0,39473,43943,45369
214.0,39474,43943,45369
215.0,39475,43943,45369
216.0,39471,43943,45369
217.0,39469,43943,45369
218.0,39472,43943,45369
219.0,39468,43943,45369
220.0,39473,43943,45369
221.0,39471,43943,45369
222.0,39467,43943,45369
223.0,39470,43943,45369
224.0,39472,43943,45369
225.0,39472,43943,45369
226.0,39475,43943,45369
227.0,39477,43943,45369
228.0,39477,43943,45369
229.0,39474,43943,45369
230.0,39474,43943,45369
231.0,39473,43943,45369
232.0,39475,43943,45369
233.0,39472,43943,45369
234.0,39470,43943,45369
235.0,39468,43943,45369
236.0,39468,43943,45369
237.0,39470,43943,45369
238.0,39464,43943,45369
239.0,39462,43943,45369
240.0,39465,43943,45369
241.0,39465,43943,45369
242.0,39463,43943,45369
243.0,39469,43943,45369
244.0,39474,43943,45369
245.0,39475,43943,45369
246.0,39473,43943,45369
247.0,39476,43943,45369
248.0,39477,43943,45369
249.0,39476,43943,45369
250.0,39477,43943,45369
251.0,39475,43943,45369
252.0,39476,43943,45369
253.0,39474,43943,45369
254.0,39475,43943,45369
255.0,39473,43943,45369
256.0,39474,43943,45369
257.0,39475,43943,45369
