t,gt_x,gt_y,dr_x,dr_y,cdr_x,cdr_y,fused_x,fused_y,P_trace,fb_x,fb_y,b_hat,b_true
1.5,-11.0,-11.0,-11.0,-11.0,-11.0,-11.0,-10.993,-10.957,0.04001,-10.993,-10.957,0.0,0.0741
2.0,-10.734,-10.732,-10.703,-10.699,-10.702,-10.701,-10.669,-10.668,0.04113,-10.669,-10.668,0.0,0.0741
2.5,-10.442,-10.436,-10.383,-10.374,-10.382,-10.375,-10.318,-10.358,0.04259,-10.317,-10.358,-0.0008,0.0741
3.0,-10.176,-10.172,-10.093,-10.088,-10.098,-10.083,-10.125,-10.066,0.04464,-10.13,-10.073,0.0077,0.0741
3.5,-9.879,-9.882,-9.776,-9.778,-9.779,-9.776,-9.774,-9.754,0.04803,-9.778,-9.758,0.0031,0.0741
4.0,-9.613,-9.618,-9.487,-9.489,-9.488,-9.489,-9.468,-9.514,0.04854,-9.482,-9.526,0.0089,0.0741
4.5,-9.319,-9.324,-9.172,-9.174,-9.175,-9.172,-9.221,-9.23,0.04917,-9.255,-9.27,0.0272,0.0741
5.0,-9.026,-9.029,-8.853,-8.85,-8.857,-8.846,-9.019,-9.004,0.04832,-9.108,-9.112,0.0705,0.0741
5.5,-8.763,-8.763,-8.574,-8.568,-8.577,-8.566,-8.781,-8.737,0.04891,-8.888,-8.872,0.0793,0.0741
6.0,-8.47,-8.468,-8.263,-8.254,-8.262,-8.256,-8.492,-8.435,0.05037,-8.615,-8.591,0.083,0.0741
6.5,-8.207,-8.201,-7.989,-7.975,-7.987,-7.978,-8.214,-8.162,0.0517,-8.347,-8.324,0.0794,0.0741
7.0,-7.913,-7.907,-7.676,-7.661,-7.674,-7.665,-7.892,-7.821,0.05493,-8.016,-7.977,0.0665,0.0741
7.5,-7.609,-7.628,-7.344,-7.36,-7.342,-7.363,-7.574,-7.521,0.05681,-7.708,-7.689,0.0663,0.0741
8.0,-7.431,-7.547,-7.156,-7.286,-7.155,-7.287,-7.427,-7.442,0.05456,-7.569,-7.625,0.0721,0.0741
8.5,-7.11,-7.684,-6.814,-7.44,-6.812,-7.439,-7.06,-7.567,0.05413,-7.182,-7.702,0.0552,0.0741
9.0,-6.73,-7.759,-6.401,-7.512,-6.4,-7.515,-6.691,-7.657,0.05255,-6.849,-7.804,0.0663,0.0741
9.5,-6.365,-7.724,-6.005,-7.47,-6.004,-7.472,-6.32,-7.636,0.05179,-6.507,-7.788,0.0727,0.0741
10.0,-5.968,-7.615,-5.572,-7.348,-5.571,-7.353,-5.881,-7.527,0.05301,-6.08,-7.673,0.0692,0.0741
10.5,-5.624,-7.473,-5.215,-7.198,-5.215,-7.2,-5.531,-7.379,0.05515,-5.745,-7.529,0.0689,0.0741
11.0,-5.268,-7.266,-4.829,-6.971,-4.828,-6.975,-5.15,-7.162,0.05631,-5.377,-7.32,0.0681,0.0741
11.5,-4.942,-7.011,-4.478,-6.695,-4.48,-6.695,-4.775,-6.877,0.05876,-4.979,-7.023,0.0564,0.0741
12.0,-4.667,-6.759,-4.181,-6.422,-4.186,-6.419,-4.518,-6.633,0.05926,-4.781,-6.82,0.0705,0.0741
12.5,-4.378,-6.461,-3.873,-6.105,-3.879,-6.101,-4.246,-6.35,0.06008,-4.57,-6.583,0.0838,0.0741
13.0,-4.126,-6.183,-3.6,-5.805,-3.609,-5.799,-3.996,-6.071,0.06096,-4.357,-6.334,0.0899,0.0741
13.5,-3.85,-5.872,-3.305,-5.476,-3.314,-5.47,-3.705,-5.747,0.06316,-4.08,-6.026,0.0888,0.0741
14.0,-3.576,-5.56,-2.998,-5.129,-3.009,-5.122,-3.398,-5.397,0.06603,-3.778,-5.686,0.0851,0.0741
14.5,-3.327,-5.28,-2.728,-4.83,-2.741,-4.821,-3.126,-5.087,0.06873,-3.496,-5.376,0.0794,0.0741
15.0,-3.054,-4.967,-2.427,-4.488,-2.44,-4.479,-2.822,-4.739,0.0719,-3.187,-5.03,0.0747,0.0741
15.5,-2.779,-4.655,-2.129,-4.154,-2.151,-4.136,-2.518,-4.373,0.07471,-2.833,-4.634,0.0619,0.0741
16.0,-2.53,-4.375,-1.857,-3.851,-1.881,-3.832,-2.253,-4.077,0.07427,-2.571,-4.342,0.0608,0.0741
16.5,-2.254,-4.064,-1.559,-3.518,-1.586,-3.497,-1.958,-3.774,0.07522,-2.317,-4.065,0.0652,0.0741
17.0,-2.005,-3.784,-1.287,-3.216,-1.318,-3.192,-1.686,-3.48,0.07494,-2.046,-3.769,0.0631,0.0741
17.5,-1.73,-3.473,-0.991,-2.883,-1.025,-2.856,-1.402,-3.168,0.07401,-1.793,-3.478,0.0664,0.0741
18.0,-1.457,-3.159,-0.698,-2.549,-0.732,-2.522,-1.114,-2.839,0.07409,-1.504,-3.151,0.0645,0.0741
18.5,-1.211,-2.877,-0.424,-2.24,-0.461,-2.211,-0.856,-2.568,0.0721,-1.298,-2.913,0.0712,0.0741
19.0,-0.938,-2.563,-0.128,-1.904,-0.167,-1.872,-0.565,-2.256,0.07167,-1.032,-2.614,0.0728,0.0741
19.5,-0.689,-2.283,0.142,-1.604,0.1,-1.571,-0.298,-1.95,0.07349,-0.762,-2.309,0.0699,0.0741
20.0,-0.414,-1.971,0.441,-1.27,0.395,-1.233,-0.007,-1.603,0.0743,-0.455,-1.956,0.0658,0.0741
20.5,-0.139,-1.659,0.738,-0.938,0.69,-0.9,0.285,-1.274,0.0743,-0.159,-1.625,0.0636,0.0741
21.0,0.107,-1.377,1.008,-0.633,0.958,-0.593,0.527,-1.016,0.07175,0.009,-1.415,0.073,0.0741
21.5,0.381,-1.064,1.305,-0.299,1.25,-0.256,0.806,-0.739,0.06884,0.231,-1.168,0.0795,0.0741
22.0,0.658,-0.754,1.611,0.039,1.552,0.087,1.101,-0.428,0.06827,0.497,-0.873,0.0815,0.0741
22.5,0.907,-0.474,1.879,0.335,1.817,0.386,1.334,-0.115,0.06783,0.732,-0.571,0.0807,0.0741
23.0,1.182,-0.163,2.179,0.67,2.113,0.723,1.618,0.216,0.06779,1.008,-0.251,0.0803,0.0741
23.5,1.432,0.116,2.451,0.97,2.384,1.024,1.852,0.472,0.06592,1.179,-0.038,0.0878,0.0741
24.0,1.709,0.427,2.748,1.3,2.681,1.355,2.137,0.775,0.06545,1.44,0.251,0.0892,0.0741
24.5,1.985,0.737,3.049,1.635,2.981,1.69,2.411,1.109,0.06444,1.717,0.577,0.0883,0.0741
25.0,2.233,1.018,3.311,1.929,3.24,1.986,2.658,1.404,0.0643,1.966,0.869,0.0868,0.0741
25.5,2.511,1.327,3.612,2.261,3.538,2.32,2.935,1.73,0.06272,2.253,1.197,0.0853,0.0741
26.0,2.761,1.605,3.88,2.556,3.804,2.618,3.19,2.009,0.06234,2.497,1.469,0.0853,0.0741
26.5,3.037,1.916,4.179,2.889,4.1,2.954,3.457,2.311,0.06126,2.73,1.748,0.0886,0.0741
27.0,3.313,2.228,4.474,3.219,4.393,3.285,3.733,2.592,0.06048,2.966,2.008,0.0921,0.0741
27.5,3.561,2.508,4.751,3.53,4.669,3.597,4.001,2.863,0.05949,3.218,2.276,0.0928,0.0741
28.0,3.835,2.821,5.052,3.869,4.97,3.937,4.267,3.168,0.05881,3.45,2.554,0.0961,0.0741
28.5,4.11,3.133,5.343,4.196,5.257,4.266,4.547,3.481,0.05826,3.738,2.872,0.0943,0.0741
29.0,4.359,3.413,5.612,4.495,5.526,4.566,4.805,3.739,0.05778,3.971,3.12,0.0959,0.0741
29.5,4.634,3.725,5.91,4.828,5.821,4.901,5.082,4.031,0.05676,4.23,3.404,0.0972,0.0741
30.0,4.882,4.005,6.179,5.128,6.088,5.202,5.337,4.321,0.05672,4.481,3.687,0.0965,0.0741
30.5,5.154,4.319,6.474,5.463,6.379,5.541,5.605,4.637,0.05644,4.733,3.99,0.0973,0.0741
31.0,5.428,4.633,6.775,5.803,6.679,5.882,5.887,4.969,0.05658,5.009,4.311,0.0968,0.0741
31.5,5.676,4.913,7.05,6.107,6.947,6.191,6.14,5.265,0.05633,5.257,4.603,0.0963,0.0741
32.0,5.949,5.226,7.35,6.445,7.248,6.529,6.411,5.57,0.05594,5.502,4.889,0.0982,0.0741
32.5,6.196,5.508,7.622,6.748,7.517,6.835,6.65,5.846,0.05519,5.726,5.156,0.0995,0.0741
33.0,6.472,5.819,7.919,7.076,7.811,7.165,6.929,6.149,0.0551,5.989,5.45,0.0999,0.0741
33.5,6.747,6.131,8.216,7.406,8.106,7.497,7.199,6.429,0.05415,6.241,5.728,0.1013,0.0741
34.0,6.991,6.415,8.484,7.71,8.367,7.806,7.445,6.737,0.05428,6.488,6.028,0.1003,0.0741
34.5,7.26,6.732,8.78,8.054,8.658,8.154,7.713,7.065,0.05339,6.768,6.364,0.0991,0.0741
35.0,7.525,7.053,9.07,8.397,8.947,8.498,7.964,7.388,0.05325,6.999,6.666,0.1005,0.0741
35.5,7.764,7.341,9.333,8.707,9.208,8.809,8.201,7.673,0.0518,7.261,6.972,0.0989,0.0741
36.0,8.039,7.653,9.64,9.047,9.51,9.153,8.444,8.018,0.05192,7.482,7.282,0.1008,0.0741
36.5,8.291,7.93,9.919,9.347,9.787,9.457,8.703,8.268,0.05029,7.773,7.573,0.099,0.0741
37.0,8.572,8.236,10.219,9.666,10.081,9.78,8.979,8.591,0.05065,8.042,7.885,0.0984,0.0741
37.5,8.85,8.545,10.519,9.992,10.381,10.106,9.297,8.943,0.05146,8.321,8.192,0.0978,0.0741
38.0,9.104,8.821,10.798,10.289,10.659,10.404,9.543,9.246,0.05166,8.558,8.478,0.0979,0.0741
38.5,9.386,9.125,11.104,10.613,10.964,10.728,9.828,9.528,0.05182,8.837,8.778,0.0977,0.0741
39.0,9.638,9.392,11.379,10.897,11.234,11.018,10.099,9.817,0.05265,9.099,9.05,0.0969,0.0741
39.5,9.832,9.598,11.592,11.121,11.443,11.245,10.288,10.042,0.04206,9.507,9.42,0.0851,0.0741
40.0,9.961,9.743,11.731,11.274,11.581,11.399,10.394,10.194,0.04198,9.616,9.567,0.0855,0.0741
40.5,10.036,9.828,11.812,11.362,11.662,11.487,10.47,10.26,0.04016,9.766,9.725,0.0812,0.0741
41.0,10.055,9.849,11.832,11.386,11.682,11.511,10.447,10.251,0.04005,9.765,9.726,0.0822,0.0741
41.5,10.055,9.849,11.832,11.386,11.681,11.511,10.44,10.233,0.04002,9.767,9.725,0.0821,0.0741
42.0,10.055,9.849,11.832,11.385,11.681,11.511,10.404,10.173,0.04002,9.754,9.683,0.0833,0.0741
42.5,10.055,9.849,11.831,11.385,11.681,11.51,10.389,10.141,0.04002,9.751,9.671,0.0835,0.0741
43.0,10.055,9.849,11.831,11.385,11.68,11.51,10.339,10.134,0.04002,9.72,9.681,0.0841,0.0741
43.5,10.057,9.849,11.833,11.384,11.683,11.51,10.337,10.075,0.04002,9.727,9.648,0.0845,0.0741
44.0,10.207,9.71,11.992,11.222,11.843,11.349,10.471,9.904,0.04027,9.862,9.509,0.0847,0.0741
44.5,10.317,9.378,12.102,10.856,11.955,10.984,10.59,9.483,0.04049,9.98,9.148,0.0845,0.0741
45.0,10.367,8.967,12.151,10.415,12.009,10.544,10.633,9.034,0.04055,10.041,8.76,0.0842,0.0741
45.5,10.397,8.594,12.179,10.015,12.044,10.145,10.52,8.675,0.0405,10.025,8.52,0.0845,0.0741
46.0,10.454,8.206,12.242,9.608,12.11,9.739,10.385,8.245,0.04049,10.012,8.135,0.0856,0.0741
46.5,10.683,7.97,12.496,9.36,12.364,9.492,10.641,7.988,0.04046,10.304,7.876,0.0849,0.0741
47.0,10.978,7.766,12.804,9.123,12.682,9.268,10.971,7.757,0.04055,10.634,7.643,0.0845,0.0741
47.5,11.267,7.469,13.109,8.785,12.995,8.938,11.263,7.436,0.04063,10.925,7.335,0.0845,0.0741
