t,gt_x,gt_y,dr_x,dr_y,cdr_x,cdr_y,fused_x,fused_y,P_trace,fb_x,fb_y,b_hat,b_true
1.5,-10.2,-12.8,-10.2,-12.8,-10.2,-12.8,-10.248,-12.725,0.04001,-10.248,-12.725,0.0,-0.0401
2.0,-10.2,-12.8,-10.2,-12.8,-10.2,-12.8,-10.259,-12.713,0.04002,-10.259,-12.713,-0.0,-0.0401
2.5,-10.218,-12.784,-10.22,-12.786,-10.219,-12.784,-10.273,-12.674,0.04003,-10.273,-12.674,-0.0,-0.0401
3.0,-10.341,-12.762,-10.34,-12.777,-10.338,-12.769,-10.393,-12.688,0.04018,-10.393,-12.688,0.0001,-0.0401
3.5,-10.435,-12.777,-10.426,-12.799,-10.426,-12.783,-10.485,-12.671,0.04018,-10.485,-12.671,-0.0003,-0.0401
4.0,-10.435,-12.777,-10.426,-12.799,-10.426,-12.783,-10.503,-12.689,0.04002,-10.503,-12.689,-0.0009,-0.0401
4.5,-10.449,-12.757,-10.439,-12.78,-10.439,-12.763,-10.529,-12.682,0.04005,-10.529,-12.682,-0.0013,-0.0401
5.0,-10.433,-12.576,-10.418,-12.603,-10.416,-12.587,-10.505,-12.52,0.04025,-10.505,-12.519,-0.0012,-0.0401
5.5,-10.285,-12.356,-10.273,-12.394,-10.27,-12.378,-10.363,-12.294,0.04053,-10.363,-12.293,-0.002,-0.0401
6.0,-10.019,-12.091,-10.017,-12.14,-10.015,-12.124,-10.103,-12.085,0.04141,-10.103,-12.085,0.0013,-0.0401
6.5,-9.779,-11.877,-9.787,-11.933,-9.782,-11.919,-9.905,-11.876,0.04186,-9.905,-11.877,0.0016,-0.0401
7.0,-9.529,-11.636,-9.549,-11.699,-9.543,-11.687,-9.656,-11.668,0.04296,-9.659,-11.67,0.0043,-0.0401
7.5,-9.28,-11.386,-9.312,-11.458,-9.303,-11.45,-9.412,-11.458,0.04485,-9.419,-11.464,0.0084,-0.0401
8.0,-9.046,-11.135,-9.098,-11.217,-9.085,-11.212,-9.169,-11.241,0.04697,-9.18,-11.245,0.0089,-0.0401
8.5,-8.875,-10.859,-8.94,-10.939,-8.923,-10.935,-9.006,-10.99,0.04951,-9.025,-11.002,0.0143,-0.0401
9.0,-8.877,-10.481,-8.959,-10.556,-8.929,-10.551,-9.025,-10.626,0.05185,-9.05,-10.651,0.0207,-0.0401
9.5,-8.941,-10.17,-9.028,-10.265,-8.991,-10.259,-9.101,-10.302,0.05101,-9.114,-10.323,0.0132,-0.0401
10.0,-8.914,-9.975,-8.999,-10.082,-8.959,-10.076,-9.09,-10.161,0.05138,-9.118,-10.209,0.0285,-0.0401
10.5,-8.722,-9.806,-8.809,-9.925,-8.769,-9.918,-8.905,-10.03,0.05156,-8.948,-10.091,0.0365,-0.0401
11.0,-8.355,-9.68,-8.455,-9.819,-8.418,-9.804,-8.544,-9.95,0.05262,-8.613,-10.022,0.0446,-0.0401
11.5,-7.947,-9.606,-8.059,-9.761,-8.025,-9.735,-8.157,-9.906,0.05404,-8.255,-9.988,0.052,-0.0401
12.0,-7.577,-9.55,-7.7,-9.716,-7.666,-9.682,-7.778,-9.859,0.05444,-7.886,-9.929,0.0477,-0.0401
12.5,-7.169,-9.472,-7.303,-9.65,-7.271,-9.609,-7.373,-9.792,0.05616,-7.494,-9.855,0.0456,-0.0401
13.0,-6.807,-9.382,-6.96,-9.572,-6.93,-9.525,-7.01,-9.732,0.05786,-7.146,-9.787,0.0447,-0.0401
13.5,-6.411,-9.258,-6.58,-9.46,-6.551,-9.407,-6.578,-9.586,0.05911,-6.669,-9.6,0.0217,-0.0401
14.0,-6.025,-9.104,-6.207,-9.317,-6.181,-9.255,-6.232,-9.412,0.06194,-6.325,-9.441,0.0228,-0.0401
14.5,-5.685,-8.949,-5.877,-9.172,-5.855,-9.103,-5.866,-9.253,0.0631,-5.922,-9.25,0.0081,-0.0401
15.0,-5.323,-8.748,-5.534,-8.985,-5.513,-8.913,-5.493,-9.06,0.06421,-5.517,-9.031,-0.0029,-0.0401
15.5,-4.972,-8.523,-5.19,-8.77,-5.176,-8.689,-5.186,-8.834,0.06191,-5.229,-8.828,0.0051,-0.0401
16.0,-4.666,-8.31,-4.897,-8.569,-4.885,-8.484,-4.961,-8.634,0.05664,-5.045,-8.677,0.0218,-0.0401
16.5,-4.339,-8.054,-4.576,-8.324,-4.568,-8.234,-4.662,-8.342,0.05198,-4.717,-8.386,0.0159,-0.0401
17.0,-4.046,-7.821,-4.287,-8.098,-4.281,-8.006,-4.417,-8.127,0.04842,-4.488,-8.195,0.0245,-0.0401
17.5,-3.727,-7.554,-3.973,-7.841,-3.968,-7.747,-4.103,-7.885,0.0479,-4.18,-7.952,0.025,-0.0401
18.0,-3.41,-7.285,-3.669,-7.588,-3.671,-7.487,-3.827,-7.599,0.04436,-3.887,-7.671,0.0226,-0.0401
18.5,-3.129,-7.038,-3.396,-7.353,-3.402,-7.248,-3.554,-7.353,0.04305,-3.606,-7.421,0.0195,-0.0401
19.0,-2.825,-6.754,-3.099,-7.081,-3.108,-6.972,-3.226,-7.024,0.04326,-3.24,-7.064,0.0058,-0.0401
19.5,-2.561,-6.489,-2.839,-6.827,-2.853,-6.713,-3.005,-6.782,0.04269,-3.029,-6.842,0.0121,-0.0401
20.0,-2.262,-6.2,-2.552,-6.558,-2.569,-6.441,-2.697,-6.507,0.0428,-2.715,-6.552,0.0078,-0.0401
20.5,-1.965,-5.91,-2.256,-6.277,-2.278,-6.156,-2.411,-6.193,0.04277,-2.412,-6.235,0.0043,-0.0401
21.0,-1.701,-5.644,-2.001,-6.027,-2.028,-5.9,-2.134,-5.919,0.04265,-2.122,-5.944,-0.0014,-0.0401
21.5,-1.414,-5.343,-1.719,-5.74,-1.749,-5.61,-1.845,-5.643,0.04339,-1.838,-5.664,-0.0009,-0.0401
22.0,-1.131,-5.038,-1.451,-5.457,-1.484,-5.325,-1.558,-5.343,0.04363,-1.54,-5.348,-0.0052,-0.0401
22.5,-0.883,-4.758,-1.211,-5.193,-1.248,-5.057,-1.385,-5.102,0.04362,-1.391,-5.149,0.0053,-0.0401
23.0,-0.605,-4.448,-0.94,-4.9,-0.984,-4.759,-1.146,-4.814,0.04438,-1.161,-4.878,0.0091,-0.0401
23.5,-0.349,-4.176,-0.692,-4.645,-0.741,-4.498,-0.86,-4.57,0.04512,-0.878,-4.616,0.0065,-0.0401
