t,tx,rx,relayed,dup_dropped
2.0,7,8,7,7
4.0,17,28,27,27
6.0,27,49,47,47
8.0,37,70,67,67
10.0,47,90,87,87
12.0,57,111,107,107
14.0,67,132,126,121
16.0,77,152,146,141
18.0,87,172,166,160
20.0,97,192,186,178
22.0,107,213,206,197
24.0,117,234,225,216
26.0,127,256,245,234
28.0,137,277,265,254
30.0,147,297,285,272
32.0,157,318,304,290
34.0,167,340,324,309
36.0,177,362,342,327
38.0,187,385,361,345
40.0,198,411,382,364
42.0,210,438,405,379
44.0,220,462,426,399
46.0,230,486,446,419
48.0,240,509,466,439
50.0,250,531,486,459
52.0,260,553,506,479
54.0,270,575,526,499
56.0,280,597,546,518
58.0,290,620,566,537
60.0,300,643,586,556
62.0,310,665,606,574
64.0,320,689,625,588
66.0,330,712,645,607
68.0,341,736,667,627
70.0,352,761,690,648
72.0,364,785,713,670
74.0,376,811,737,694
76.0,387,836,760,716
78.0,399,862,783,739
80.0,411,889,807,763
82.0,422,914,830,786
84.0,434,939,853,809
86.0,446,963,875,831
88.0,456,985,895,851
90.0,466,1007,915,871
92.0,476,1029,935,890
94.0,486,1051,955,910
96.0,496,1073,975,930
98.0,506,1095,995,950
100.0,516,1117,1015,969
102.0,526,1139,1035,988
104.0,536,1161,1055,1008
106.0,546,1181,1075,1028
108.0,556,1202,1095,1047
110.0,566,1224,1115,1066
112.0,576,1248,1135,1086
114.0,586,1270,1155,1106
116.0,596,1290,1175,1124
118.0,606,1313,1195,1144
120.0,616,1335,1215,1164
122.0,627,1359,1236,1185
124.0,638,1384,1259,1208
126.0,650,1409,1282,1231
128.0,662,1435,1306,1255
130.0,673,1460,1329,1278
132.0,685,1485,1352,1301
134.0,696,1511,1376,1325
136.0,706,1533,1396,1345
138.0,716,1555,1416,1365
140.0,726,1577,1436,1385
142.0,736,1599,1456,1405
144.0,746,1621,1476,1425
146.0,756,1643,1496,1445
148.0,766,1666,1516,1465
150.0,776,1688,1535,1484
152.0,786,1710,1555,1504
154.0,796,1730,1575,1524
156.0,806,1751,1595,1544
158.0,816,1771,1615,1564
160.0,826,1792,1635,1584
162.0,836,1812,1655,1604
164.0,846,1832,1675,1624
166.0,856,1852,1695,1644
168.0,866,1872,1715,1664
170.0,876,1892,1735,1684
172.0,886,1913,1755,1704
174.0,896,1934,1775,1724
176.0,906,1954,1795,1744
178.0,916,1974,1815,1764
180.0,926,1994,1835,1784
182.0,936,2014,1855,1804
184.0,946,2034,1875,1824
186.0,956,2054,1895,1844
188.0,966,2074,1915,1864
190.0,976,2094,1935,1884
192.0,986,2115,1955,1904
194.0,996,2135,1975,1924
196.0,1006,2155,1995,1944
198.0,1016,2175,2015,1964
200.0,1026,2196,2035,1984
202.0,1036,2216,2055,2004
204.0,1046,2237,2075,2024
206.0,1056,2257,2095,2044
208.0,1066,2277,2115,2064
210.0,1076,2297,2135,2084
212.0,1086,2318,2155,2104
214.0,1096,2338,2175,2124
216.0,1106,2358,2195,2144
218.0,1116,2379,2215,2164
220.0,1126,2399,2235,2184
222.0,1136,2420,2255,2204
224.0,1146,2440,2275,2224
226.0,1156,2461,2295,2244
228.0,1166,2482,2315,2264
230.0,1176,2502,2335,2284
232.0,1186,2522,2355,2304
234.0,1196,2543,2375,2324
236.0,1206,2564,2395,2343
238.0,1216,2584,2415,2363
240.0,1226,2605,2435,2383
242.0,1236,2626,2455,2403
244.0,1246,2646,2475,2423
246.0,1256,2666,2495,2443
248.0,1266,2688,2515,2463
250.0,1276,2708,2535,2483
252.0,1286,2728,2555,2503
254.0,1296,2749,2575,2523
256.0,1306,2769,2595,2543
258.0,1316,2790,2615,2563
260.0,1326,2811,2635,2583
262.0,1336,2831,2655,2603
264.0,1346,2853,2675,2623
266.0,1356,2875,2695,2643
268.0,1366,2895,2715,2663
270.0,1376,2916,2735,2683
272.0,1386,2937,2755,2703
274.0,1396,2958,2775,2723
276.0,1406,2979,2795,2743
