t,own_known,merged_known,total
1.0,0,0,45369
2.0,24,1776,45369
3.0,3214,4760,45369
4.0,4401,6335,45369
5.0,5063,7139,45369
6.0,5451,7518,45369
7.0,5906,7969,45369
8.0,6211,8418,45369
9.0,6616,8791,45369
10.0,6848,9235,45369
11.0,7214,9836,45369
12.0,7572,10751,45369
13.0,7892,11684,45369
14.0,8323,12435,45369
15.0,8868,13137,45369
16.0,9269,13817,45369
17.0,10129,14455,45369
18.0,10962,14912,45369
19.0,11712,15561,45369
20.0,12390,16325,45369
21.0,13067,17100,45369
22.0,13689,17933,45369
23.0,14236,18671,45369
24.0,14731,19447,45369
25.0,15292,20151,45369
26.0,15878,20813,45369
27.0,16466,21449,45369
28.0,17129,21977,45369
29.0,17641,22446,45369
30.0,18241,23002,45369
31.0,18802,23585,45369
32.0,19396,24207,45369
33.0,20010,24844,45369
34.0,20537,25651,45369
35.0,21060,26619,45369
36.0,21600,27548,45369
37.0,22032,28250,45369
38.0,22296,28830,45369
39.0,22695,29212,45369
40.0,23315,29424,45369
41.0,23963,29574,45369
42.0,24801,29714,45369
43.0,25408,29829,45369
44.0,25730,29908,45369
45.0,25867,29992,45369
46.0,26048,30063,45369
47.0,26172,30161,45369
48.0,26286,30294,45369
49.0,26403,30432,45369
50.0,26482,30586,45369
51.0,26566,30709,45369
52.0,26659,30793,45369
53.0,26707,30887,45369
54.0,26774,31013,45369
55.0,26804,31152,45369
56.0,26820,31315,45369
57.0,26852,31543,45369
58.0,26900,31724,45369
59.0,26947,31976,45369
60.0,26995,32256,45369
61.0,27043,32527,45369
62.0,27087,32716,45369
63.0,27184,33074,45369
64.0,27315,33452,45369
65.0,27436,33734,45369
66.0,27597,34097,45369
67.0,27833,34456,45369
68.0,27961,34692,45369
69.0,28136,34875,45369
70.0,28363,35082,45369
71.0,28531,35191,45369
72.0,28820,35297,45369
73.0,29035,35404,45369
74.0,29361,35550,45369
75.0,29562,35635,45369
76.0,29619,35739,45369
77.0,29727,35794,45369
78.0,29784,35846,45369
79.0,29823,35889,45369
80.0,29833,35899,45369
81.0,29858,35919,45369
82.0,29863,35927,45369
83.0,29876,35934,45369
84.0,29895,35941,45369
85.0,29916,35951,45369
86.0,29946,35957,45369
87.0,29955,35958,45369
88.0,29974,35974,45369
89.0,29974,35979,45369
90.0,29984,35992,45369
91.0,29988,36001,45369
92.0,30000,36003,45369
93.0,30029,36009,45369
94.0,30057,36018,45369
95.0,30067,36025,45369
96.0,30071,36028,45369
97.0,30070,36030,45369
98.0,30089,36032,45369
99.0,30123,36036,45369
100.0,30136,36037,45369
101.0,30151,36037,45369
102.0,30181,36037,45369
103.0,30195,36037,45369
104.0,30201,36037,45369
105.0,30242,36037,45369
106.0,30261,36037,45369
107.0,30306,36037,45369
108.0,30316,36037,45369
109.0,30353,36037,45369
110.0,30390,36037,45369
111.0,30457,36049,45369
112.0,30540,36131,45369
113.0,30594,36306,45369
114.0,30699,36545,45369
115.0,30913,37004,45369
116.0,31053,37547,45369
117.0,31309,37941,45369
118.0,31600,38610,45369
119.0,31859,39087,45369
120.0,32303,39761,45369
121.0,33061,40445,45369
122.0,33677,40826,45369
123.0,34559,41316,45369
124.0,35307,41750,45369
125.0,35785,41989,45369
126.0,36518,42256,45369
127.0,37081,42364,45369
128.0,37575,42500,45369
129.0,37807,42606,45369
130.0,38016,42670,45369
131.0,38137,42723,45369
132.0,38220,42771,45369
133.0,38259,42813,45369
134.0,38277,42837,45369
135.0,38296,42850,45369
136.0,38311,42862,45369
137.0,38316,42873,45369
138.0,38332,42893,45369
139.0,38343,42914,45369
140.0,38361,42945,45369
141.0,38400,42969,45369
142.0,38464,42986,45369
143.0,38549,43002,45369
144.0,38619,43018,45369
145.0,38661,43024,45369
146.0,38678,43026,45369
147.0,38687,43027,45369
148.0,38690,43028,45369
149.0,38708,43026,45369
150.0,38730,43030,45369
151.0,38746,43035,45369
152.0,38750,43037,45369
153.0,38762,43042,45369
154.0,38769,43042,45369
155.0,38773,43043,45369
156.0,38771,43043,45369
157.0,38774,43044,45369
158.0,38772,43044,45369
159.0,38771,43048,45369
160.0,38766,43048,45369
161.0,38764,43048,45369
162.0,38772,43048,45369
163.0,38765,43049,45369
164.0,38760,43050,45369
165.0,38761,43050,45369
166.0,38756,43051,45369
167.0,38763,43052,45369
168.0,38763,43052,45369
169.0,38756,43052,45369
170.0,38759,43052,45369
171.0,38764,43052,45369
172.0,38778,43052,45369
173.0,38775,43052,45369
174.0,38778,43054,45369
175.0,38772,43054,45369
176.0,38771,43054,45369
177.0,38768,43054,45369
178.0,38772,43054,45369
179.0,38765,43054,45369
180.0,38761,43054,45369
181.0,38768,43056,45369
182.0,38768,43056,45369
183.0,38768,43056,45369
184.0,38762,43060,45369
185.0,38770,43060,45369
186.0,38774,43060,45369
187.0,38768,43060,45369
188.0,38771,43060,45369
189.0,38772,43060,45369
190.0,38769,43060,45369
191.0,38771,43060,45369
192.0,38769,43060,45369
193.0,38767,43060,45369
194.0,38777,43060,45369
195.0,38780,43060,45369
196.0,38779,43060,45369
197.0,38781,43060,45369
198.0,38781,43060,45369
199.0,38780,43060,45369
200.0,38778,43060,45369
201.0,38778,43060,45369
202.0,38781,43060,45369
203.0,38776,43060,45369
204.0,38772,43060,45369
205.0,38762,43060,45369
206.0,38764,43060,45369
207.0,38764,43060,45369
208.0,38772,43060,45369
209.0,38775,43060,45369
210.0,38774,43060,45369
211.0,38775,43061,45369
212.0,38771,43061,45369
213.0,38773,43061,45369
214.0,38777,43061,45369
215.0,38780,43061,45369
216.0,38780,43061,45369
217.0,38782,43062,45369
218.0,38789,43062,45369
219.0,38787,43062,45369
220.0,38786,43062,45369
221.0,38780,43063,45369
222.0,38783,43063,45369
223.0,38784,43063,45369
224.0,38787,43063,45369
225.0,38784,43063,45369
226.0,38782,43063,45369
227.0,38784,43063,45369
228.0,38782,43063,45369
229.0,38782,43064,45369
230.0,38785,43064,45369
