t,own_known,merged_known,total
1.2,0,0,45369
2.0,23,23,45369
3.0,3337,4176,45369
4.0,4601,6206,45369
5.0,5454,7064,45369
6.0,5922,7860,45369
7.0,6323,8437,45369
8.0,6708,8902,45369
9.0,7130,9560,45369
10.0,7555,10294,45369
11.0,7827,11212,45369
12.0,8190,12054,45369
13.0,8456,12771,45369
14.0,9023,13387,45369
15.0,9948,13920,45369
16.0,10780,14522,45369
17.0,11472,15058,45369
18.0,12055,15630,45369
19.0,12716,16235,45369
20.0,13230,16851,45369
21.0,13763,17658,45369
22.0,14125,18508,45369
23.0,14740,19360,45369
24.0,15341,20154,45369
25.0,15983,20928,45369
26.0,16641,21636,45369
27.0,17288,22238,45369
28.0,17895,22811,45369
29.0,18497,23350,45369
30.0,19104,24047,45369
31.0,19641,24774,45369
32.0,20137,25412,45369
33.0,20661,26193,45369
34.0,21161,27109,45369
35.0,21624,27936,45369
36.0,22162,28572,45369
37.0,22549,29034,45369
38.0,23235,29443,45369
39.0,23996,29796,45369
40.0,24448,29999,45369
41.0,25105,30254,45369
42.0,25600,30424,45369
43.0,25920,30533,45369
44.0,26099,30608,45369
45.0,26272,30700,45369
46.0,26333,30729,45369
47.0,26421,30768,45369
48.0,26496,30827,45369
49.0,26567,30881,45369
50.0,26604,30923,45369
51.0,26694,31002,45369
52.0,26798,31102,45369
53.0,26923,31192,45369
54.0,27061,31354,45369
55.0,27170,31532,45369
56.0,27372,31744,45369
57.0,27514,31871,45369
58.0,27735,32086,45369
59.0,28012,32365,45369
60.0,28292,32649,45369
61.0,28589,32845,45369
62.0,28921,33153,45369
63.0,29221,33512,45369
64.0,29554,33753,45369
65.0,29898,34092,45369
66.0,30173,34390,45369
67.0,30548,34552,45369
68.0,31030,34720,45369
69.0,31260,34800,45369
70.0,31558,34876,45369
71.0,31793,34915,45369
72.0,31933,34949,45369
73.0,32066,34993,45369
74.0,32162,35041,45369
75.0,32294,35093,45369
76.0,32393,35158,45369
77.0,32443,35195,45369
78.0,32463,35223,45369
79.0,32485,35230,45369
80.0,32502,35263,45369
81.0,32523,35310,45369
82.0,32586,35368,45369
83.0,32662,35429,45369
84.0,32748,35457,45369
85.0,32829,35503,45369
86.0,32983,35548,45369
87.0,33116,35579,45369
88.0,33214,35628,45369
89.0,33248,35642,45369
90.0,33292,35668,45369
91.0,33337,35701,45369
92.0,33408,35733,45369
93.0,33458,35758,45369
94.0,33544,35799,45369
95.0,33613,35837,45369
96.0,33673,35880,45369
97.0,33707,35919,45369
98.0,33728,35930,45369
99.0,33745,35939,45369
100.0,33753,35941,45369
101.0,33782,35951,45369
102.0,33838,35961,45369
103.0,33864,35978,45369
104.0,33898,35996,45369
105.0,33936,36052,45369
106.0,33961,36192,45369
107.0,34012,36448,45369
108.0,34068,36884,45369
109.0,34125,37432,45369
110.0,34243,37759,45369
111.0,34462,38287,45369
112.0,34782,38783,45369
113.0,35228,39147,45369
114.0,35750,39635,45369
115.0,36094,40183,45369
116.0,36668,40647,45369
117.0,37177,41111,45369
118.0,37457,41387,45369
119.0,37787,41717,45369
120.0,38022,41878,45369
121.0,38125,41991,45369
122.0,38161,42048,45369
123.0,38187,42086,45369
124.0,38208,42109,45369
