t,own_known,merged_known,total
1.0,0,0,45369
2.0,43,43,45369
3.0,3646,3646,45369
4.0,5022,5024,45369
5.0,6299,6602,45369
6.0,7096,7447,45369
7.0,7508,7960,45369
8.0,7955,8446,45369
9.0,8313,8887,45369
10.0,8925,9603,45369
11.0,9734,10517,45369
12.0,10369,11292,45369
13.0,11213,12209,45369
14.0,12020,13030,45369
15.0,12512,13547,45369
16.0,13209,14264,45369
17.0,13899,14996,45369
18.0,14568,15710,45369
19.0,15212,16428,45369
20.0,15819,17243,45369
21.0,16436,18183,45369
22.0,16891,18959,45369
23.0,17587,19954,45369
24.0,18276,20921,45369
25.0,18884,21774,45369
26.0,19467,22506,45369
27.0,20075,23266,45369
28.0,20635,23951,45369
29.0,21204,24724,45369
30.0,21763,25569,45369
31.0,22300,26441,45369
32.0,22898,27473,45369
33.0,23399,28381,45369
34.0,24110,29368,45369
35.0,24748,30302,45369
36.0,25185,30990,45369
37.0,25802,31719,45369
38.0,26251,32171,45369
39.0,26396,32409,45369
40.0,26570,32661,45369
41.0,26662,32836,45369
42.0,26662,33063,45369
43.0,26722,33256,45369
44.0,26764,33323,45369
45.0,26791,33384,45369
46.0,26823,33430,45369
47.0,26873,33468,45369
48.0,26914,33489,45369
49.0,26984,33507,45369
50.0,27033,33512,45369
51.0,27136,33528,45369
52.0,27255,33536,45369
53.0,27345,33543,45369
54.0,27534,33576,45369
55.0,27798,33654,45369
56.0,27969,33735,45369
57.0,28280,33911,45369
58.0,28603,34139,45369
59.0,28819,34303,45369
60.0,29127,34518,45369
61.0,29498,34777,45369
62.0,29824,35033,45369
63.0,30049,35214,45369
64.0,30438,35542,45369
65.0,30838,35901,45369
66.0,31226,36247,45369
67.0,31570,36537,45369
68.0,31733,36695,45369
69.0,31943,36877,45369
70.0,32082,36963,45369
71.0,32183,37024,45369
72.0,32232,37073,45369
73.0,32280,37118,45369
74.0,32309,37192,45369
75.0,32333,37317,45369
76.0,32377,37491,45369
77.0,32402,37613,45369
78.0,32423,37663,45369
79.0,32427,37709,45369
80.0,32429,37733,45369
81.0,32438,37761,45369
82.0,32476,37788,45369
83.0,32501,37795,45369
84.0,32516,37803,45369
85.0,32534,37808,45369
86.0,32559,37809,45369
87.0,32562,37813,45369
88.0,32567,37815,45369
89.0,32584,37816,45369
90.0,32594,37817,45369
91.0,32602,37817,45369
92.0,32612,37817,45369
93.0,32650,37817,45369
94.0,32671,37817,45369
95.0,32716,37817,45369
96.0,32731,37817,45369
97.0,32746,37817,45369
98.0,32778,37817,45369
99.0,32845,37829,45369
100.0,32931,37850,45369
101.0,33018,37874,45369
102.0,33173,37916,45369
103.0,33320,37944,45369
104.0,33415,37962,45369
105.0,33684,37993,45369
106.0,34016,38084,45369
107.0,34505,38287,45369
108.0,35067,38591,45369
109.0,35448,38832,45369
110.0,36068,39290,45369
111.0,36727,39841,45369
112.0,37142,40191,45369
113.0,37691,40673,45369
114.0,38162,41109,45369
115.0,38425,41373,45369
116.0,38828,41777,45369
117.0,39138,42110,45369
118.0,39287,42290,45369
119.0,39426,42450,45369
120.0,39497,42550,45369
121.0,39524,42667,45369
122.0,39567,42802,45369
123.0,39589,42876,45369
124.0,39597,42963,45369
125.0,39607,43018,45369
126.0,39619,43083,45369
127.0,39631,43150,45369
128.0,39631,43168,45369
129.0,39659,43191,45369
130.0,39692,43227,45369
131.0,39763,43315,45369
132.0,39821,43439,45369
133.0,39879,43594,45369
134.0,39963,43722,45369
135.0,40028,43788,45369
136.0,40054,43813,45369
137.0,40120,43832,45369
138.0,40166,43858,45369
139.0,40198,43872,45369
140.0,40217,43881,45369
141.0,40229,43891,45369
142.0,40235,43895,45369
143.0,40233,43897,45369
144.0,40236,43897,45369
145.0,40236,43897,45369
146.0,40233,43896,45369
147.0,40244,43914,45369
148.0,40313,43973,45369
149.0,40414,44048,45369
150.0,40488,44098,45369
151.0,40567,44149,45369
152.0,40607,44163,45369
153.0,40623,44175,45369
154.0,40637,44179,45369
155.0,40659,44185,45369
156.0,40675,44190,45369
157.0,40694,44191,45369
158.0,40699,44192,45369
159.0,40709,44194,45369
160.0,40718,44196,45369
161.0,40719,44195,45369
162.0,40726,44197,45369
163.0,40732,44197,45369
164.0,40735,44197,45369
165.0,40739,44197,45369
166.0,40748,44197,45369
167.0,40759,44198,45369
168.0,40761,44197,45369
169.0,40759,44196,45369
170.0,40761,44199,45369
171.0,40770,44197,45369
172.0,40771,44197,45369
173.0,40771,44195,45369
174.0,40773,44197,45369
175.0,40779,44199,45369
176.0,40778,44200,45369
177.0,40786,44204,45369
178.0,40790,44207,45369
179.0,40792,44206,45369
180.0,40798,44209,45369
181.0,40800,44210,45369
182.0,40802,44212,45369
183.0,40803,44213,45369
184.0,40802,44213,45369
185.0,40801,44212,45369
186.0,40802,44211,45369
187.0,40801,44212,45369
188.0,40802,44213,45369
189.0,40805,44212,45369
190.0,40803,44212,45369
191.0,40805,44212,45369
192.0,40808,44212,45369
193.0,40814,44214,45369
194.0,40812,44213,45369
195.0,40813,44213,45369
196.0,40813,44213,45369
197.0,40814,44213,45369
198.0,40813,44213,45369
199.0,40817,44216,45369
200.0,40819,44216,45369
201.0,40817,44215,45369
202.0,40815,44214,45369
203.0,40816,44218,45369
204.0,40823,44222,45369
205.0,40818,44223,45369
206.0,40824,44226,45369
207.0,40830,44227,45369
208.0,40831,44227,45369
209.0,40830,44226,45369
210.0,40833,44226,45369
211.0,40836,44229,45369
212.0,40838,44231,45369
213.0,40840,44233,45369
214.0,40840,44235,45369
215.0,40838,44233,45369
216.0,40842,44233,45369
217.0,40841,44235,45369
218.0,40840,44235,45369
219.0,40842,44239,45369
220.0,40848,44240,45369
221.0,40847,44242,45369
222.0,40849,44243,45369
223.0,40844,44241,45369
224.0,40842,44241,45369
225.0,40845,44244,45369
226.0,40842,44246,45369
227.0,40837,44245,45369
228.0,40841,44245,45369
229.0,40844,44246,45369
230.0,40853,44249,45369
231.0,40853,44248,45369
232.0,40856,44248,45369
233.0,40857,44246,45369
234.0,40855,44245,45369
235.0,40854,44246,45369
236.0,40853,44246,45369
237.0,40851,44247,45369
238.0,40851,44247,45369
239.0,40850,44247,45369
240.0,40858,44252,45369
241.0,40862,44254,45369
242.0,40863,44252,45369
243.0,40861,44251,45369
244.0,40858,44250,45369
245.0,40858,44249,45369
246.0,40862,44252,45369
247.0,40859,44251,45369
248.0,40859,44251,45369
249.0,40857,44248,45369
250.0,40855,44247,45369
251.0,40857,44246,45369
252.0,40855,44246,45369
253.0,40862,44250,45369
254.0,40863,44252,45369
255.0,40863,44251,45369
256.0,40864,44251,45369
257.0,40870,44254,45369
258.0,40866,44253,45369
259.0,40869,44254,45369
260.0,40867,44253,45369
261.0,40866,44253,45369
262.0,40871,44255,45369
263.0,40871,44255,45369
264.0,40867,44255,45369
265.0,40868,44256,45369
266.0,40869,44257,45369
267.0,40869,44257,45369
268.0,40870,44257,45369
269.0,40871,44258,45369
270.0,40873,44259,45369
271.0,40871,44259,45369
272.0,40872,44259,45369
273.0,40874,44260,45369
274.0,40872,44260,45369
275.0,40879,44261,45369
276.0,40877,44261,45369
