t,own_known,merged_known,total
1.0,0,0,45369
2.0,12,86,45369
3.0,3679,4657,45369
4.0,5547,6432,45369
5.0,6288,7141,45369
6.0,7047,7778,45369
7.0,7594,8315,45369
8.0,8005,8762,45369
9.0,8374,9222,45369
10.0,8667,9592,45369
11.0,9494,10488,45369
12.0,10513,11453,45369
13.0,11324,12325,45369
14.0,12046,13075,45369
15.0,12741,13748,45369
16.0,13390,14361,45369
17.0,13831,14793,45369
18.0,14452,15392,45369
19.0,15054,15992,45369
20.0,15684,16698,45369
21.0,16314,17515,45369
22.0,16928,18300,45369
23.0,17597,19167,45369
24.0,18211,20011,45369
25.0,18823,20802,45369
26.0,19406,21544,45369
27.0,19979,22266,45369
28.0,20533,22880,45369
29.0,21096,23475,45369
30.0,21678,24085,45369
31.0,22234,24709,45369
32.0,22787,25446,45369
33.0,23135,26070,45369
34.0,23825,27018,45369
35.0,24556,28106,45369
36.0,25241,29044,45369
37.0,25668,29561,45369
38.0,26110,30024,45369
39.0,26408,30279,45369
40.0,26495,30347,45369
41.0,26614,30477,45369
42.0,26668,30606,45369
43.0,26716,30739,45369
44.0,26750,30869,45369
45.0,26787,31021,45369
46.0,26814,31111,45369
47.0,26859,31182,45369
48.0,26923,31243,45369
49.0,26960,31264,45369
50.0,27067,31320,45369
51.0,27184,31375,45369
52.0,27312,31449,45369
53.0,27497,31546,45369
54.0,27729,31702,45369
55.0,27884,31811,45369
56.0,28147,31985,45369
57.0,28453,32207,45369
58.0,28812,32466,45369
59.0,29029,32645,45369
60.0,29349,32904,45369
61.0,29691,33198,45369
62.0,30071,33531,45369
63.0,30404,33835,45369
64.0,30698,34117,45369
65.0,31138,34501,45369
66.0,31473,34812,45369
67.0,31899,35183,45369
68.0,32160,35397,45369
69.0,32279,35505,45369
70.0,32394,35589,45369
71.0,32461,35645,45369
72.0,32549,35735,45369
73.0,32589,35788,45369
74.0,32622,35812,45369
75.0,32626,35823,45369
76.0,32639,35849,45369
77.0,32645,35854,45369
78.0,32656,35860,45369
79.0,32649,35854,45369
80.0,32664,35872,45369
81.0,32685,35892,45369
