t,tx,rx,relayed,dup_dropped
2.0,4,10,10,10
4.0,14,30,30,30
6.0,24,50,50,50
8.0,34,71,70,70
10.0,44,91,90,90
12.0,54,111,110,110
14.0,64,132,128,124
16.0,74,152,148,142
18.0,84,172,168,162
20.0,94,192,188,182
22.0,104,213,208,202
24.0,114,234,228,221
26.0,124,255,248,240
28.0,134,275,268,258
30.0,144,296,288,278
32.0,154,318,308,295
34.0,164,338,328,314
36.0,174,362,348,334
38.0,186,387,372,357
40.0,197,411,394,378
42.0,209,437,418,398
44.0,220,462,441,421
46.0,230,485,461,441
48.0,240,507,481,461
50.0,250,529,501,481
52.0,260,551,521,500
54.0,270,573,541,520
56.0,280,595,561,540
58.0,290,617,581,560
60.0,300,640,601,580
62.0,310,663,621,599
64.0,320,686,641,619
66.0,330,710,661,639
68.0,341,736,683,661
70.0,352,761,706,684
72.0,364,788,729,707
74.0,376,815,753,731
76.0,387,840,776,754
78.0,399,865,799,777
80.0,410,890,822,800
82.0,420,912,842,820
84.0,430,934,862,840
86.0,440,956,882,859
88.0,450,978,902,879
90.0,460,1000,922,899
92.0,470,1022,942,919
94.0,480,1043,961,937
96.0,490,1065,981,955
98.0,500,1085,1001,973
100.0,510,1107,1020,991
102.0,520,1128,1040,1010
104.0,530,1150,1060,1030
106.0,540,1171,1080,1050
108.0,550,1191,1100,1069
110.0,560,1211,1120,1089
112.0,570,1233,1140,1106
114.0,580,1255,1160,1116
116.0,590,1275,1177,1122
118.0,602,1300,1200,1141
120.0,613,1324,1222,1160
122.0,625,1350,1246,1184
124.0,637,1376,1270,1207
126.0,648,1400,1292,1229
128.0,660,1426,1316,1253
130.0,672,1452,1340,1277
132.0,683,1478,1363,1300
134.0,695,1501,1384,1321
136.0,705,1523,1404,1341
138.0,715,1545,1424,1360
140.0,725,1567,1444,1379
142.0,735,1589,1464,1399
144.0,745,1611,1484,1419
146.0,755,1633,1504,1439
148.0,765,1655,1524,1458
150.0,775,1677,1544,1478
152.0,785,1699,1564,1498
154.0,795,1720,1584,1518
156.0,805,1740,1604,1538
158.0,815,1760,1624,1558
160.0,825,1780,1644,1578
162.0,835,1800,1664,1598
164.0,845,1820,1684,1618
166.0,855,1841,1704,1638
168.0,865,1862,1724,1658
170.0,875,1882,1744,1678
172.0,885,1902,1764,1698
174.0,895,1922,1784,1717
176.0,905,1942,1804,1737
178.0,915,1964,1824,1757
180.0,925,1985,1844,1776
182.0,935,2005,1864,1796
184.0,945,2025,1884,1816
186.0,955,2045,1904,1835
188.0,965,2065,1924,1855
190.0,975,2085,1944,1875
192.0,985,2105,1964,1895
194.0,995,2125,1984,1915
196.0,1005,2145,2004,1935
198.0,1015,2165,2024,1955
200.0,1025,2185,2044,1975
202.0,1035,2206,2064,1995
204.0,1045,2226,2084,2015
206.0,1055,2247,2104,2035
208.0,1065,2267,2124,2055
210.0,1075,2287,2144,2075
212.0,1085,2308,2164,2095
214.0,1095,2329,2184,2115
216.0,1105,2349,2204,2135
218.0,1115,2369,2224,2155
220.0,1125,2389,2244,2175
222.0,1135,2410,2264,2195
224.0,1145,2430,2284,2215
226.0,1155,2450,2303,2234
228.0,1165,2470,2323,2254
230.0,1175,2491,2343,2274
232.0,1185,2512,2363,2294
234.0,1195,2533,2383,2314
236.0,1205,2553,2403,2334
238.0,1215,2573,2423,2354
240.0,1225,2593,2443,2374
242.0,1235,2615,2463,2394
244.0,1245,2636,2483,2414
246.0,1255,2656,2503,2434
248.0,1265,2677,2523,2454
250.0,1275,2697,2543,2474
252.0,1285,2717,2563,2494
254.0,1295,2738,2583,2514
256.0,1305,2759,2603,2533
258.0,1315,2779,2623,2553
260.0,1325,2800,2643,2573
262.0,1335,2821,2663,2593
264.0,1345,2841,2683,2613
266.0,1355,2861,2703,2633
268.0,1365,2881,2723,2653
270.0,1375,2902,2743,2673
272.0,1385,2922,2763,2693
274.0,1395,2943,2783,2713
276.0,1405,2964,2803,2733
