t,gt_x,gt_y,dr_x,dr_y,cdr_x,cdr_y,fused_x,fused_y,P_trace,fb_x,fb_y,b_hat,b_true
0.5,-10.108,-12.707,-10.11,-12.709,-10.111,-12.708,-10.111,-12.708,0.0202,-10.111,-12.708,0.0,-0.0403
1.02,-9.8,-12.369,-9.815,-12.385,-9.818,-12.383,-9.822,-12.387,0.04155,-9.822,-12.387,0.0002,-0.0403
1.5,-9.576,-12.123,-9.601,-12.15,-9.606,-12.146,-9.636,-12.142,0.04134,-9.636,-12.144,0.0016,-0.0403
2.0,-9.55,-12.094,-9.578,-12.125,-9.583,-12.121,-9.639,-12.089,0.04027,-9.638,-12.092,0.0011,-0.0403
2.5,-9.569,-12.081,-9.6,-12.11,-9.604,-12.107,-9.678,-12.047,0.04001,-9.675,-12.05,-0.0003,-0.0403
3.0,-9.766,-12.069,-9.788,-12.105,-9.791,-12.102,-9.879,-11.985,0.03947,-9.874,-11.989,-0.005,-0.0403
3.5,-9.984,-12.166,-9.991,-12.199,-9.994,-12.197,-10.084,-12.101,0.03935,-10.079,-12.105,-0.0028,-0.0403
4.0,-10.032,-12.2,-10.035,-12.23,-10.038,-12.228,-10.117,-12.096,0.0399,-10.113,-12.1,-0.0061,-0.0403
4.5,-10.032,-12.2,-10.036,-12.231,-10.039,-12.229,-10.125,-12.119,0.04002,-10.121,-12.123,-0.0044,-0.0403
5.0,-10.032,-12.2,-10.035,-12.23,-10.038,-12.229,-10.161,-12.108,0.04002,-10.157,-12.111,-0.0047,-0.0403
5.5,-10.032,-12.2,-10.035,-12.23,-10.038,-12.229,-10.16,-12.104,0.04002,-10.156,-12.107,-0.0049,-0.0403
6.0,-10.045,-12.113,-10.044,-12.145,-10.046,-12.144,-10.181,-12.016,0.0403,-10.178,-12.019,-0.0049,-0.0403
6.5,-9.921,-11.833,-9.92,-11.876,-9.922,-11.875,-10.053,-11.776,0.04148,-10.049,-11.778,-0.0029,-0.0403
7.0,-9.641,-11.54,-9.654,-11.594,-9.649,-11.601,-9.83,-11.424,0.04247,-9.822,-11.422,-0.0106,-0.0403
7.5,-9.325,-11.294,-9.354,-11.35,-9.345,-11.361,-9.512,-11.179,0.04402,-9.5,-11.173,-0.0121,-0.0403
8.0,-9.113,-11.083,-9.161,-11.142,-9.146,-11.159,-9.313,-11.018,0.04587,-9.305,-11.013,-0.0053,-0.0403
8.5,-8.999,-10.788,-9.066,-10.862,-9.043,-10.882,-9.189,-10.734,0.04688,-9.178,-10.721,-0.0095,-0.0403
9.0,-9.037,-10.395,-9.112,-10.483,-9.08,-10.502,-9.178,-10.303,0.04708,-9.154,-10.266,-0.0265,-0.0403
9.5,-9.089,-10.144,-9.162,-10.241,-9.13,-10.26,-9.223,-10.01,0.04583,-9.19,-9.957,-0.0392,-0.0403
10.0,-9.022,-10.013,-9.093,-10.115,-9.059,-10.136,-9.18,-9.87,0.04581,-9.141,-9.819,-0.0399,-0.0403
10.5,-8.781,-9.917,-8.864,-10.021,-8.826,-10.051,-8.952,-9.792,0.04612,-8.907,-9.743,-0.0366,-0.0403
11.0,-8.372,-9.879,-8.473,-9.971,-8.434,-10.017,-8.569,-9.819,0.04837,-8.536,-9.783,-0.0195,-0.0403
11.5,-7.957,-9.871,-8.076,-9.945,-8.036,-10.014,-8.169,-9.79,0.04935,-8.119,-9.754,-0.025,-0.0403
12.0,-7.583,-9.853,-7.727,-9.912,-7.686,-9.996,-7.767,-9.758,0.05006,-7.688,-9.702,-0.0383,-0.0403
12.5,-7.171,-9.807,-7.329,-9.849,-7.286,-9.952,-7.324,-9.705,0.05323,-7.207,-9.631,-0.0499,-0.0403
13.0,-6.804,-9.74,-6.982,-9.767,-6.936,-9.882,-6.968,-9.63,0.05706,-6.834,-9.555,-0.0509,-0.0403
13.5,-6.404,-9.631,-6.601,-9.644,-6.55,-9.778,-6.542,-9.505,0.06093,-6.35,-9.406,-0.0653,-0.0403
