t,own_known,merged_known,total
1.3,1844,1844,45369
2.0,3552,3552,45369
3.0,5395,5405,45369
4.0,6317,6671,45369
5.0,6939,7447,45369
6.0,7294,7908,45369
7.0,7730,8320,45369
8.0,8000,8724,45369
9.0,8371,9118,45369
10.0,8930,9720,45369
11.0,9787,10560,45369
12.0,10746,11623,45369
13.0,11518,12481,45369
14.0,12009,13042,45369
15.0,12726,13743,45369
16.0,13380,14381,45369
17.0,14055,15037,45369
18.0,14691,15677,45369
19.0,15320,16363,45369
20.0,15984,17115,45369
21.0,16384,17677,45369
22.0,16989,18487,45369
23.0,17666,19383,45369
24.0,18299,20235,45369
25.0,18943,21042,45369
26.0,19532,21789,45369
27.0,20151,22514,45369
28.0,20705,23118,45369
29.0,21257,23773,45369
30.0,21793,24421,45369
31.0,22303,25108,45369
32.0,22855,25887,45369
33.0,23472,26767,45369
34.0,23903,27466,45369
35.0,24624,28310,45369
36.0,25261,29039,45369
37.0,25602,29460,45369
38.0,26039,29845,45369
39.0,26233,30115,45369
40.0,26421,30407,45369
41.0,26482,30581,45369
42.0,26537,30750,45369
43.0,26575,30946,45369
44.0,26595,31024,45369
45.0,26660,31134,45369
46.0,26720,31226,45369
47.0,26739,31279,45369
48.0,26812,31330,45369
49.0,26895,31379,45369
50.0,26991,31415,45369
51.0,27085,31467,45369
52.0,27233,31528,45369
53.0,27410,31637,45369
54.0,27631,31777,45369
55.0,27783,31896,45369
56.0,28074,32115,45369
57.0,28391,32361,45369
58.0,28701,32634,45369
59.0,29013,32922,45369
60.0,29233,33129,45369
61.0,29536,33410,45369
62.0,29872,33742,45369
63.0,30141,34011,45369
64.0,30490,34350,45369
65.0,30889,34704,45369
66.0,31293,35082,45369
67.0,31657,35414,45369
68.0,31831,35568,45369
69.0,32033,35751,45369
70.0,32161,35880,45369
71.0,32203,35923,45369
72.0,32268,35991,45369
73.0,32352,36053,45369
74.0,32385,36094,45369
75.0,32446,36145,45369
76.0,32471,36178,45369
77.0,32488,36190,45369
78.0,32499,36199,45369
79.0,32509,36212,45369
80.0,32511,36216,45369
81.0,32514,36222,45369
82.0,32553,36242,45369
83.0,32581,36263,45369
84.0,32605,36277,45369
85.0,32614,36282,45369
86.0,32632,36287,45369
87.0,32666,36305,45369
88.0,32674,36307,45369
89.0,32690,36314,45369
90.0,32701,36339,45369
91.0,32724,36346,45369
92.0,32746,36360,45369
93.0,32789,36375,45369
94.0,32808,36382,45369
95.0,32822,36398,45369
96.0,32831,36413,45369
97.0,32828,36436,45369
98.0,32835,36461,45369
99.0,32843,36472,45369
100.0,32836,36480,45369
101.0,32841,36490,45369
102.0,32852,36505,45369
103.0,32878,36519,45369
104.0,32908,36530,45369
105.0,32987,36548,45369
106.0,33039,36566,45369
107.0,33155,36597,45369
108.0,33405,36721,45369
109.0,33977,37095,45369
110.0,34576,37532,45369
111.0,35269,38054,45369
112.0,35980,38655,45369
113.0,36760,39353,45369
114.0,37170,39735,45369
115.0,37845,40366,45369
116.0,38444,40928,45369
117.0,38783,41254,45369
118.0,39108,41567,45369
119.0,39416,41872,45369
120.0,39604,42054,45369
121.0,39704,42155,45369
122.0,39792,42241,45369
123.0,39856,42319,45369
124.0,39893,42427,45369
125.0,39913,42568,45369
126.0,39924,42643,45369
127.0,39947,42694,45369
128.0,39963,42708,45369
129.0,39978,42725,45369
130.0,39994,42731,45369
131.0,40026,42755,45369
132.0,40071,42788,45369
133.0,40108,42816,45369
134.0,40139,42830,45369
135.0,40174,42856,45369
136.0,40204,42886,45369
137.0,40226,42910,45369
138.0,40246,42928,45369
139.0,40249,42940,45369
140.0,40250,42955,45369
141.0,40261,42974,45369
142.0,40258,42980,45369
143.0,40285,42983,45369
144.0,40283,42988,45369
145.0,40274,42989,45369
146.0,40280,42989,45369
147.0,40286,42989,45369
148.0,40291,42991,45369
149.0,40310,42993,45369
150.0,40315,42996,45369
151.0,40326,42999,45369
152.0,40338,43003,45369
153.0,40346,43002,45369
154.0,40358,43003,45369
155.0,40356,43002,45369
156.0,40371,43020,45369
157.0,40372,43061,45369
158.0,40372,43110,45369
159.0,40369,43188,45369
160.0,40378,43258,45369
161.0,40382,43287,45369
162.0,40386,43303,45369
163.0,40397,43310,45369
164.0,40395,43323,45369
165.0,40389,43328,45369
166.0,40386,43329,45369
167.0,40380,43332,45369
168.0,40385,43335,45369
169.0,40380,43335,45369
170.0,40384,43335,45369
171.0,40396,43335,45369
172.0,40394,43335,45369
173.0,40406,43335,45369
174.0,40399,43336,45369
175.0,40398,43336,45369
