t,tx,rx,relayed,dup_dropped
2.0,4,9,9,9
4.0,14,29,29,29
6.0,24,49,49,49
8.0,34,69,69,69
10.0,44,89,89,89
12.0,54,109,109,109
14.0,64,129,129,129
16.0,74,149,149,149
18.0,84,169,169,168
20.0,94,189,189,188
22.0,104,211,209,207
24.0,114,232,229,226
26.0,124,253,249,246
28.0,134,276,269,265
30.0,144,297,289,285
32.0,154,320,309,305
34.0,164,342,329,325
36.0,174,366,349,345
38.0,184,390,369,365
40.0,196,417,393,388
42.0,207,442,416,411
44.0,218,466,438,433
46.0,228,488,458,453
48.0,238,511,478,473
50.0,248,533,498,493
52.0,258,555,518,513
54.0,268,577,538,532
56.0,278,599,558,552
58.0,288,621,578,572
60.0,298,644,597,591
62.0,308,665,617,611
64.0,318,688,637,630
66.0,328,711,657,649
68.0,339,737,679,671
70.0,351,763,703,695
72.0,362,789,726,718
74.0,374,814,749,741
76.0,386,840,773,765
78.0,397,865,796,788
80.0,409,890,819,811
82.0,420,913,840,832
84.0,430,935,860,852
86.0,440,957,880,872
88.0,450,979,900,892
90.0,460,1001,920,912
92.0,470,1023,940,932
94.0,480,1045,960,952
96.0,490,1067,980,968
98.0,500,1088,1000,984
100.0,510,1110,1020,1001
102.0,520,1132,1040,1017
104.0,530,1152,1060,1036
106.0,540,1172,1079,1055
108.0,550,1193,1099,1074
110.0,560,1214,1116,1083
112.0,570,1235,1136,1097
114.0,580,1257,1153,1105
116.0,591,1281,1175,1126
118.0,602,1306,1197,1147
120.0,614,1332,1221,1171
122.0,626,1358,1245,1195
124.0,637,1382,1267,1217
126.0,649,1408,1291,1241
128.0,660,1433,1314,1264
130.0,670,1455,1334,1284
132.0,680,1477,1354,1304
134.0,690,1499,1374,1324
136.0,700,1521,1394,1344
138.0,710,1543,1414,1364
140.0,720,1565,1434,1384
142.0,730,1587,1453,1403
144.0,740,1609,1473,1422
146.0,750,1631,1493,1442
148.0,760,1652,1513,1462
150.0,770,1674,1533,1482
152.0,780,1694,1553,1502
154.0,790,1714,1573,1522
156.0,800,1736,1593,1542
158.0,810,1756,1613,1562
160.0,820,1776,1633,1582
162.0,830,1797,1653,1602
164.0,840,1818,1673,1622
166.0,850,1839,1693,1642
168.0,860,1859,1713,1662
170.0,870,1880,1733,1682
172.0,880,1900,1753,1702
174.0,890,1921,1773,1722
176.0,900,1941,1793,1742
178.0,910,1963,1813,1762
180.0,920,1983,1833,1782
182.0,930,2004,1853,1802
184.0,940,2024,1873,1821
186.0,950,2044,1893,1841
188.0,960,2066,1913,1861
190.0,970,2086,1933,1881
192.0,980,2107,1953,1901
194.0,990,2128,1973,1921
196.0,1000,2148,1993,1941
198.0,1010,2168,2013,1961
200.0,1020,2188,2033,1981
202.0,1030,2209,2053,2001
204.0,1040,2229,2073,2021
206.0,1050,2249,2093,2041
208.0,1060,2270,2113,2061
210.0,1070,2290,2133,2081
212.0,1080,2310,2153,2101
214.0,1090,2330,2173,2121
216.0,1100,2351,2193,2141
218.0,1110,2372,2213,2160
220.0,1120,2392,2233,2180
222.0,1130,2413,2253,2200
224.0,1140,2433,2271,2218
226.0,1150,2453,2291,2237
228.0,1160,2473,2311,2257
230.0,1170,2494,2331,2277
232.0,1180,2515,2351,2297
234.0,1190,2535,2371,2317
236.0,1200,2555,2391,2337
238.0,1210,2575,2410,2356
240.0,1220,2597,2430,2376
242.0,1230,2618,2450,2396
244.0,1240,2638,2470,2416
246.0,1250,2659,2490,2436
248.0,1260,2680,2510,2456
250.0,1270,2700,2530,2476
252.0,1280,2720,2550,2496
254.0,1290,2740,2570,2516
256.0,1300,2760,2590,2536
258.0,1310,2780,2610,2556
260.0,1320,2800,2630,2576
262.0,1330,2821,2650,2596
264.0,1340,2840,2669,2615
266.0,1350,2862,2689,2635
268.0,1360,2882,2709,2655
270.0,1370,2904,2729,2675
272.0,1380,2924,2749,2695
274.0,1390,2944,2769,2715
276.0,1400,2965,2789,2735
