t,own_known,merged_known,total
1.0,0,0,45369
2.0,28,80,45369
3.0,3169,3777,45369
4.0,4335,5614,45369
5.0,5424,6634,45369
6.0,5780,7258,45369
7.0,5945,7718,45369
8.0,6217,8115,45369
9.0,6545,8481,45369
10.0,6975,8881,45369
11.0,7451,9537,45369
12.0,7736,10399,45369
13.0,8128,11359,45369
14.0,8432,12132,45369
15.0,8810,12578,45369
16.0,9174,13192,45369
17.0,10091,13858,45369
18.0,10858,14453,45369
19.0,11525,15022,45369
20.0,12066,15666,45369
21.0,12634,16405,45369
22.0,13159,17179,45369
23.0,13758,17896,45369
24.0,14247,18689,45369
25.0,14816,19480,45369
26.0,15361,20230,45369
27.0,16006,20790,45369
28.0,16623,21364,45369
29.0,17259,21955,45369
30.0,17908,22603,45369
31.0,18539,23239,45369
32.0,19197,24002,45369
33.0,19765,24758,45369
34.0,20117,25344,45369
35.0,20638,26134,45369
36.0,21159,27030,45369
37.0,21712,27894,45369
38.0,22273,28446,45369
39.0,22685,28943,45369
40.0,23419,29279,45369
41.0,24185,29578,45369
42.0,24652,29882,45369
43.0,25209,30107,45369
44.0,25489,30246,45369
45.0,25885,30375,45369
46.0,26233,30475,45369
47.0,26442,30541,45369
48.0,26561,30620,45369
49.0,26696,30694,45369
50.0,26786,30748,45369
51.0,26879,30805,45369
52.0,26993,30877,45369
53.0,27114,30982,45369
54.0,27253,31068,45369
55.0,27363,31215,45369
56.0,27526,31388,45369
57.0,27728,31584,45369
58.0,27859,31783,45369
59.0,28081,31946,45369
60.0,28370,32191,45369
61.0,28680,32490,45369
62.0,28865,32788,45369
63.0,29156,33004,45369
64.0,29510,33318,45369
65.0,29835,33564,45369
66.0,30188,33903,45369
67.0,30556,34239,45369
68.0,30914,34433,45369
69.0,31301,34657,45369
70.0,31553,34798,45369
71.0,31935,34866,45369
72.0,32199,34965,45369
73.0,32421,35019,45369
74.0,32587,35075,45369
75.0,32741,35160,45369
76.0,32828,35187,45369
77.0,32938,35266,45369
78.0,33014,35310,45369
79.0,33102,35348,45369
80.0,33153,35375,45369
81.0,33191,35405,45369
82.0,33233,35412,45369
83.0,33247,35420,45369
84.0,33263,35456,45369
