t,tx,rx,relayed,dup_dropped
2.0,6,9,8,8
4.0,16,30,28,28
6.0,26,50,48,48
8.0,36,70,68,68
10.0,46,91,88,88
12.0,56,113,106,103
14.0,66,137,126,123
16.0,76,159,144,141
18.0,86,181,164,161
20.0,96,202,183,178
22.0,106,224,203,194
24.0,116,247,223,214
26.0,126,268,243,233
28.0,136,291,263,252
30.0,146,314,283,272
32.0,156,336,303,292
34.0,166,358,323,311
36.0,177,382,345,330
38.0,189,406,366,348
40.0,200,432,390,372
42.0,213,458,413,395
44.0,223,481,433,415
46.0,233,503,453,435
48.0,243,526,473,455
50.0,253,549,493,475
52.0,263,572,513,494
54.0,273,595,532,509
56.0,283,618,551,525
58.0,293,641,570,544
60.0,303,663,590,564
62.0,313,686,610,584
64.0,323,708,630,604
66.0,333,732,650,624
68.0,345,758,674,647
70.0,357,782,696,669
72.0,368,809,720,693
74.0,380,835,744,717
76.0,392,859,766,739
78.0,403,886,791,764
80.0,414,908,811,784
82.0,423,930,831,804
84.0,433,952,851,824
86.0,443,974,871,844
88.0,453,996,891,864
90.0,463,1018,911,883
92.0,473,1040,930,897
94.0,483,1063,947,906
96.0,493,1086,967,926
98.0,503,1108,987,946
100.0,513,1129,1007,965
102.0,523,1150,1027,985
104.0,533,1171,1047,1005
106.0,543,1193,1067,1025
108.0,553,1215,1086,1040
110.0,563,1237,1105,1058
112.0,573,1258,1124,1076
114.0,583,1280,1144,1096
116.0,594,1302,1164,1116
118.0,605,1328,1188,1139
120.0,617,1355,1212,1163
122.0,629,1379,1234,1185
124.0,640,1406,1258,1209
126.0,652,1432,1282,1233
128.0,663,1457,1305,1256
130.0,673,1479,1325,1276
132.0,683,1501,1345,1296
134.0,693,1523,1365,1316
136.0,703,1545,1385,1336
138.0,713,1568,1405,1356
140.0,723,1590,1425,1376
142.0,733,1613,1445,1396
144.0,743,1635,1465,1416
146.0,753,1655,1485,1436
148.0,763,1676,1505,1455
150.0,773,1697,1525,1475
152.0,783,1718,1545,1495
154.0,793,1738,1565,1515
156.0,803,1758,1585,1535
158.0,813,1778,1605,1555
160.0,823,1800,1625,1575
162.0,833,1820,1645,1595
164.0,843,1840,1665,1615
166.0,853,1860,1685,1635
168.0,863,1880,1705,1655
170.0,873,1900,1725,1675
172.0,883,1921,1745,1694
174.0,893,1942,1765,1714
176.0,903,1962,1785,1734
178.0,913,1983,1805,1754
180.0,923,2003,1825,1774
182.0,933,2023,1845,1794
184.0,943,2043,1865,1814
186.0,953,2063,1885,1834
188.0,963,2083,1905,1854
190.0,973,2105,1925,1874
192.0,983,2125,1945,1894
194.0,993,2145,1965,1914
196.0,1003,2165,1985,1934
198.0,1013,2185,2005,1954
200.0,1023,2205,2025,1974
202.0,1033,2226,2045,1994
204.0,1043,2246,2065,2014
206.0,1053,2266,2085,2034
208.0,1063,2286,2105,2054
210.0,1073,2306,2125,2074
212.0,1083,2326,2145,2094
214.0,1093,2347,2165,2114
216.0,1103,2367,2185,2134
218.0,1113,2387,2205,2154
220.0,1123,2407,2225,2174
222.0,1133,2427,2245,2194
224.0,1143,2447,2265,2214
226.0,1153,2467,2285,2234
228.0,1163,2487,2305,2254
230.0,1173,2509,2325,2274
232.0,1183,2529,2345,2294
234.0,1193,2549,2365,2314
236.0,1203,2569,2385,2334
238.0,1213,2589,2405,2354
240.0,1223,2609,2425,2374
242.0,1233,2629,2445,2394
244.0,1243,2650,2465,2414
246.0,1253,2670,2485,2434
248.0,1263,2690,2505,2454
250.0,1273,2710,2525,2474
252.0,1283,2731,2545,2494
254.0,1293,2751,2565,2514
256.0,1303,2771,2585,2534
258.0,1313,2792,2605,2554
260.0,1323,2812,2625,2574
262.0,1333,2832,2645,2594
264.0,1343,2852,2665,2614
266.0,1353,2873,2685,2634
268.0,1363,2893,2705,2654
270.0,1373,2914,2725,2674
272.0,1383,2935,2745,2694
274.0,1393,2955,2765,2714
276.0,1403,2975,2785,2734
