t,gt_x,gt_y,dr_x,dr_y,cdr_x,cdr_y,fused_x,fused_y,P_trace,fb_x,fb_y,b_hat,b_true
0.5,-10.907,-10.907,-10.896,-10.896,-10.895,-10.897,-10.895,-10.897,0.02025,-10.895,-10.897,0.0,0.0741
1.0,-10.616,-10.611,-10.57,-10.564,-10.568,-10.565,-10.547,-10.557,0.04048,-10.546,-10.556,-0.0026,0.0741
1.5,-10.352,-10.345,-10.285,-10.275,-10.286,-10.274,-10.303,-10.238,0.04267,-10.301,-10.237,-0.0019,0.0741
2.0,-10.055,-10.054,-9.969,-9.965,-9.974,-9.96,-9.958,-9.942,0.04407,-9.956,-9.939,-0.0033,0.0741
2.5,-9.759,-9.762,-9.644,-9.643,-9.645,-9.644,-9.611,-9.688,0.04578,-9.617,-9.688,0.0037,0.0741
3.0,-9.497,-9.495,-9.359,-9.351,-9.36,-9.351,-9.451,-9.394,0.04612,-9.479,-9.429,0.0276,0.0741
3.5,-9.203,-9.2,-9.048,-9.036,-9.049,-9.036,-9.135,-9.078,0.05081,-9.167,-9.117,0.0256,0.0741
4.0,-8.94,-8.934,-8.761,-8.746,-8.764,-8.744,-8.835,-8.776,0.05379,-8.863,-8.809,0.0185,0.0741
4.5,-8.647,-8.64,-8.454,-8.436,-8.453,-8.438,-8.532,-8.53,0.0551,-8.598,-8.594,0.0363,0.0741
5.0,-8.354,-8.344,-8.145,-8.121,-8.142,-8.126,-8.216,-8.219,0.05793,-8.284,-8.283,0.0332,0.0741
5.5,-8.091,-8.077,-7.867,-7.839,-7.862,-7.846,-7.942,-7.957,0.05878,-8.026,-8.035,0.0379,0.0741
6.0,-7.796,-7.785,-7.549,-7.523,-7.544,-7.529,-7.65,-7.69,0.05894,-7.782,-7.81,0.0563,0.0741
6.5,-7.522,-7.562,-7.254,-7.29,-7.249,-7.296,-7.346,-7.456,0.05996,-7.476,-7.569,0.0501,0.0741
7.0,-7.323,-7.568,-7.041,-7.31,-7.036,-7.313,-7.152,-7.467,0.05706,-7.283,-7.577,0.0505,0.0741
7.5,-6.959,-7.721,-6.646,-7.47,-6.643,-7.476,-6.771,-7.629,0.0551,-6.912,-7.727,0.0503,0.0741
8.0,-6.603,-7.744,-6.266,-7.484,-6.263,-7.494,-6.377,-7.651,0.05493,-6.515,-7.729,0.0441,0.0741
8.5,-6.2,-7.673,-5.823,-7.398,-5.819,-7.415,-5.927,-7.551,0.05675,-6.049,-7.617,0.0353,0.0741
9.0,-5.81,-7.537,-5.41,-7.248,-5.405,-7.267,-5.501,-7.4,0.05833,-5.611,-7.455,0.0288,0.0741
9.5,-5.476,-7.376,-5.052,-7.069,-5.046,-7.091,-5.116,-7.228,0.05989,-5.205,-7.265,0.0203,0.0741
10.0,-5.135,-7.144,-4.688,-6.814,-4.68,-6.838,-4.725,-6.973,0.06222,-4.787,-6.99,0.011,0.0741
10.5,-4.849,-6.903,-4.382,-6.553,-4.376,-6.577,-4.466,-6.727,0.0605,-4.582,-6.785,0.0262,0.0741
11.0,-4.55,-6.616,-4.062,-6.242,-4.058,-6.264,-4.176,-6.437,0.06154,-4.338,-6.529,0.037,0.0741
11.5,-4.266,-6.312,-3.761,-5.915,-3.755,-5.938,-3.88,-6.117,0.06353,-4.056,-6.222,0.0385,0.0741
12.0,-4.018,-6.032,-3.496,-5.616,-3.492,-5.636,-3.61,-5.807,0.06613,-3.77,-5.905,0.0333,0.0741
