t,tx,rx,relayed,dup_dropped
2.0,5,10,10,10
4.0,14,30,30,30
6.0,24,50,50,50
8.0,34,71,70,70
10.0,44,91,90,88
12.0,54,111,110,106
14.0,64,131,130,126
16.0,74,152,150,144
18.0,84,172,170,164
20.0,94,192,190,184
22.0,104,213,210,204
24.0,114,235,229,223
26.0,124,258,249,242
28.0,134,277,268,259
30.0,144,298,288,278
32.0,154,320,308,297
34.0,164,343,328,314
36.0,175,370,350,336
38.0,186,397,373,357
40.0,198,424,396,380
42.0,210,451,421,404
44.0,220,473,441,424
46.0,230,495,461,444
48.0,240,517,481,464
50.0,250,539,501,484
52.0,260,561,521,504
54.0,270,583,540,518
56.0,280,604,559,535
58.0,290,625,579,554
60.0,300,647,599,574
62.0,310,669,619,593
64.0,320,690,639,613
66.0,330,711,659,633
68.0,342,737,683,657
70.0,353,763,706,680
72.0,365,788,729,703
74.0,377,814,753,727
76.0,388,839,776,750
78.0,402,864,799,773
80.0,411,886,819,793
82.0,421,908,839,813
84.0,431,930,859,833
86.0,441,952,879,853
88.0,451,974,899,873
90.0,461,996,919,892
92.0,471,1018,938,908
94.0,481,1040,957,920
96.0,491,1060,977,938
98.0,501,1081,997,958
100.0,511,1104,1017,978
102.0,521,1126,1036,997
104.0,531,1147,1056,1017
106.0,541,1170,1076,1037
108.0,551,1193,1094,1049
110.0,561,1213,1114,1066
112.0,571,1233,1134,1083
114.0,581,1255,1154,1102
116.0,591,1278,1175,1123
118.0,603,1303,1198,1146
120.0,615,1329,1222,1170
122.0,626,1354,1245,1193
124.0,638,1380,1268,1216
126.0,650,1406,1292,1240
128.0,661,1431,1315,1263
130.0,671,1453,1335,1283
132.0,681,1475,1355,1303
134.0,691,1497,1375,1323
136.0,701,1519,1395,1343
138.0,711,1541,1415,1363
140.0,721,1563,1435,1382
142.0,732,1585,1455,1402
144.0,741,1606,1475,1422
146.0,751,1627,1495,1442
148.0,761,1648,1515,1462
150.0,771,1668,1535,1482
152.0,781,1689,1555,1502
154.0,791,1709,1575,1522
156.0,801,1731,1595,1542
158.0,811,1751,1615,1562
160.0,821,1771,1635,1582
162.0,831,1791,1655,1602
164.0,841,1811,1675,1622
166.0,851,1832,1695,1642
168.0,861,1853,1715,1662
170.0,871,1873,1735,1682
172.0,881,1893,1755,1702
174.0,891,1913,1775,1722
176.0,901,1933,1795,1742
178.0,911,1954,1815,1762
180.0,921,1976,1835,1782
182.0,931,1996,1855,1802
184.0,941,2017,1875,1822
186.0,951,2037,1895,1842
188.0,961,2058,1915,1862
190.0,971,2078,1935,1882
192.0,981,2098,1955,1902
194.0,991,2118,1975,1922
196.0,1001,2138,1995,1942
198.0,1011,2158,2015,1962
200.0,1021,2179,2035,1982
202.0,1031,2199,2055,2002
204.0,1041,2220,2075,2022
206.0,1051,2241,2095,2042
208.0,1061,2262,2115,2062
210.0,1071,2282,2135,2082
212.0,1081,2303,2155,2102
214.0,1091,2324,2175,2122
216.0,1101,2344,2195,2141
218.0,1111,2365,2215,2161
220.0,1121,2387,2235,2181
222.0,1131,2409,2255,2201
224.0,1141,2430,2275,2221
226.0,1151,2452,2295,2241
228.0,1161,2472,2315,2261
230.0,1171,2493,2335,2281
232.0,1181,2513,2355,2301
234.0,1191,2533,2375,2321
236.0,1201,2554,2395,2341
238.0,1211,2574,2415,2361
240.0,1221,2594,2435,2381
242.0,1231,2614,2455,2400
244.0,1241,2635,2475,2420
246.0,1251,2655,2495,2440
248.0,1261,2676,2515,2460
250.0,1271,2697,2535,2480
252.0,1281,2717,2555,2500
254.0,1291,2738,2575,2520
256.0,1301,2759,2595,2540
258.0,1311,2779,2615,2560
260.0,1321,2799,2635,2580
262.0,1331,2819,2655,2600
264.0,1341,2839,2675,2620
266.0,1351,2859,2695,2640
268.0,1361,2880,2715,2660
270.0,1371,2902,2735,2680
272.0,1381,2924,2755,2700
274.0,1391,2944,2775,2720
276.0,1401,2965,2795,2739
