t,gt_x,gt_y,dr_x,dr_y,cdr_x,cdr_y,fused_x,fused_y,P_trace,fb_x,fb_y,b_hat,b_true
1.5,-11.0,-11.0,-11.0,-11.0,-11.0,-11.0,-10.981,-11.02,0.04,-10.981,-11.02,-0.0,-0.0854
2.0,-10.729,-10.724,-10.753,-10.748,-10.751,-10.751,-10.696,-10.795,0.0408,-10.696,-10.795,-0.0,-0.0854
2.5,-10.436,-10.428,-10.491,-10.484,-10.49,-10.485,-10.411,-10.532,0.0418,-10.411,-10.532,-0.0008,-0.0854
3.0,-10.171,-10.164,-10.253,-10.245,-10.251,-10.247,-10.239,-10.285,0.04236,-10.241,-10.288,0.0032,-0.0854
3.5,-9.877,-9.87,-9.986,-9.977,-9.982,-9.981,-10.04,-10.047,0.04325,-10.048,-10.059,0.0128,-0.0854
4.0,-9.613,-9.604,-9.742,-9.729,-9.736,-9.735,-9.777,-9.79,0.04361,-9.785,-9.801,0.0091,-0.0854
4.5,-9.319,-9.31,-9.467,-9.454,-9.463,-9.459,-9.485,-9.524,0.04478,-9.496,-9.533,0.0078,-0.0854
5.0,-9.027,-9.014,-9.199,-9.181,-9.193,-9.188,-9.264,-9.338,0.04461,-9.301,-9.366,0.0297,-0.0854
5.5,-8.765,-8.746,-8.957,-8.934,-8.948,-8.944,-9.021,-9.073,0.04578,-9.057,-9.105,0.0257,-0.0854
6.0,-8.476,-8.448,-8.686,-8.653,-8.676,-8.664,-8.728,-8.761,0.04864,-8.752,-8.784,0.014,-0.0854
6.5,-8.213,-8.181,-8.448,-8.411,-8.437,-8.423,-8.498,-8.512,0.04999,-8.521,-8.538,0.0135,-0.0854
7.0,-7.92,-7.887,-8.181,-8.143,-8.169,-8.157,-8.204,-8.217,0.05335,-8.205,-8.222,-0.0004,-0.0854
7.5,-7.616,-7.61,-7.907,-7.899,-7.896,-7.91,-7.912,-7.947,0.05625,-7.892,-7.933,-0.0114,-0.0854
8.0,-7.435,-7.532,-7.743,-7.839,-7.733,-7.847,-7.769,-7.895,0.05341,-7.764,-7.899,-0.0024,-0.0854
8.5,-7.114,-7.674,-7.462,-7.979,-7.448,-7.977,-7.455,-7.996,0.05266,-7.417,-7.975,-0.0178,-0.0854
9.0,-6.734,-7.748,-7.123,-8.044,-7.107,-8.034,-7.139,-8.079,0.05073,-7.129,-8.081,-0.0042,-0.0854
9.5,-6.369,-7.71,-6.793,-8.009,-6.777,-7.999,-6.86,-8.114,0.04927,-6.917,-8.146,0.0233,-0.0854
10.0,-5.972,-7.599,-6.426,-7.906,-6.411,-7.895,-6.528,-8.001,0.05002,-6.597,-8.048,0.0294,-0.0854
10.5,-5.63,-7.456,-6.114,-7.775,-6.098,-7.765,-6.206,-7.88,0.05059,-6.278,-7.922,0.0271,-0.0854
11.0,-5.275,-7.245,-5.79,-7.578,-5.775,-7.566,-5.875,-7.695,0.05155,-5.951,-7.735,0.0257,-0.0854
11.5,-4.942,-6.998,-5.48,-7.343,-5.466,-7.331,-5.552,-7.455,0.05292,-5.616,-7.488,0.0198,-0.0854
12.0,-4.662,-6.751,-5.226,-7.113,-5.212,-7.101,-5.265,-7.213,0.05448,-5.3,-7.223,0.0079,-0.0854
12.5,-4.372,-6.454,-4.959,-6.832,-4.942,-6.823,-4.982,-6.922,0.05775,-4.998,-6.92,0.0015,-0.0854
13.0,-4.119,-6.178,-4.731,-6.577,-4.712,-6.569,-4.768,-6.688,0.05851,-4.814,-6.705,0.0099,-0.0854
13.5,-3.843,-5.867,-4.481,-6.289,-4.457,-6.286,-4.501,-6.386,0.06203,-4.518,-6.385,0.002,-0.0854
14.0,-3.569,-5.554,-4.232,-5.999,-4.206,-5.998,-4.241,-6.082,0.06545,-4.232,-6.065,-0.0044,-0.0854
14.5,-3.324,-5.271,-4.013,-5.741,-3.984,-5.742,-4.011,-5.823,0.06492,-3.99,-5.797,-0.0071,-0.0854
15.0,-3.048,-4.96,-3.759,-5.45,-3.729,-5.453,-3.762,-5.523,0.06484,-3.737,-5.497,-0.0072,-0.0854
15.5,-2.771,-4.65,-3.509,-5.163,-3.476,-5.168,-3.53,-5.259,0.06289,-3.552,-5.268,0.0036,-0.0854
16.0,-2.523,-4.369,-3.286,-4.906,-3.251,-4.913,-3.286,-4.98,0.06358,-3.26,-4.955,-0.0069,-0.0854
16.5,-2.247,-4.058,-3.037,-4.617,-2.997,-4.628,-3.054,-4.707,0.06177,-3.065,-4.711,0.0015,-0.0854
17.0,-1.999,-3.778,-2.819,-4.364,-2.777,-4.377,-2.833,-4.454,0.06077,-2.841,-4.457,0.001,-0.0854
17.5,-1.72,-3.469,-2.57,-4.082,-2.528,-4.094,-2.582,-4.185,0.06,-2.603,-4.192,0.003,-0.0854
18.0,-1.439,-3.163,-2.319,-3.803,-2.276,-3.818,-2.317,-3.883,0.06069,-2.297,-3.864,-0.0048,-0.0854
18.5,-1.189,-2.885,-2.092,-3.542,-2.044,-3.561,-2.077,-3.603,0.06093,-2.019,-3.561,-0.0112,-0.0854
19.0,-0.913,-2.573,-1.842,-3.252,-1.793,-3.272,-1.808,-3.298,0.06176,-1.713,-3.228,-0.0177,-0.0854
19.5,-0.664,-2.293,-1.624,-3.0,-1.573,-3.022,-1.572,-3.029,0.06191,-1.438,-2.931,-0.0242,-0.0854
20.0,-0.388,-1.983,-1.372,-2.709,-1.315,-2.736,-1.301,-2.73,0.06228,-1.139,-2.61,-0.0284,-0.0854
20.5,-0.112,-1.671,-1.124,-2.422,-1.062,-2.454,-1.031,-2.428,0.06297,-0.828,-2.275,-0.0344,-0.0854
21.0,0.134,-1.39,-0.903,-2.162,-0.838,-2.197,-0.811,-2.17,0.06164,-0.62,-2.027,-0.0318,-0.0854
21.5,0.411,-1.079,-0.65,-1.872,-0.581,-1.91,-0.574,-1.917,0.05933,-0.461,-1.828,-0.0194,-0.0854
22.0,0.686,-0.767,-0.4,-1.58,-0.329,-1.619,-0.324,-1.613,0.05904,-0.201,-1.519,-0.0202,-0.0854
22.5,0.933,-0.486,-0.176,-1.319,-0.101,-1.363,-0.086,-1.337,0.05921,0.067,-1.22,-0.0244,-0.0854
23.0,1.205,-0.171,0.058,-1.041,0.136,-1.086,0.173,-1.04,0.06027,0.376,-0.883,-0.0313,-0.0854
23.5,1.452,0.11,0.284,-0.779,0.365,-0.827,0.386,-0.8,0.05742,0.532,-0.686,-0.0229,-0.0854
24.0,1.727,0.422,0.534,-0.487,0.616,-0.537,0.645,-0.496,0.05735,0.81,-0.366,-0.0252,-0.0854
24.5,2.004,0.733,0.786,-0.197,0.874,-0.251,0.853,-0.216,0.05506,0.953,-0.15,-0.0145,-0.0854
25.0,2.254,1.011,1.012,0.062,1.099,0.007,1.092,0.038,0.05456,1.195,0.112,-0.0152,-0.0854
25.5,2.533,1.319,1.266,0.349,1.354,0.294,1.362,0.344,0.05507,1.499,0.446,-0.0198,-0.0854
26.0,2.785,1.596,1.488,0.601,1.581,0.542,1.594,0.604,0.05468,1.745,0.717,-0.0213,-0.0854
26.5,3.063,1.905,1.737,0.885,1.832,0.823,1.878,0.908,0.05462,2.078,1.065,-0.0281,-0.0854
27.0,3.341,2.215,1.989,1.176,2.088,1.11,2.143,1.205,0.05462,2.356,1.375,-0.0295,-0.0854
27.5,3.591,2.494,2.211,1.429,2.312,1.362,2.376,1.472,0.05394,2.606,1.656,-0.0314,-0.0854
28.0,3.871,2.801,2.456,1.706,2.559,1.637,2.623,1.764,0.05367,2.863,1.954,-0.0321,-0.0854
28.5,4.149,3.11,2.708,1.994,2.814,1.922,2.888,2.027,0.05258,3.101,2.203,-0.0289,-0.0854
29.0,4.399,3.389,2.931,2.25,3.043,2.173,3.126,2.288,0.05232,3.351,2.475,-0.0302,-0.0854
29.5,4.672,3.702,3.173,2.534,3.289,2.453,3.356,2.573,0.05142,3.563,2.741,-0.0273,-0.0854
30.0,4.919,3.984,3.392,2.791,3.513,2.707,3.601,2.844,0.05161,3.835,3.039,-0.0307,-0.0854
30.5,5.194,4.296,3.645,3.086,3.769,2.998,3.881,3.142,0.05143,4.133,3.358,-0.033,-0.0854
31.0,5.47,4.607,3.891,3.371,4.017,3.281,4.133,3.432,0.05101,4.384,3.651,-0.0327,-0.0854
31.5,5.717,4.888,4.105,3.62,4.235,3.526,4.344,3.675,0.04973,4.574,3.875,-0.03,-0.0854
32.0,5.992,5.2,4.353,3.909,4.488,3.812,4.601,3.971,0.0495,4.837,4.177,-0.0305,-0.0854
32.5,6.237,5.484,4.579,4.179,4.721,4.075,4.847,4.251,0.04859,5.092,4.467,-0.0317,-0.0854
33.0,6.51,5.797,4.825,4.468,4.968,4.363,5.089,4.547,0.0482,5.329,4.759,-0.0308,-0.0854
33.5,6.785,6.109,5.077,4.763,5.223,4.655,5.367,4.863,0.04809,5.632,5.101,-0.0338,-0.0854
34.0,7.023,6.398,5.286,5.026,5.437,4.914,5.588,5.116,0.04759,5.845,5.351,-0.0329,-0.0854
34.5,7.274,6.729,5.509,5.333,5.666,5.218,5.875,5.475,0.04682,6.193,5.772,-0.041,-0.0854
35.0,7.527,7.059,5.737,5.64,5.9,5.519,6.11,5.776,0.04654,6.417,6.067,-0.0395,-0.0854
35.5,7.761,7.35,5.938,5.896,6.105,5.772,6.35,6.047,0.04532,6.667,6.354,-0.0417,-0.0854
36.0,8.033,7.665,6.182,6.187,6.354,6.059,6.618,6.31,0.04524,6.921,6.615,-0.0402,-0.0854
36.5,8.283,7.943,6.416,6.452,6.588,6.324,6.869,6.592,0.04341,7.316,7.052,-0.0511,-0.0854
37.0,8.564,8.251,6.671,6.738,6.849,6.604,7.145,6.884,0.04382,7.602,7.357,-0.0518,-0.0854
37.5,8.845,8.557,6.931,7.028,7.115,6.889,7.45,7.208,0.04315,7.92,7.692,-0.0542,-0.0854
38.0,9.096,8.834,7.161,7.286,7.348,7.144,7.692,7.476,0.0434,8.17,7.968,-0.0546,-0.0854
38.5,9.374,9.144,7.407,7.567,7.597,7.422,7.95,7.725,0.04104,8.586,8.399,-0.0643,-0.0854
39.0,9.624,9.422,7.637,7.829,7.83,7.681,8.171,7.984,0.04103,8.788,8.64,-0.0617,-0.0854
39.5,9.902,9.732,7.891,8.119,8.084,7.971,8.439,8.276,0.04176,9.061,8.95,-0.0618,-0.0854
40.0,10.144,10.0,8.107,8.363,8.303,8.212,8.657,8.516,0.04209,9.269,9.193,-0.0606,-0.0854
40.5,10.151,10.007,8.108,8.364,8.304,8.213,8.672,8.519,0.04173,9.273,9.196,-0.0607,-0.0854
41.0,10.151,10.007,8.107,8.364,8.304,8.213,8.688,8.518,0.04126,9.271,9.195,-0.0606,-0.0854
41.5,10.151,10.007,8.107,8.364,8.304,8.212,8.709,8.516,0.04002,9.474,9.445,-0.0744,-0.0854
42.0,10.151,10.007,8.107,8.364,8.304,8.212,8.739,8.51,0.04002,9.474,9.445,-0.0744,-0.0854
42.5,10.151,10.007,8.107,8.364,8.304,8.212,8.767,8.502,0.04002,9.575,9.576,-0.0795,-0.0854
43.0,10.151,10.007,8.107,8.363,8.303,8.212,8.805,8.496,0.04002,9.567,9.535,-0.0788,-0.0854
43.5,10.151,10.007,8.107,8.363,8.303,8.212,8.837,8.509,0.04002,9.612,9.585,-0.0804,-0.0854
44.0,10.237,9.957,8.184,8.313,8.381,8.162,8.921,8.506,0.0401,9.646,9.554,-0.08,-0.0854
44.5,10.386,9.676,8.312,8.05,8.51,7.9,9.082,8.269,0.04031,9.826,9.326,-0.081,-0.0854
45.0,10.457,9.272,8.371,7.682,8.572,7.532,9.143,7.963,0.04039,9.866,8.905,-0.0807,-0.0854
45.5,10.492,8.9,8.398,7.346,8.602,7.197,9.207,7.727,0.04037,9.827,8.615,-0.0805,-0.0854
46.0,10.53,8.486,8.43,6.964,8.635,6.815,9.256,7.325,0.04039,9.849,8.15,-0.0805,-0.0854
46.5,10.562,8.071,8.456,6.584,8.665,6.435,9.371,7.033,0.04044,9.949,7.726,-0.0807,-0.0854
47.0,10.584,7.698,8.472,6.243,8.689,6.095,9.393,6.719,0.0404,9.997,7.349,-0.0808,-0.0854
47.5,10.603,7.282,8.486,5.859,8.707,5.711,9.424,6.402,0.04045,10.034,6.918,-0.0809,-0.0854
48.0,10.623,6.867,8.5,5.478,8.724,5.33,9.446,6.0,0.04046,10.071,6.465,-0.0811,-0.0854
48.5,10.659,6.496,8.532,5.139,8.759,4.991,9.485,5.67,0.04042,10.116,6.066,-0.0812,-0.0854
49.0,10.758,6.099,8.624,4.78,8.851,4.633,9.574,5.293,0.04053,10.218,5.642,-0.0814,-0.0854
49.5,10.901,5.755,8.756,4.468,8.984,4.322,9.708,4.97,0.04062,10.366,5.269,-0.0816,-0.0854
50.0,11.072,5.377,8.913,4.117,9.146,3.972,9.864,4.656,0.04078,10.531,4.908,-0.0814,-0.0854
50.5,11.203,4.985,9.027,3.764,9.264,3.622,9.989,4.4,0.04089,10.654,4.598,-0.081,-0.0854
51.0,11.277,4.621,9.089,3.433,9.327,3.29,10.049,4.021,0.04101,10.724,4.188,-0.0813,-0.0854
51.5,11.321,4.208,9.125,3.042,9.363,2.9,10.098,3.68,0.04126,10.768,3.798,-0.0811,-0.0854
52.0,11.339,3.835,9.136,2.698,9.378,2.556,10.116,3.321,0.04133,10.788,3.406,-0.0812,-0.0854
52.5,11.329,3.42,9.121,2.324,9.363,2.181,10.112,3.019,0.04137,10.769,3.066,-0.0806,-0.0854
53.0,11.297,3.006,9.086,1.943,9.338,1.8,10.078,2.679,0.04149,10.726,2.691,-0.0802,-0.0854
53.5,11.263,2.633,9.048,1.588,9.303,1.445,10.045,2.339,0.04156,10.686,2.32,-0.0801,-0.0854
54.0,11.232,2.218,9.016,1.216,9.275,1.073,10.046,1.986,0.04166,10.679,1.933,-0.08,-0.0854
54.5,11.204,1.803,8.987,0.846,9.248,0.703,10.028,1.596,0.04178,10.657,1.51,-0.0802,-0.0854
55.0,11.18,1.43,8.961,0.503,9.225,0.359,10.004,1.252,0.04187,10.631,1.132,-0.0803,-0.0854
55.5,11.155,1.015,8.934,0.129,9.203,-0.015,9.976,0.829,0.04206,10.598,0.674,-0.0808,-0.0854
56.0,11.132,0.641,8.91,-0.2,9.187,-0.344,9.95,0.483,0.04223,10.572,0.296,-0.081,-0.0854
56.5,11.104,0.226,8.88,-0.578,9.161,-0.723,9.935,0.127,0.04229,10.551,-0.092,-0.0808,-0.0854
57.0,11.075,-0.189,8.85,-0.953,9.137,-1.098,9.913,-0.245,0.04241,10.527,-0.498,-0.0807,-0.0854
57.5,11.051,-0.562,8.824,-1.298,9.114,-1.443,9.878,-0.623,0.04247,10.49,-0.897,-0.081,-0.0854
58.0,11.026,-0.978,8.798,-1.676,9.092,-1.821,9.857,-1.019,0.04259,10.466,-1.318,-0.0811,-0.0854
58.5,11.01,-1.351,8.78,-2.017,9.077,-2.162,9.836,-1.415,0.04266,10.444,-1.736,-0.0818,-0.0854
59.0,11.001,-1.767,8.768,-2.403,9.072,-2.548,9.825,-1.79,0.04275,10.428,-2.13,-0.0814,-0.0854
59.5,11.0,-2.183,8.764,-2.783,9.071,-2.929,9.82,-2.187,0.04288,10.423,-2.547,-0.0814,-0.0854
60.0,11.015,-2.557,8.776,-3.115,9.08,-3.26,9.824,-2.571,0.04292,10.431,-2.955,-0.0821,-0.0854
60.5,11.052,-2.971,8.807,-3.498,9.116,-3.643,9.858,-3.017,0.04312,10.466,-3.419,-0.0829,-0.0854
61.0,11.093,-3.384,8.843,-3.873,9.157,-4.017,9.896,-3.377,0.04314,10.501,-3.791,-0.0822,-0.0854
61.5,11.129,-3.757,8.873,-4.213,9.193,-4.357,9.929,-3.739,0.04316,10.537,-4.164,-0.0823,-0.0854
62.0,11.164,-4.172,8.902,-4.586,9.225,-4.729,9.944,-4.092,0.04321,10.546,-4.526,-0.0815,-0.0854
62.5,11.198,-4.544,8.931,-4.927,9.251,-5.07,9.972,-4.499,0.04316,10.555,-4.923,-0.0819,-0.0854
63.0,11.239,-4.958,8.967,-5.312,9.288,-5.455,10.017,-4.897,0.04328,10.6,-5.335,-0.0818,-0.0854
63.5,11.28,-5.372,9.003,-5.694,9.324,-5.837,10.076,-5.363,0.04339,10.644,-5.801,-0.0826,-0.0854
64.0,11.315,-5.744,9.031,-6.035,9.356,-6.178,10.117,-5.73,0.0434,10.687,-6.181,-0.0827,-0.0854
64.5,11.348,-6.159,9.058,-6.42,9.387,-6.563,10.136,-6.088,0.04346,10.703,-6.537,-0.0817,-0.0854
65.0,11.38,-6.532,9.084,-6.754,9.414,-6.896,10.145,-6.417,0.04336,10.706,-6.869,-0.0811,-0.0854
65.5,11.42,-6.946,9.118,-7.135,9.448,-7.278,10.171,-6.827,0.04344,10.733,-7.275,-0.0809,-0.0854
66.0,11.465,-7.359,9.158,-7.523,9.49,-7.665,10.191,-7.213,0.04351,10.748,-7.669,-0.0803,-0.0854
66.5,11.505,-7.732,9.191,-7.866,9.527,-8.007,10.24,-7.602,0.04349,10.796,-8.033,-0.0802,-0.0854
67.0,11.549,-8.145,9.229,-8.249,9.569,-8.39,10.275,-7.976,0.04353,10.826,-8.414,-0.0796,-0.0854
67.5,11.593,-8.536,9.267,-8.608,9.609,-8.749,10.333,-8.43,0.04352,10.867,-8.802,-0.0795,-0.0854
68.0,11.601,-8.605,9.274,-8.669,9.617,-8.809,10.356,-8.509,0.0431,10.893,-8.872,-0.0797,-0.0854
68.5,11.601,-8.605,9.274,-8.669,9.617,-8.809,10.386,-8.486,0.0428,10.903,-8.738,-0.0781,-0.0854
69.0,11.601,-8.605,9.274,-8.669,9.617,-8.81,10.379,-8.519,0.04261,10.896,-8.754,-0.0782,-0.0854
69.5,11.601,-8.605,9.274,-8.669,9.617,-8.81,10.414,-8.673,0.04237,10.887,-8.801,-0.0786,-0.0854
70.0,11.601,-8.605,9.274,-8.669,9.617,-8.809,10.441,-8.666,0.04199,10.908,-8.785,-0.0785,-0.0854
70.5,11.601,-8.605,9.274,-8.669,9.617,-8.81,10.398,-8.659,0.04153,10.876,-8.727,-0.0781,-0.0854
71.0,11.601,-8.605,9.274,-8.67,9.617,-8.81,10.394,-8.669,0.04082,10.858,-8.73,-0.078,-0.0854
71.5,11.601,-8.605,9.274,-8.669,9.617,-8.81,10.367,-8.759,0.04032,10.847,-8.775,-0.0781,-0.0854
72.0,11.601,-8.605,9.274,-8.669,9.617,-8.809,10.372,-8.823,0.04002,10.86,-8.83,-0.0783,-0.0854
72.5,11.601,-8.605,9.274,-8.669,9.617,-8.809,10.401,-8.827,0.04002,10.867,-8.785,-0.0782,-0.0854
73.0,11.601,-8.605,9.274,-8.669,9.617,-8.81,10.41,-8.879,0.04002,10.866,-8.806,-0.0782,-0.0854
73.5,11.601,-8.605,9.274,-8.669,9.617,-8.81,10.398,-8.998,0.04002,10.927,-8.844,-0.0784,-0.0854
74.0,11.601,-8.605,9.273,-8.668,9.617,-8.808,10.397,-8.997,0.04002,10.946,-8.844,-0.0784,-0.0854
74.5,11.601,-8.605,9.273,-8.668,9.617,-8.809,10.361,-8.928,0.04002,11.006,-8.736,-0.0785,-0.0854
75.0,11.601,-8.605,9.274,-8.669,9.617,-8.809,10.357,-8.926,0.04002,11.034,-8.711,-0.0785,-0.0854
75.5,11.601,-8.605,9.273,-8.668,9.617,-8.809,10.331,-8.832,0.04002,11.017,-8.672,-0.0785,-0.0854
76.0,11.601,-8.605,9.274,-8.669,9.617,-8.809,10.298,-8.8,0.04002,10.997,-8.651,-0.0784,-0.0854
76.5,11.601,-8.605,9.273,-8.668,9.617,-8.808,10.313,-8.69,0.04002,11.009,-8.541,-0.0784,-0.0854
77.0,11.601,-8.605,9.273,-8.668,9.617,-8.808,10.316,-8.662,0.04002,11.004,-8.537,-0.0784,-0.0854
77.5,11.601,-8.605,9.274,-8.669,9.617,-8.81,10.316,-8.664,0.04002,10.985,-8.539,-0.0784,-0.0854
78.0,11.601,-8.605,9.274,-8.669,9.617,-8.809,10.314,-8.655,0.04002,10.997,-8.52,-0.0784,-0.0854
78.5,11.601,-8.605,9.274,-8.668,9.617,-8.809,10.315,-8.671,0.04002,11.008,-8.533,-0.0784,-0.0854
79.0,11.417,-8.619,9.099,-8.661,9.442,-8.814,10.13,-8.651,0.04015,10.81,-8.492,-0.0784,-0.0854
79.5,11.102,-8.47,8.812,-8.493,9.145,-8.665,9.856,-8.544,0.04035,10.546,-8.355,-0.0784,-0.0854
80.0,10.774,-8.219,8.53,-8.24,8.847,-8.431,9.623,-8.306,0.04041,10.248,-8.103,-0.0784,-0.0854
80.5,10.459,-7.948,8.264,-7.974,8.562,-8.186,9.441,-8.087,0.04041,9.983,-7.93,-0.0783,-0.0854
81.0,10.178,-7.7,8.021,-7.724,8.302,-7.953,9.253,-7.831,0.04039,9.69,-7.673,-0.0783,-0.0854
81.5,9.866,-7.425,7.754,-7.451,8.015,-7.702,9.08,-7.615,0.04043,9.45,-7.504,-0.078,-0.0854
82.0,9.587,-7.175,7.516,-7.205,7.761,-7.472,8.909,-7.4,0.0404,9.24,-7.305,-0.0777,-0.0854
82.5,9.276,-6.9,7.248,-6.93,7.477,-7.214,8.6,-7.13,0.04046,8.892,-6.986,-0.078,-0.0854
83.0,8.966,-6.623,6.983,-6.657,7.194,-6.959,8.299,-6.875,0.04056,8.558,-6.696,-0.0781,-0.0854
83.5,8.686,-6.374,6.742,-6.409,6.935,-6.731,8.05,-6.648,0.04043,8.282,-6.453,-0.0781,-0.0854
84.0,8.374,-6.098,6.473,-6.135,6.648,-6.476,7.742,-6.395,0.04059,7.945,-6.168,-0.0783,-0.0854
84.5,8.096,-5.849,6.233,-5.886,6.393,-6.242,7.47,-6.174,0.04059,7.652,-5.923,-0.0784,-0.0854
85.0,7.784,-5.574,5.971,-5.62,6.115,-5.994,7.188,-5.922,0.04067,7.344,-5.648,-0.0785,-0.0854
85.5,7.47,-5.301,5.695,-5.343,5.822,-5.734,6.887,-5.669,0.04066,7.02,-5.374,-0.0784,-0.0854
86.0,7.188,-5.054,5.449,-5.094,5.558,-5.505,6.607,-5.434,0.04073,6.715,-5.113,-0.0787,-0.0854
86.5,6.88,-4.775,5.188,-4.819,5.277,-5.25,6.346,-5.169,0.04074,6.432,-4.837,-0.0785,-0.0854
87.0,6.603,-4.481,4.959,-4.528,5.026,-4.978,6.067,-4.901,0.04087,6.132,-4.54,-0.0788,-0.0854
87.5,6.573,-4.376,4.947,-4.432,5.003,-4.883,6.06,-4.801,0.04036,6.127,-4.442,-0.0785,-0.0854
88.0,6.742,-4.059,5.141,-4.152,5.161,-4.582,6.227,-4.527,0.04038,6.316,-4.16,-0.0778,-0.0854
88.5,6.84,-3.712,5.257,-3.85,5.245,-4.269,6.329,-4.224,0.04041,6.431,-3.85,-0.0772,-0.0854
89.0,6.875,-3.303,5.324,-3.48,5.272,-3.894,6.339,-3.825,0.04052,6.442,-3.413,-0.0778,-0.0854
89.5,6.817,-2.904,5.3,-3.105,5.213,-3.522,6.284,-3.417,0.04057,6.381,-2.979,-0.0781,-0.0854
90.0,6.682,-2.565,5.203,-2.787,5.088,-3.215,6.143,-3.126,0.0406,6.23,-2.683,-0.0778,-0.0854
90.5,6.449,-2.229,5.015,-2.463,4.873,-2.908,5.926,-2.793,0.04081,5.991,-2.333,-0.0781,-0.0854
91.0,6.195,-1.957,4.802,-2.192,4.634,-2.659,5.687,-2.51,0.04096,5.727,-2.036,-0.0785,-0.0854
91.5,5.883,-1.685,4.534,-1.916,4.347,-2.404,5.405,-2.221,0.04115,5.416,-1.732,-0.0789,-0.0854
92.0,5.553,-1.432,4.259,-1.665,4.053,-2.175,5.125,-1.999,0.04131,5.12,-1.506,-0.0783,-0.0854
92.5,5.253,-1.209,3.994,-1.43,3.768,-1.965,4.85,-1.794,0.04145,4.83,-1.294,-0.0778,-0.0854
93.0,4.917,-0.963,3.701,-1.173,3.453,-1.735,4.572,-1.569,0.04155,4.538,-1.071,-0.0767,-0.0854
