t,own_known,merged_known,total
246.0,39438,42037,45369
247.0,39437,42037,45369
248.0,39434,42037,45369
249.0,39433,42037,45369
250.0,39420,42037,45369
251.0,39421,42038,45369
252.0,39420,42038,45369
253.0,39419,42038,45369
254.0,39425,42038,45369
255.0,39428,42038,45369
256.0,39443,42038,45369
257.0,39449,42038,45369
258.0,39448,42038,45369
259.0,39451,42038,45369
260.0,39448,42038,45369
261.0,39448,42039,45369
262.0,39443,42040,45369
263.0,39446,42040,45369
264.0,39443,42040,45369
265.0,39447,42040,45369
266.0,39446,42041,45369
267.0,39442,42041,45369
268.0,39454,42041,45369
269.0,39451,42041,45369
270.0,39447,42041,45369
271.0,39445,42041,45369
272.0,39441,42041,45369
273.0,39437,42041,45369
274.0,39431,42041,45369
275.0,39440,42042,45369
276.0,39432,42042,45369
