t,tx,rx,relayed,dup_dropped
2.0,6,6,6,6
4.0,16,25,25,25
6.0,26,45,45,45
8.0,36,65,65,65
10.0,46,85,85,85
12.0,56,105,105,105
14.0,66,125,125,125
16.0,76,145,145,144
18.0,86,165,164,163
20.0,96,185,184,183
22.0,106,206,204,202
24.0,116,227,224,222
26.0,126,249,244,242
28.0,136,271,264,262
30.0,146,295,284,281
32.0,156,318,304,301
34.0,166,340,324,321
36.0,176,364,344,340
38.0,186,386,364,359
40.0,197,412,386,381
42.0,209,439,410,403
44.0,219,463,432,425
46.0,229,485,452,445
48.0,239,507,472,465
50.0,249,531,492,485
52.0,259,553,512,505
54.0,269,575,532,524
56.0,279,597,548,531
58.0,289,618,568,550
60.0,299,638,588,570
62.0,309,660,608,590
64.0,319,681,628,608
66.0,329,703,648,628
68.0,341,729,672,652
70.0,352,753,694,673
72.0,364,779,718,697
74.0,376,805,742,721
76.0,387,829,764,743
78.0,399,856,789,768
80.0,409,878,809,788
82.0,419,901,829,808
84.0,429,923,849,828
86.0,439,945,869,847
88.0,449,968,889,867
90.0,459,990,909,887
92.0,469,1012,929,905
94.0,479,1034,949,925
96.0,489,1056,969,941
98.0,499,1079,988,959
100.0,509,1100,1008,979
102.0,519,1120,1028,999
104.0,529,1144,1048,1018
106.0,539,1166,1068,1037
108.0,549,1187,1088,1056
110.0,559,1210,1108,1076
112.0,569,1233,1129,1096
114.0,581,1258,1152,1119
116.0,593,1284,1176,1142
118.0,604,1309,1199,1165
120.0,616,1334,1222,1188
122.0,628,1360,1246,1212
124.0,639,1385,1269,1235
126.0,652,1410,1292,1258
128.0,662,1434,1312,1278
130.0,672,1456,1332,1298
132.0,682,1478,1352,1318
134.0,692,1500,1372,1338
136.0,702,1522,1392,1358
138.0,712,1544,1412,1378
140.0,722,1566,1432,1398
142.0,732,1588,1452,1418
144.0,742,1609,1472,1437
146.0,752,1630,1492,1457
148.0,762,1651,1512,1477
150.0,772,1671,1532,1496
152.0,782,1692,1552,1516
154.0,792,1714,1572,1536
156.0,802,1735,1592,1556
158.0,812,1755,1612,1576
160.0,822,1775,1632,1596
162.0,832,1797,1652,1616
164.0,842,1817,1672,1636
166.0,852,1837,1692,1656
168.0,862,1857,1712,1676
170.0,872,1877,1732,1696
172.0,882,1897,1752,1716
174.0,892,1917,1772,1736
176.0,902,1937,1792,1756
178.0,912,1958,1812,1776
180.0,922,1978,1832,1796
182.0,932,1999,1852,1816
184.0,942,2019,1872,1836
186.0,952,2039,1892,1856
188.0,962,2059,1912,1876
190.0,972,2080,1932,1896
192.0,982,2100,1952,1916
194.0,992,2121,1972,1936
196.0,1002,2141,1992,1956
198.0,1013,2161,2012,1976
200.0,1022,2181,2032,1996
202.0,1032,2201,2052,2016
204.0,1042,2221,2072,2036
206.0,1052,2241,2092,2056
208.0,1062,2261,2112,2076
210.0,1072,2282,2132,2096
212.0,1082,2303,2152,2116
214.0,1092,2323,2172,2136
216.0,1102,2343,2192,2156
218.0,1112,2364,2212,2176
220.0,1122,2384,2232,2196
222.0,1132,2404,2252,2216
224.0,1142,2425,2272,2236
226.0,1152,2445,2292,2256
228.0,1162,2465,2312,2276
230.0,1172,2485,2332,2296
232.0,1182,2506,2352,2316
234.0,1192,2526,2372,2336
236.0,1202,2546,2391,2355
238.0,1212,2567,2411,2375
240.0,1222,2587,2431,2395
242.0,1232,2607,2451,2415
244.0,1242,2627,2471,2435
246.0,1252,2648,2491,2455
248.0,1262,2668,2511,2475
250.0,1272,2688,2531,2495
252.0,1282,2708,2551,2515
254.0,1292,2729,2571,2535
256.0,1302,2749,2591,2555
258.0,1312,2769,2611,2575
260.0,1322,2789,2631,2595
262.0,1332,2809,2651,2615
264.0,1342,2830,2671,2635
266.0,1352,2850,2691,2654
268.0,1362,2870,2711,2674
270.0,1372,2891,2731,2694
272.0,1382,2911,2751,2714
274.0,1392,2931,2771,2734
276.0,1402,2951,2791,2754
