t,own_known,merged_known,total
1.1,0,0,45369
2.0,0,0,45369
3.0,2765,3461,45369
4.0,4128,5873,45369
5.0,4639,6971,45369
6.0,5339,7456,45369
7.0,5888,7976,45369
8.0,6266,8454,45369
9.0,6602,8866,45369
10.0,6972,9329,45369
11.0,7345,9869,45369
12.0,7631,10634,45369
13.0,7979,11477,45369
14.0,8262,12200,45369
15.0,8615,12879,45369
16.0,9390,13529,45369
17.0,10326,13918,45369
18.0,11020,14457,45369
19.0,11687,15080,45369
20.0,12294,15663,45369
21.0,12816,16368,45369
22.0,13377,17207,45369
23.0,13924,18002,45369
24.0,14422,18869,45369
25.0,15018,19663,45369
26.0,15608,20338,45369
27.0,16219,21014,45369
28.0,16804,21699,45369
29.0,17449,22293,45369
30.0,18083,22867,45369
31.0,18707,23487,45369
32.0,19235,24158,45369
33.0,19759,24786,45369
34.0,20235,25583,45369
35.0,20557,26346,45369
36.0,21158,26881,45369
37.0,21708,27716,45369
38.0,22084,28364,45369
39.0,22725,28741,45369
40.0,23464,29209,45369
41.0,24129,29518,45369
42.0,24772,29754,45369
43.0,25265,29920,45369
44.0,25651,30087,45369
45.0,25799,30188,45369
46.0,25993,30320,45369
47.0,26129,30407,45369
48.0,26244,30528,45369
49.0,26349,30655,45369
50.0,26418,30731,45369
51.0,26526,30836,45369
52.0,26612,30939,45369
53.0,26761,30990,45369
54.0,26915,31111,45369
55.0,27079,31273,45369
56.0,27285,31404,45369
57.0,27470,31580,45369
58.0,27605,31706,45369
59.0,27843,31973,45369
60.0,28138,32245,45369
61.0,28459,32475,45369
62.0,28791,32802,45369
63.0,28985,33101,45369
64.0,29338,33452,45369
65.0,29704,33705,45369
66.0,29954,34052,45369
67.0,30367,34260,45369
68.0,30769,34529,45369
69.0,31191,34800,45369
70.0,31447,34886,45369
71.0,31819,34973,45369
72.0,32045,35024,45369
73.0,32173,35051,45369
74.0,32316,35068,45369
75.0,32460,35085,45369
76.0,32487,35089,45369
77.0,32538,35095,45369
78.0,32568,35104,45369
79.0,32573,35104,45369
80.0,32591,35110,45369
81.0,32591,35117,45369
82.0,32602,35131,45369
83.0,32626,35158,45369
84.0,32646,35176,45369
85.0,32667,35187,45369
86.0,32707,35197,45369
87.0,32750,35205,45369
88.0,32801,35212,45369
89.0,32868,35229,45369
90.0,32933,35244,45369
91.0,32968,35250,45369
92.0,32988,35256,45369
93.0,32997,35261,45369
94.0,33003,35263,45369
95.0,33009,35263,45369
96.0,33018,35263,45369
97.0,33022,35265,45369
98.0,33023,35265,45369
99.0,33021,35265,45369
100.0,33027,35265,45369
101.0,33043,35266,45369
102.0,33058,35284,45369
103.0,33077,35411,45369
104.0,33092,35674,45369
105.0,33130,35931,45369
106.0,33182,36373,45369
107.0,33223,36937,45369
108.0,33252,37548,45369
109.0,33353,37976,45369
110.0,33461,38602,45369
111.0,33782,39284,45369
112.0,34402,39729,45369
113.0,34892,40314,45369
114.0,35692,40682,45369
115.0,36169,40862,45369
116.0,36875,41024,45369
117.0,37332,41165,45369
118.0,37890,41318,45369
119.0,38327,41408,45369
120.0,38597,41520,45369
121.0,38653,41584,45369
122.0,38768,41659,45369
123.0,38852,41691,45369
124.0,38869,41727,45369
125.0,38924,41746,45369
126.0,38956,41757,45369
127.0,38995,41762,45369
128.0,39019,41773,45369
129.0,39063,41794,45369
130.0,39121,41817,45369
131.0,39207,41828,45369
132.0,39299,41838,45369
133.0,39327,41843,45369
134.0,39374,41848,45369
135.0,39378,41854,45369
136.0,39390,41874,45369
137.0,39404,41901,45369
138.0,39421,41919,45369
139.0,39425,41934,45369
140.0,39426,41957,45369
141.0,39427,41970,45369
142.0,39434,41984,45369
143.0,39440,41992,45369
144.0,39445,41993,45369
145.0,39445,41993,45369
146.0,39457,41993,45369
147.0,39476,41993,45369
148.0,39464,41993,45369
149.0,39472,41993,45369
150.0,39480,41993,45369
151.0,39500,41993,45369
152.0,39515,41993,45369
153.0,39525,41994,45369
154.0,39529,41997,45369
155.0,39539,42008,45369
156.0,39543,42027,45369
157.0,39563,42044,45369
158.0,39563,42063,45369
159.0,39561,42069,45369
160.0,39559,42080,45369
161.0,39555,42085,45369
162.0,39557,42085,45369
163.0,39563,42085,45369
164.0,39564,42090,45369
165.0,39565,42090,45369
166.0,39569,42090,45369
167.0,39570,42090,45369
168.0,39581,42090,45369
169.0,39582,42090,45369
170.0,39586,42090,45369
171.0,39589,42091,45369
172.0,39587,42091,45369
173.0,39585,42091,45369
174.0,39586,42091,45369
175.0,39584,42092,45369
176.0,39584,42092,45369
177.0,39586,42092,45369
178.0,39589,42092,45369
179.0,39585,42092,45369
180.0,39588,42092,45369
181.0,39588,42092,45369
182.0,39590,42092,45369
183.0,39589,42092,45369
184.0,39590,42092,45369
185.0,39595,42092,45369
186.0,39597,42092,45369
187.0,39597,42092,45369
188.0,39596,42092,45369
189.0,39598,42092,45369
190.0,39598,42092,45369
191.0,39607,42093,45369
192.0,39602,42093,45369
193.0,39600,42093,45369
194.0,39597,42093,45369
195.0,39600,42093,45369
196.0,39601,42093,45369
197.0,39604,42093,45369
198.0,39604,42093,45369
199.0,39600,42093,45369
200.0,39596,42093,45369
201.0,39588,42093,45369
202.0,39598,42093,45369
203.0,39595,42093,45369
204.0,39588,42093,45369
205.0,39599,42093,45369
206.0,39607,42093,45369
207.0,39604,42093,45369
208.0,39600,42093,45369
209.0,39596,42093,45369
210.0,39602,42093,45369
211.0,39611,42093,45369
212.0,39621,42093,45369
213.0,39615,42093,45369
214.0,39615,42093,45369
215.0,39612,42093,45369
216.0,39600,42093,45369
217.0,39598,42093,45369
218.0,39593,42093,45369
219.0,39590,42093,45369
220.0,39587,42093,45369
221.0,39592,42093,45369
222.0,39590,42093,45369
223.0,39590,42093,45369
224.0,39592,42093,45369
225.0,39593,42093,45369
226.0,39595,42093,45369
227.0,39596,42093,45369
228.0,39599,42093,45369
229.0,39611,42093,45369
230.0,39613,42093,45369
231.0,39609,42093,45369
232.0,39615,42093,45369
233.0,39622,42093,45369
234.0,39623,42093,45369
235.0,39631,42093,45369
236.0,39628,42093,45369
237.0,39629,42093,45369
238.0,39640,42093,45369
239.0,39642,42093,45369
240.0,39640,42093,45369
241.0,39644,42093,45369
242.0,39645,42093,45369
243.0,39646,42093,45369
244.0,39645,42093,45369
245.0,39642,42094,45369
246.0,39640,42094,45369
247.0,39635,42094,45369
248.0,39636,42094,45369
249.0,39635,42094,45369
250.0,39643,42094,45369
251.0,39645,42095,45369
252.0,39643,42095,45369
253.0,39649,42095,45369
254.0,39646,42095,45369
255.0,39646,42095,45369
256.0,39646,42095,45369
257.0,39650,42095,45369
258.0,39650,42095,45369
259.0,39647,42095,45369
260.0,39656,42095,45369
261.0,39654,42096,45369
262.0,39649,42097,45369
263.0,39632,42097,45369
264.0,39629,42097,45369
265.0,39634,42097,45369
266.0,39641,42098,45369
267.0,39649,42098,45369
268.0,39656,42098,45369
269.0,39656,42098,45369
270.0,39657,42098,45369
271.0,39659,42098,45369
272.0,39659,42098,45369
273.0,39655,42098,45369
274.0,39657,42098,45369
275.0,39657,42099,45369
276.0,39664,42100,45369
