t,tx,rx,relayed,dup_dropped
2.0,7,10,10,10
4.0,16,30,29,29
6.0,26,50,49,49
8.0,36,70,69,69
10.0,46,90,89,88
12.0,56,110,109,108
14.0,66,133,128,125
16.0,76,154,148,145
18.0,86,175,168,164
20.0,96,195,188,183
22.0,106,215,208,203
24.0,117,237,228,223
26.0,126,257,248,241
28.0,136,279,268,260
30.0,146,303,288,280
32.0,156,325,308,298
34.0,166,347,328,317
36.0,176,369,348,336
38.0,186,391,368,356
40.0,198,417,392,375
42.0,209,442,411,392
44.0,221,466,433,413
46.0,231,489,453,432
48.0,241,513,473,452
50.0,251,536,493,472
52.0,261,559,513,492
54.0,271,582,531,508
56.0,281,604,551,527
58.0,291,629,571,547
60.0,301,652,591,567
62.0,311,675,611,587
64.0,321,697,631,606
66.0,331,719,651,625
68.0,342,743,673,647
70.0,354,767,695,667
72.0,365,793,719,691
74.0,377,819,743,715
76.0,389,843,765,737
78.0,400,869,789,761
80.0,412,894,812,784
82.0,421,917,832,804
84.0,431,939,852,824
86.0,441,961,872,844
88.0,451,983,892,864
90.0,461,1005,912,884
92.0,471,1027,932,904
94.0,481,1048,952,924
96.0,491,1070,971,942
98.0,501,1091,991,960
100.0,511,1110,1009,976
102.0,521,1131,1029,994
104.0,531,1151,1048,1012
106.0,541,1172,1068,1031
108.0,551,1194,1088,1051
110.0,561,1217,1108,1070
112.0,571,1240,1128,1090
114.0,581,1260,1145,1101
116.0,591,1282,1164,1119
118.0,603,1308,1188,1141
120.0,614,1332,1210,1163
122.0,626,1358,1234,1187
124.0,638,1385,1258,1211
126.0,649,1409,1280,1233
128.0,661,1436,1304,1257
130.0,673,1462,1328,1281
132.0,685,1487,1350,1303
134.0,695,1512,1373,1326
136.0,705,1534,1393,1346
138.0,715,1556,1413,1366
140.0,725,1578,1433,1386
142.0,735,1600,1453,1406
144.0,745,1621,1473,1426
146.0,755,1643,1493,1446
148.0,765,1663,1513,1466
150.0,775,1684,1533,1486
152.0,785,1705,1553,1506
154.0,795,1725,1573,1526
156.0,805,1746,1593,1546
158.0,815,1767,1613,1566
160.0,825,1787,1633,1586
162.0,835,1807,1653,1606
164.0,845,1827,1673,1626
166.0,855,1847,1693,1646
168.0,865,1867,1713,1666
170.0,875,1887,1733,1686
172.0,885,1907,1753,1706
174.0,895,1927,1773,1726
176.0,905,1947,1793,1746
178.0,915,1968,1813,1766
180.0,925,1988,1833,1786
182.0,935,2009,1853,1806
184.0,945,2029,1873,1826
186.0,955,2049,1893,1846
188.0,965,2070,1913,1866
190.0,976,2090,1933,1886
192.0,986,2110,1953,1906
194.0,995,2130,1973,1926
196.0,1005,2150,1993,1946
198.0,1015,2171,2013,1966
200.0,1025,2191,2033,1986
202.0,1035,2211,2053,2006
204.0,1045,2232,2073,2026
206.0,1055,2252,2093,2046
208.0,1065,2273,2113,2065
210.0,1075,2293,2133,2085
212.0,1085,2313,2153,2105
214.0,1095,2334,2173,2125
216.0,1105,2354,2193,2145
218.0,1115,2374,2213,2165
220.0,1125,2394,2233,2185
222.0,1135,2414,2253,2205
224.0,1145,2434,2273,2225
226.0,1155,2454,2293,2245
228.0,1165,2474,2313,2265
230.0,1175,2494,2333,2285
232.0,1185,2515,2353,2305
234.0,1195,2535,2373,2325
236.0,1205,2555,2393,2345
238.0,1215,2575,2413,2365
240.0,1225,2595,2433,2385
242.0,1235,2615,2453,2404
244.0,1245,2635,2473,2424
246.0,1255,2655,2493,2444
248.0,1265,2675,2512,2463
250.0,1275,2696,2532,2483
252.0,1285,2716,2552,2503
254.0,1295,2736,2572,2523
256.0,1305,2756,2592,2543
258.0,1315,2776,2612,2563
260.0,1325,2796,2632,2583
262.0,1335,2816,2652,2603
264.0,1345,2836,2672,2623
266.0,1355,2856,2692,2643
268.0,1365,2876,2712,2663
270.0,1375,2897,2732,2683
272.0,1385,2917,2752,2703
274.0,1395,2937,2772,2723
276.0,1405,2957,2792,2743
