t,own_known,merged_known,total
1.0,34,34,45369
2.0,3130,4007,45369
3.0,3816,5557,45369
4.0,4761,6406,45369
5.0,5566,7139,45369
6.0,5873,7603,45369
7.0,6162,8057,45369
8.0,6431,8515,45369
9.0,6757,9029,45369
10.0,7143,9504,45369
11.0,7532,10158,45369
12.0,7911,11013,45369
13.0,8216,11915,45369
14.0,8516,12637,45369
15.0,8881,13269,45369
16.0,9684,13694,45369
17.0,10475,14221,45369
18.0,10927,14770,45369
19.0,11493,15343,45369
20.0,12064,16016,45369
21.0,12639,16775,45369
22.0,13217,17309,45369
23.0,13716,18197,45369
24.0,14251,19007,45369
25.0,14669,19860,45369
26.0,15278,20367,45369
27.0,15949,21099,45369
28.0,16630,21793,45369
29.0,17254,22352,45369
30.0,17917,22902,45369
31.0,18535,23499,45369
32.0,19139,24195,45369
33.0,19519,24816,45369
34.0,20002,25740,45369
35.0,20485,26567,45369
36.0,21056,27490,45369
37.0,21405,28174,45369
38.0,22025,28494,45369
39.0,22695,28878,45369
40.0,23473,29234,45369
41.0,24177,29449,45369
42.0,24540,29599,45369
43.0,25067,29758,45369
44.0,25469,29882,45369
45.0,25740,30000,45369
46.0,25944,30184,45369
47.0,26015,30298,45369
48.0,26110,30448,45369
49.0,26179,30577,45369
50.0,26243,30666,45369
51.0,26331,30751,45369
52.0,26423,30840,45369
53.0,26570,30920,45369
54.0,26741,31017,45369
55.0,26918,31099,45369
56.0,27097,31230,45369
57.0,27241,31376,45369
58.0,27457,31516,45369
59.0,27705,31748,45369
60.0,27854,31987,45369
61.0,28095,32250,45369
62.0,28377,32505,45369
63.0,28654,32794,45369
64.0,28966,32986,45369
65.0,29290,33285,45369
66.0,29527,33614,45369
67.0,29885,33804,45369
68.0,30231,34070,45369
69.0,30490,34218,45369
70.0,30904,34421,45369
71.0,31321,34505,45369
72.0,31654,34598,45369
73.0,31841,34649,45369
74.0,32040,34732,45369
75.0,32216,34792,45369
76.0,32305,34844,45369
77.0,32403,34882,45369
78.0,32445,34894,45369
79.0,32461,34905,45369
80.0,32504,34923,45369
81.0,32518,34930,45369
82.0,32527,34936,45369
83.0,32536,34953,45369
84.0,32559,34967,45369
85.0,32627,34997,45369
86.0,32726,35041,45369
87.0,32860,35076,45369
88.0,33036,35125,45369
89.0,33126,35159,45369
90.0,33276,35217,45369
91.0,33405,35283,45369
92.0,33517,35335,45369
93.0,33564,35350,45369
94.0,33581,35361,45369
95.0,33593,35368,45369
96.0,33597,35372,45369
97.0,33601,35374,45369
98.0,33602,35376,45369
99.0,33606,35379,45369
100.0,33611,35380,45369
101.0,33610,35380,45369
102.0,33614,35381,45369
103.0,33645,35384,45369
104.0,33678,35409,45369
105.0,33700,35473,45369
106.0,33718,35581,45369
107.0,33752,35904,45369
108.0,33807,36175,45369
109.0,33873,36706,45369
110.0,33969,37312,45369
111.0,34143,37729,45369
112.0,34356,38372,45369
113.0,34758,38854,45369
114.0,35303,39459,45369
115.0,35884,39995,45369
116.0,36268,40264,45369
117.0,36839,40718,45369
118.0,37268,41074,45369
119.0,37516,41267,45369
120.0,37853,41518,45369
121.0,38059,41684,45369
122.0,38121,41783,45369
123.0,38220,41890,45369
124.0,38269,41959,45369
125.0,38295,41998,45369
126.0,38321,42023,45369
127.0,38338,42038,45369
128.0,38348,42055,45369
129.0,38360,42070,45369
130.0,38375,42092,45369
131.0,38394,42125,45369
132.0,38421,42179,45369
133.0,38441,42222,45369
134.0,38454,42270,45369
135.0,38464,42330,45369
136.0,38494,42367,45369
137.0,38518,42399,45369
138.0,38556,42433,45369
139.0,38594,42466,45369
140.0,38638,42500,45369
141.0,38676,42538,45369
142.0,38717,42553,45369
143.0,38746,42563,45369
144.0,38767,42566,45369
145.0,38783,42570,45369
146.0,38810,42572,45369
147.0,38836,42573,45369
148.0,38849,42573,45369
149.0,38856,42580,45369
150.0,38869,42586,45369
151.0,38873,42600,45369
152.0,38871,42618,45369
153.0,38887,42651,45369
154.0,38902,42670,45369
155.0,38930,42701,45369
156.0,38971,42731,45369
157.0,39008,42750,45369
158.0,39037,42767,45369
159.0,39049,42776,45369
