t,gt_x,gt_y,dr_x,dr_y,cdr_x,cdr_y,fused_x,fused_y,P_trace,fb_x,fb_y,b_hat,b_true
1.06,-11.0,-11.0,-11.0,-11.0,-11.0,-11.0,-11.023,-10.994,0.04001,-11.023,-10.994,0.0,-0.0813
1.5,-10.882,-10.883,-10.892,-10.892,-10.892,-10.891,-10.95,-10.895,0.04024,-10.95,-10.895,0.0,-0.0813
2.0,-10.587,-10.589,-10.621,-10.623,-10.624,-10.621,-10.68,-10.627,0.04133,-10.68,-10.627,0.0,-0.0813
2.5,-10.293,-10.296,-10.358,-10.359,-10.36,-10.357,-10.391,-10.42,0.04262,-10.392,-10.421,0.0018,-0.0813
3.0,-10.028,-10.031,-10.106,-10.107,-10.105,-10.108,-10.136,-10.164,0.04456,-10.137,-10.165,0.0012,-0.0813
3.5,-9.733,-9.738,-9.833,-9.836,-9.833,-9.836,-9.876,-9.893,0.04478,-9.88,-9.896,0.0029,-0.0813
4.0,-9.467,-9.474,-9.592,-9.596,-9.59,-9.599,-9.653,-9.672,0.04443,-9.662,-9.68,0.0081,-0.0813
4.5,-9.174,-9.179,-9.32,-9.321,-9.317,-9.325,-9.348,-9.372,0.04648,-9.347,-9.371,-0.0019,-0.0813
5.0,-8.88,-8.884,-9.046,-9.047,-9.048,-9.046,-9.067,-9.084,0.04847,-9.061,-9.078,-0.0058,-0.0813
5.5,-8.614,-8.622,-8.801,-8.805,-8.799,-8.807,-8.793,-8.798,0.05071,-8.761,-8.773,-0.0214,-0.0813
6.0,-8.321,-8.327,-8.525,-8.527,-8.525,-8.527,-8.513,-8.507,0.0535,-8.47,-8.473,-0.0246,-0.0813
6.5,-8.056,-8.062,-8.276,-8.277,-8.279,-8.276,-8.236,-8.227,0.05679,-8.162,-8.163,-0.0391,-0.0813
7.0,-7.759,-7.771,-8.007,-8.015,-8.011,-8.013,-7.991,-8.002,0.05698,-7.952,-7.967,-0.0199,-0.0813
7.5,-7.461,-7.558,-7.735,-7.827,-7.741,-7.823,-7.729,-7.81,0.05724,-7.692,-7.78,-0.0171,-0.0813
8.0,-7.255,-7.595,-7.546,-7.866,-7.553,-7.866,-7.53,-7.876,0.05383,-7.506,-7.851,-0.0131,-0.0813
8.5,-6.887,-7.735,-7.197,-7.985,-7.207,-7.992,-7.209,-8.05,0.05068,-7.229,-8.051,0.0055,-0.0813
9.0,-6.487,-7.735,-6.817,-7.972,-6.827,-7.988,-6.809,-8.022,0.05188,-6.804,-8.01,-0.0048,-0.0813
9.5,-6.125,-7.657,-6.479,-7.892,-6.488,-7.914,-6.481,-7.964,0.05231,-6.491,-7.959,0.0011,-0.0813
10.0,-5.737,-7.516,-6.123,-7.756,-6.131,-7.779,-6.102,-7.821,0.05404,-6.092,-7.802,-0.0066,-0.0813
10.5,-5.408,-7.345,-5.827,-7.595,-5.833,-7.624,-5.76,-7.673,0.05492,-5.723,-7.626,-0.0174,-0.0813
11.0,-5.07,-7.107,-5.522,-7.374,-5.528,-7.402,-5.482,-7.47,0.0544,-5.479,-7.444,-0.0055,-0.0813
11.5,-4.757,-6.836,-5.233,-7.117,-5.234,-7.15,-5.206,-7.229,0.05401,-5.222,-7.216,0.0012,-0.0813
12.0,-4.493,-6.571,-4.99,-6.868,-4.991,-6.902,-4.921,-6.977,0.05566,-4.904,-6.932,-0.0107,-0.0813
12.5,-4.211,-6.265,-4.728,-6.579,-4.726,-6.615,-4.646,-6.678,0.05883,-4.61,-6.621,-0.0153,-0.0813
13.0,-3.962,-5.985,-4.495,-6.312,-4.493,-6.35,-4.451,-6.464,0.05832,-4.496,-6.457,0.0061,-0.0813
13.5,-3.688,-5.673,-4.247,-6.027,-4.244,-6.065,-4.205,-6.183,0.06021,-4.257,-6.181,0.0074,-0.0813
14.0,-3.409,-5.364,-3.997,-5.746,-3.995,-5.784,-3.938,-5.882,0.06126,-3.953,-5.854,-0.0017,-0.0813
14.5,-3.16,-5.085,-3.769,-5.488,-3.765,-5.526,-3.706,-5.636,0.06049,-3.731,-5.612,0.0001,-0.0813
15.0,-2.884,-4.774,-3.519,-5.2,-3.512,-5.241,-3.489,-5.383,0.0585,-3.579,-5.408,0.0153,-0.0813
15.5,-2.61,-4.461,-3.275,-4.917,-3.266,-4.96,-3.228,-5.083,0.05963,-3.284,-5.084,0.0073,-0.0813
16.0,-2.363,-4.18,-3.05,-4.656,-3.04,-4.7,-3.007,-4.827,0.05906,-3.07,-4.835,0.0089,-0.0813
16.5,-2.085,-3.87,-2.792,-4.364,-2.784,-4.407,-2.744,-4.517,0.06002,-2.782,-4.51,0.0037,-0.0813
17.0,-1.836,-3.591,-2.567,-4.106,-2.558,-4.15,-2.515,-4.25,0.06004,-2.539,-4.235,0.001,-0.0813
17.5,-1.559,-3.281,-2.306,-3.81,-2.295,-3.855,-2.248,-3.937,0.06098,-2.245,-3.905,-0.0038,-0.0813
18.0,-1.282,-2.97,-2.053,-3.521,-2.041,-3.567,-1.996,-3.643,0.06092,-1.99,-3.612,-0.004,-0.0813
18.5,-1.035,-2.689,-1.83,-3.263,-1.814,-3.313,-1.776,-3.403,0.0596,-1.795,-3.388,0.0004,-0.0813
19.0,-0.761,-2.376,-1.581,-2.971,-1.562,-3.023,-1.517,-3.102,0.05983,-1.516,-3.074,-0.0031,-0.0813
19.5,-0.514,-2.095,-1.357,-2.712,-1.338,-2.765,-1.297,-2.871,0.05815,-1.333,-2.864,0.0027,-0.0813
20.0,-0.237,-1.785,-1.104,-2.423,-1.083,-2.477,-1.049,-2.582,0.05757,-1.089,-2.58,0.0036,-0.0813
20.5,0.038,-1.473,-0.845,-2.122,-0.818,-2.182,-0.759,-2.258,0.05829,-0.741,-2.215,-0.0059,-0.0813
21.0,0.283,-1.19,-0.626,-1.865,-0.596,-1.928,-0.533,-1.995,0.05802,-0.501,-1.943,-0.0079,-0.0813
21.5,0.553,-0.873,-0.379,-1.569,-0.344,-1.636,-0.266,-1.696,0.05859,-0.211,-1.624,-0.0115,-0.0813
22.0,0.825,-0.559,-0.135,-1.281,-0.097,-1.351,-0.012,-1.407,0.05847,0.052,-1.327,-0.0128,-0.0813
22.5,1.069,-0.275,0.085,-1.02,0.128,-1.095,0.231,-1.132,0.05913,0.337,-1.02,-0.0187,-0.0813
23.0,1.342,0.039,0.329,-0.733,0.377,-0.812,0.494,-0.834,0.05966,0.632,-0.697,-0.0229,-0.0813
23.5,1.588,0.321,0.548,-0.478,0.597,-0.558,0.714,-0.581,0.06072,0.851,-0.444,-0.0222,-0.0813
24.0,1.863,0.632,0.799,-0.189,0.852,-0.272,0.943,-0.302,0.05894,1.034,-0.206,-0.0152,-0.0813
24.5,2.138,0.945,1.04,0.09,1.096,0.004,1.207,-0.015,0.06003,1.333,0.112,-0.0198,-0.0813
25.0,2.385,1.226,1.269,0.353,1.327,0.265,1.458,0.253,0.06171,1.614,0.411,-0.0237,-0.0813
25.5,2.661,1.537,1.521,0.644,1.578,0.557,1.729,0.554,0.06132,1.915,0.739,-0.0274,-0.0813
26.0,2.908,1.818,1.747,0.905,1.806,0.816,1.954,0.805,0.05993,2.114,0.972,-0.0241,-0.0813
26.5,3.182,2.131,2.002,1.201,2.065,1.109,2.174,1.129,0.05897,2.325,1.27,-0.0213,-0.0813
27.0,3.455,2.445,2.252,1.492,2.32,1.395,2.442,1.391,0.05816,2.57,1.524,-0.0188,-0.0813
27.5,3.702,2.727,2.473,1.749,2.54,1.653,2.669,1.629,0.05589,2.768,1.747,-0.0159,-0.0813
28.0,3.978,3.038,2.726,2.037,2.796,1.938,2.918,1.906,0.05492,2.996,2.008,-0.0131,-0.0813
28.5,4.253,3.349,2.978,2.327,3.047,2.229,3.183,2.219,0.05362,3.292,2.343,-0.0167,-0.0813
29.0,4.501,3.63,3.203,2.584,3.274,2.484,3.422,2.454,0.05302,3.515,2.575,-0.0152,-0.0813
29.5,4.777,3.941,3.454,2.872,3.527,2.77,3.659,2.779,0.0532,3.778,2.907,-0.0172,-0.0813
30.0,5.027,4.22,3.68,3.127,3.753,3.025,3.885,3.039,0.0526,4.004,3.167,-0.0171,-0.0813
30.5,5.305,4.529,3.934,3.412,4.006,3.311,4.144,3.334,0.05175,4.269,3.467,-0.0177,-0.0813
