t,tx,rx,relayed,dup_dropped
2.0,6,13,13,13
4.0,16,33,33,33
6.0,26,54,53,53
8.0,36,74,73,73
10.0,46,95,93,93
12.0,56,117,113,113
14.0,66,137,132,126
16.0,76,158,152,146
18.0,86,179,172,166
20.0,96,199,192,186
22.0,106,220,212,206
24.0,116,240,231,224
26.0,126,263,249,240
28.0,136,286,269,259
30.0,146,308,289,278
32.0,156,330,309,298
34.0,166,353,329,318
36.0,176,375,349,337
38.0,186,397,368,356
40.0,197,421,388,371
42.0,209,447,410,386
44.0,221,470,430,406
46.0,231,492,450,426
48.0,241,514,470,446
50.0,251,536,490,466
52.0,261,558,510,486
54.0,271,581,530,506
56.0,281,602,548,515
58.0,291,626,568,532
60.0,301,649,588,552
62.0,311,673,607,571
64.0,321,695,626,590
66.0,331,718,646,610
68.0,342,743,668,632
70.0,353,767,690,653
72.0,365,793,714,677
74.0,377,819,738,701
76.0,388,843,760,723
78.0,400,869,784,747
80.0,411,894,807,770
82.0,421,916,827,790
84.0,431,938,847,810
86.0,441,960,867,830
88.0,451,982,887,850
90.0,461,1004,907,870
92.0,471,1027,927,890
94.0,481,1048,947,910
96.0,491,1069,967,930
98.0,501,1092,987,950
100.0,511,1113,1007,969
102.0,521,1135,1027,989
104.0,531,1157,1046,1008
106.0,541,1178,1066,1027
108.0,551,1202,1086,1047
110.0,561,1225,1106,1067
112.0,571,1247,1126,1087
114.0,581,1269,1146,1107
116.0,593,1296,1170,1131
118.0,604,1321,1192,1153
120.0,616,1347,1216,1177
122.0,628,1373,1240,1201
124.0,639,1397,1262,1223
126.0,651,1425,1287,1248
128.0,661,1448,1307,1268
130.0,671,1470,1327,1288
132.0,681,1492,1347,1308
134.0,691,1514,1367,1328
136.0,701,1536,1387,1348
138.0,711,1559,1407,1367
140.0,721,1581,1427,1387
142.0,731,1603,1447,1407
144.0,741,1623,1467,1427
146.0,751,1644,1487,1447
148.0,761,1665,1506,1466
150.0,771,1685,1526,1486
152.0,781,1705,1546,1505
154.0,791,1725,1566,1525
156.0,801,1745,1586,1545
158.0,811,1765,1606,1565
160.0,821,1785,1626,1585
162.0,831,1806,1646,1605
164.0,841,1826,1666,1625
166.0,851,1846,1686,1645
168.0,861,1866,1706,1665
170.0,871,1886,1726,1685
172.0,881,1906,1746,1705
174.0,891,1926,1766,1725
176.0,901,1946,1786,1745
178.0,911,1966,1806,1765
180.0,921,1986,1826,1785
182.0,931,2006,1846,1805
184.0,941,2026,1866,1825
186.0,951,2046,1886,1845
188.0,961,2066,1906,1865
190.0,971,2086,1926,1885
192.0,981,2106,1946,1905
194.0,991,2126,1966,1925
196.0,1001,2147,1986,1945
198.0,1011,2167,2006,1965
200.0,1021,2187,2026,1985
202.0,1031,2208,2046,2005
204.0,1041,2228,2066,2025
206.0,1051,2248,2086,2045
208.0,1061,2268,2106,2065
210.0,1071,2289,2126,2085
212.0,1081,2310,2146,2105
214.0,1091,2330,2166,2125
216.0,1101,2350,2186,2145
218.0,1111,2370,2206,2165
220.0,1121,2390,2226,2185
222.0,1131,2410,2246,2205
224.0,1141,2431,2266,2224
226.0,1151,2451,2286,2244
228.0,1161,2471,2306,2264
230.0,1171,2491,2326,2284
232.0,1181,2512,2346,2304
234.0,1191,2532,2366,2324
236.0,1201,2552,2386,2344
238.0,1211,2573,2406,2364
240.0,1221,2595,2426,2384
242.0,1231,2615,2446,2404
244.0,1241,2635,2466,2424
246.0,1251,2655,2486,2444
248.0,1261,2675,2506,2464
250.0,1271,2695,2526,2484
252.0,1281,2715,2546,2504
254.0,1291,2735,2566,2524
256.0,1301,2755,2586,2544
258.0,1311,2776,2606,2564
260.0,1321,2796,2626,2583
262.0,1331,2816,2646,2603
264.0,1341,2837,2666,2623
266.0,1351,2857,2686,2643
268.0,1361,2878,2706,2663
270.0,1371,2898,2726,2683
272.0,1381,2918,2746,2703
274.0,1391,2938,2766,2723
276.0,1401,2958,2786,2743
