t,gt_x,gt_y,dr_x,dr_y,cdr_x,cdr_y,fused_x,fused_y,P_trace,fb_x,fb_y,b_hat,b_true
0.86,-9.882,-12.463,-9.892,-12.471,-9.893,-12.47,-9.899,-12.465,0.04101,-9.899,-12.465,0.0,-0.0401
1.03,-9.769,-12.34,-9.783,-12.352,-9.784,-12.351,-9.789,-12.346,0.04179,-9.789,-12.346,0.0,-0.0401
1.5,-9.684,-12.249,-9.701,-12.264,-9.703,-12.262,-9.705,-12.26,0.04006,-9.705,-12.26,-0.0,-0.0401
2.0,-9.684,-12.249,-9.7,-12.264,-9.703,-12.262,-9.673,-12.293,0.04002,-9.675,-12.292,0.0004,-0.0401
2.5,-9.803,-12.208,-9.821,-12.234,-9.822,-12.225,-9.786,-12.282,0.03988,-9.788,-12.28,0.0023,-0.0401
3.0,-10.032,-12.252,-10.041,-12.298,-10.045,-12.273,-10.007,-12.34,0.03959,-10.009,-12.339,0.0031,-0.0401
3.5,-10.146,-12.318,-10.142,-12.368,-10.152,-12.334,-10.112,-12.423,0.03984,-10.114,-12.422,0.0049,-0.0401
4.0,-10.146,-12.318,-10.142,-12.368,-10.151,-12.334,-10.146,-12.407,0.04002,-10.147,-12.405,0.0037,-0.0401
4.5,-10.146,-12.318,-10.142,-12.368,-10.152,-12.334,-10.13,-12.4,0.04002,-10.131,-12.399,0.0033,-0.0401
5.0,-10.146,-12.318,-10.142,-12.368,-10.152,-12.334,-10.115,-12.381,0.04002,-10.116,-12.38,0.0021,-0.0401
5.5,-10.146,-12.318,-10.142,-12.368,-10.152,-12.334,-10.184,-12.325,0.04002,-10.186,-12.324,-0.0006,-0.0401
6.0,-10.161,-12.195,-10.155,-12.244,-10.162,-12.21,-10.173,-12.224,0.0404,-10.175,-12.222,0.0004,-0.0401
6.5,-10.028,-11.909,-10.026,-11.97,-10.025,-11.94,-10.025,-11.929,0.04137,-10.026,-11.927,-0.0013,-0.0401
7.0,-9.751,-11.612,-9.764,-11.686,-9.757,-11.66,-9.732,-11.633,0.04227,-9.732,-11.63,-0.0035,-0.0401
7.5,-9.426,-11.354,-9.444,-11.424,-9.435,-11.402,-9.399,-11.364,0.04406,-9.397,-11.358,-0.0057,-0.0401
8.0,-9.194,-11.127,-9.225,-11.189,-9.207,-11.174,-9.177,-11.183,0.04654,-9.182,-11.183,0.0031,-0.0401
8.5,-9.092,-10.787,-9.154,-10.868,-9.118,-10.857,-9.123,-10.861,0.04843,-9.131,-10.869,0.0069,-0.0401
9.0,-9.121,-10.393,-9.208,-10.488,-9.15,-10.475,-9.17,-10.511,0.05062,-9.186,-10.534,0.0164,-0.0401
9.5,-9.141,-10.133,-9.239,-10.246,-9.165,-10.231,-9.205,-10.278,0.05052,-9.224,-10.313,0.0214,-0.0401
10.0,-9.006,-9.938,-9.11,-10.062,-9.029,-10.052,-9.069,-10.118,0.05021,-9.096,-10.161,0.0263,-0.0401
10.5,-8.729,-9.818,-8.839,-9.943,-8.757,-9.939,-8.804,-9.995,0.04983,-8.832,-10.035,0.0231,-0.0401
11.0,-8.324,-9.746,-8.448,-9.867,-8.363,-9.874,-8.417,-9.956,0.05117,-8.465,-10.005,0.0307,-0.0401
11.5,-7.91,-9.706,-8.051,-9.823,-7.965,-9.84,-8.013,-9.897,0.05162,-8.054,-9.933,0.022,-0.0401
12.0,-7.537,-9.677,-7.697,-9.787,-7.611,-9.813,-7.656,-9.888,0.05281,-7.711,-9.923,0.0247,-0.0401
12.5,-7.126,-9.623,-7.305,-9.726,-7.217,-9.762,-7.253,-9.868,0.05537,-7.328,-9.899,0.0284,-0.0401
13.0,-6.762,-9.544,-6.957,-9.638,-6.868,-9.679,-6.879,-9.806,0.05757,-6.959,-9.824,0.0252,-0.0401
13.5,-6.366,-9.419,-6.581,-9.505,-6.488,-9.559,-6.489,-9.705,0.06092,-6.579,-9.718,0.0252,-0.0401
14.0,-5.982,-9.263,-6.223,-9.345,-6.125,-9.409,-6.169,-9.539,0.06432,-6.287,-9.584,0.0345,-0.0401
14.5,-5.644,-9.104,-5.903,-9.181,-5.803,-9.249,-5.859,-9.38,0.06631,-5.99,-9.435,0.037,-0.0401
15.0,-5.281,-8.902,-5.558,-8.972,-5.451,-9.053,-5.535,-9.205,0.06966,-5.712,-9.288,0.0483,-0.0401
15.5,-4.933,-8.675,-5.229,-8.74,-5.114,-8.832,-5.209,-9.005,0.07161,-5.412,-9.102,0.0531,-0.0401
16.0,-4.631,-8.455,-4.94,-8.511,-4.818,-8.614,-4.892,-8.813,0.0727,-5.094,-8.902,0.0492,-0.0401
16.5,-4.308,-8.194,-4.642,-8.251,-4.51,-8.365,-4.63,-8.518,0.06775,-4.814,-8.631,0.0483,-0.0401
17.0,-4.027,-7.947,-4.38,-8.002,-4.243,-8.122,-4.378,-8.283,0.06637,-4.566,-8.408,0.0496,-0.0401
17.5,-3.727,-7.66,-4.102,-7.715,-3.956,-7.844,-4.082,-8.011,0.06575,-4.259,-8.13,0.045,-0.0401
18.0,-3.434,-7.365,-3.822,-7.414,-3.665,-7.554,-3.821,-7.738,0.06653,-4.022,-7.887,0.0518,-0.0401
18.5,-3.173,-7.097,-3.589,-7.157,-3.424,-7.303,-3.597,-7.447,0.06359,-3.754,-7.589,0.0436,-0.0401
19.0,-2.873,-6.81,-3.312,-6.873,-3.137,-7.031,-3.299,-7.194,0.06517,-3.471,-7.34,0.0437,-0.0401
19.5,-2.605,-6.548,-3.056,-6.605,-2.873,-6.771,-3.054,-6.943,0.06667,-3.241,-7.108,0.047,-0.0401
20.0,-2.308,-6.257,-2.783,-6.318,-2.591,-6.492,-2.798,-6.684,0.06914,-3.018,-6.883,0.054,-0.0401
20.5,-2.01,-5.966,-2.505,-6.027,-2.303,-6.211,-2.486,-6.393,0.06896,-2.681,-6.566,0.0452,-0.0401
21.0,-1.748,-5.7,-2.271,-5.769,-2.059,-5.963,-2.275,-6.137,0.06892,-2.471,-6.331,0.0472,-0.0401
21.5,-1.462,-5.398,-2.006,-5.469,-1.784,-5.673,-2.03,-5.867,0.07147,-2.263,-6.1,0.0546,-0.0401
22.0,-1.18,-5.093,-1.747,-5.167,-1.517,-5.378,-1.785,-5.593,0.07382,-2.052,-5.859,0.0604,-0.0401
22.5,-0.921,-4.822,-1.509,-4.899,-1.271,-5.117,-1.522,-5.353,0.07428,-1.807,-5.62,0.0599,-0.0401
23.0,-0.636,-4.519,-1.245,-4.597,-0.997,-4.824,-1.247,-5.079,0.07559,-1.554,-5.361,0.0613,-0.0401
23.5,-0.385,-4.242,-1.009,-4.317,-0.752,-4.553,-0.997,-4.822,0.07605,-1.319,-5.111,0.0614,-0.0401
24.0,-0.102,-3.937,-0.751,-4.019,-0.483,-4.265,-0.721,-4.553,0.07684,-1.063,-4.851,0.0619,-0.0401
24.5,0.181,-3.632,-0.49,-3.717,-0.214,-3.969,-0.482,-4.253,0.0774,-0.824,-4.568,0.0626,-0.0401
25.0,0.432,-3.355,-0.261,-3.445,0.025,-3.706,-0.244,-4.013,0.07792,-0.614,-4.345,0.065,-0.0401
25.5,0.707,-3.043,-0.006,-3.134,0.294,-3.407,0.037,-3.745,0.07908,-0.363,-4.088,0.0664,-0.0401
26.0,0.948,-2.757,0.213,-2.854,0.524,-3.137,0.255,-3.441,0.07683,-0.087,-3.754,0.0582,-0.0401
26.5,1.221,-2.443,0.466,-2.544,0.793,-2.84,0.541,-3.157,0.07655,0.194,-3.463,0.0561,-0.0401
27.0,1.495,-2.13,0.713,-2.24,1.047,-2.542,0.77,-2.879,0.07831,0.386,-3.224,0.0612,-0.0401
27.5,1.724,-1.836,0.92,-1.949,1.267,-2.261,0.976,-2.621,0.07904,0.557,-2.997,0.0653,-0.0401
28.0,1.947,-1.487,1.121,-1.595,1.482,-1.915,1.197,-2.274,0.07753,0.799,-2.634,0.061,-0.0401
28.5,2.132,-1.116,1.281,-1.231,1.66,-1.56,1.376,-1.954,0.07814,0.935,-2.347,0.0652,-0.0401
29.0,2.303,-0.786,1.435,-0.906,1.823,-1.24,1.494,-1.594,0.08084,1.096,-1.99,0.0618,-0.0401
29.5,2.538,-0.446,1.649,-0.577,2.047,-0.918,1.745,-1.254,0.07766,1.403,-1.597,0.0525,-0.0401
30.0,2.786,-0.168,1.879,-0.303,2.283,-0.65,1.955,-0.962,0.07532,1.654,-1.286,0.0482,-0.0401
30.5,3.088,0.115,2.163,-0.022,2.573,-0.374,2.259,-0.629,0.07111,2.05,-0.883,0.0356,-0.0401
31.0,3.4,0.391,2.449,0.249,2.865,-0.111,2.55,-0.382,0.07084,2.326,-0.641,0.0366,-0.0401
31.5,3.675,0.644,2.708,0.504,3.131,0.138,2.782,-0.129,0.0703,2.556,-0.403,0.0378,-0.0401
32.0,3.981,0.927,2.994,0.785,3.424,0.411,3.051,0.211,0.06723,2.898,-0.032,0.03,-0.0401
32.5,4.255,1.181,3.256,1.045,3.695,0.662,3.375,0.496,0.06374,3.284,0.317,0.0198,-0.0401
33.0,4.556,1.469,3.535,1.332,3.982,0.941,3.653,0.78,0.06651,3.556,0.591,0.0202,-0.0401
33.5,4.842,1.77,3.804,1.635,4.264,1.232,3.973,1.066,0.06834,3.886,0.905,0.0166,-0.0401
34.0,5.097,2.044,4.036,1.904,4.505,1.493,4.226,1.321,0.07096,4.134,1.162,0.0162,-0.0401
34.5,5.377,2.351,4.299,2.211,4.779,1.79,4.523,1.603,0.07404,4.422,1.451,0.0157,-0.0401
35.0,5.662,2.654,4.56,2.51,5.047,2.083,4.814,1.885,0.07724,4.707,1.741,0.0148,-0.0401
35.5,5.916,2.929,4.797,2.786,5.294,2.349,5.061,2.151,0.08003,4.95,2.003,0.0148,-0.0401
36.0,6.194,3.238,5.05,3.088,5.556,2.644,5.318,2.448,0.08311,5.204,2.293,0.0149,-0.0401
36.5,6.443,3.517,5.281,3.369,5.799,2.914,5.558,2.719,0.08607,5.441,2.559,0.0151,-0.0401
37.0,6.712,3.835,5.533,3.69,6.066,3.222,5.802,3.04,0.08944,5.681,2.863,0.0159,-0.0401
37.5,6.979,4.154,5.783,4.011,6.328,3.534,6.073,3.343,0.09295,5.94,3.16,0.0162,-0.0401
38.0,7.225,4.436,6.01,4.29,6.566,3.804,6.312,3.612,0.09607,6.176,3.426,0.0161,-0.0401
38.5,7.519,4.725,6.284,4.574,6.85,4.077,6.576,3.895,0.09948,6.434,3.693,0.0169,-0.0401
39.0,7.82,4.928,6.575,4.775,7.145,4.273,6.87,4.091,0.10302,6.724,3.886,0.0169,-0.0401
39.5,8.202,5.085,6.941,4.931,7.514,4.421,7.239,4.24,0.10685,7.087,4.033,0.0169,-0.0401
40.0,8.574,5.261,7.294,5.11,7.869,4.596,7.594,4.414,0.11086,7.436,4.204,0.0169,-0.0401
40.5,8.873,5.477,7.565,5.319,8.143,4.801,7.85,4.591,0.11293,7.629,4.326,0.0222,-0.0401
41.0,9.171,5.762,7.846,5.608,8.432,5.081,8.121,4.841,0.11349,7.837,4.521,0.0274,-0.0401
41.5,9.434,6.082,8.091,5.93,8.686,5.396,8.376,5.114,0.10461,8.055,4.775,0.0301,-0.0401
42.0,9.645,6.39,8.286,6.238,8.893,5.697,8.563,5.412,0.10061,8.245,5.07,0.0303,-0.0401
42.5,9.855,6.748,8.471,6.586,9.089,6.038,8.794,5.793,0.08469,8.607,5.576,0.0192,-0.0401
43.0,10.023,7.069,8.625,6.913,9.259,6.357,9.009,6.168,0.07614,8.935,6.054,0.0089,-0.0401
43.5,10.133,7.319,8.721,7.16,9.366,6.6,9.153,6.523,0.06199,9.208,6.499,-0.0028,-0.0401
44.0,10.159,7.527,8.726,7.364,9.386,6.804,9.192,6.756,0.05715,9.274,6.754,-0.0058,-0.0401
44.5,9.995,7.816,8.542,7.627,9.221,7.08,9.036,7.082,0.04842,9.143,7.088,-0.0087,-0.0401
45.0,9.778,8.16,8.318,7.934,9.02,7.402,8.807,7.427,0.04529,8.911,7.415,-0.0079,-0.0401
45.5,9.634,8.504,8.161,8.25,8.886,7.728,8.769,7.808,0.04057,9.075,8.043,-0.0261,-0.0401
46.0,9.486,8.892,7.992,8.617,8.742,8.106,8.677,8.237,0.04057,8.912,8.42,-0.0255,-0.0401
46.5,9.337,9.269,7.823,8.967,8.599,8.467,8.644,8.815,0.04055,8.821,8.976,-0.0302,-0.0401
47.0,9.276,9.406,7.758,9.092,8.542,8.595,8.646,8.821,0.04019,8.808,8.979,-0.0291,-0.0401
47.5,9.359,9.519,7.84,9.199,8.624,8.702,8.941,9.072,0.04019,9.055,9.17,-0.0325,-0.0401
48.0,9.464,9.639,7.937,9.317,8.723,8.818,9.023,9.265,0.04019,9.141,9.342,-0.0328,-0.0401
48.5,9.475,9.658,7.947,9.334,8.734,8.835,9.207,9.413,0.04003,9.274,9.447,-0.0347,-0.0401
49.0,9.475,9.658,7.947,9.335,8.734,8.836,9.17,9.43,0.04002,9.229,9.456,-0.0345,-0.0401
49.5,9.384,9.688,7.852,9.354,8.641,8.864,9.215,9.502,0.04007,9.241,9.524,-0.0353,-0.0401
50.0,9.125,9.562,7.626,9.2,8.4,8.732,8.921,9.384,0.04023,8.935,9.401,-0.0351,-0.0401
50.5,8.9,9.236,7.45,8.859,8.189,8.411,8.658,8.983,0.04039,8.659,8.988,-0.035,-0.0401
51.0,8.767,8.894,7.363,8.52,8.062,8.085,8.564,8.591,0.04038,8.561,8.583,-0.035,-0.0401
51.5,8.69,8.492,7.34,8.121,7.992,7.692,8.483,8.265,0.04046,8.478,8.244,-0.0349,-0.0401
52.0,8.702,8.13,7.401,7.775,8.01,7.341,8.586,7.925,0.04042,8.583,7.893,-0.0347,-0.0401
52.5,8.829,7.751,7.574,7.438,8.137,6.984,8.755,7.617,0.04041,8.757,7.577,-0.0345,-0.0401
53.0,9.028,7.387,7.807,7.124,8.326,6.642,8.885,7.281,0.04049,8.894,7.228,-0.0345,-0.0401
53.5,9.186,7.051,8.006,6.81,8.481,6.304,9.022,6.985,0.04049,9.036,6.925,-0.0342,-0.0401
54.0,9.301,6.657,8.164,6.438,8.591,5.916,9.105,6.586,0.04055,9.122,6.513,-0.0343,-0.0401
54.5,9.355,6.246,8.261,6.054,8.638,5.522,9.146,6.234,0.04055,9.163,6.152,-0.0339,-0.0401
55.0,9.386,5.873,8.334,5.704,8.667,5.166,9.138,5.878,0.04086,9.157,5.782,-0.0339,-0.0401
55.5,9.423,5.459,8.419,5.309,8.701,4.764,9.124,5.464,0.04077,9.145,5.354,-0.034,-0.0401
56.0,9.455,5.086,8.492,4.96,8.736,4.408,9.117,5.109,0.04111,9.14,4.986,-0.034,-0.0401
56.5,9.495,4.673,8.578,4.572,8.775,4.013,9.11,4.715,0.04156,9.135,4.576,-0.0341,-0.0401
57.0,9.546,4.26,8.676,4.181,8.827,3.614,9.118,4.316,0.04202,9.145,4.161,-0.0341,-0.0401
57.5,9.588,3.888,8.76,3.828,8.871,3.254,9.109,3.979,0.04204,9.136,3.814,-0.0337,-0.0401
58.0,9.637,3.475,8.856,3.438,8.925,2.855,9.144,3.566,0.04181,9.171,3.39,-0.0339,-0.0401
58.5,9.679,3.103,8.939,3.087,8.963,2.496,9.169,3.219,0.04175,9.195,3.035,-0.0336,-0.0401
59.0,9.728,2.691,9.033,2.703,9.008,2.104,9.256,2.802,0.04142,9.281,2.611,-0.0339,-0.0401
