t,tx,rx,relayed,dup_dropped
2.0,2,9,9,9
4.0,11,30,29,29
6.0,21,50,49,49
8.0,31,70,69,69
10.0,41,90,89,89
12.0,51,110,109,109
14.0,61,130,129,129
16.0,71,150,149,149
18.0,81,171,169,169
20.0,91,192,189,189
22.0,101,214,209,208
24.0,111,234,228,227
26.0,121,255,248,244
28.0,131,278,268,264
30.0,141,298,288,283
32.0,151,320,308,301
34.0,161,344,328,321
36.0,171,365,348,339
38.0,183,389,367,339
40.0,194,412,385,340
42.0,206,437,410,357
44.0,216,459,430,377
46.0,226,481,450,397
48.0,236,503,470,417
50.0,246,525,490,437
52.0,256,547,510,454
54.0,266,568,528,469
56.0,276,588,543,475
58.0,286,605,560,489
60.0,297,625,580,507
62.0,306,645,600,525
64.0,316,667,620,543
66.0,327,691,642,564
68.0,338,715,664,586
70.0,350,741,688,610
72.0,362,767,712,634
74.0,373,791,734,656
76.0,385,817,758,680
78.0,397,841,780,702
80.0,407,863,800,722
82.0,417,885,820,742
84.0,427,908,840,761
86.0,437,930,860,780
88.0,447,952,880,800
90.0,457,974,900,820
92.0,467,996,920,840
94.0,477,1019,936,848
96.0,487,1040,955,861
98.0,497,1060,975,881
100.0,507,1081,995,901
102.0,517,1101,1015,921
104.0,527,1123,1035,941
106.0,537,1144,1055,961
108.0,547,1165,1075,981
110.0,557,1188,1095,1001
112.0,567,1212,1115,1021
114.0,577,1235,1135,1041
116.0,588,1259,1157,1062
118.0,599,1284,1180,1085
120.0,611,1309,1202,1107
122.0,623,1335,1226,1131
124.0,634,1360,1249,1154
126.0,646,1385,1272,1177
128.0,656,1409,1294,1199
130.0,666,1431,1314,1219
132.0,676,1453,1334,1239
134.0,686,1475,1354,1258
136.0,696,1497,1374,1278
138.0,706,1519,1394,1298
140.0,716,1541,1414,1318
142.0,726,1563,1434,1338
144.0,736,1585,1454,1358
146.0,746,1606,1474,1377
148.0,756,1628,1494,1397
150.0,766,1649,1514,1415
152.0,776,1669,1534,1435
154.0,786,1689,1554,1455
156.0,796,1709,1574,1475
158.0,806,1729,1594,1495
160.0,816,1749,1614,1515
162.0,826,1769,1634,1535
164.0,836,1790,1654,1555
166.0,846,1811,1674,1575
168.0,856,1832,1694,1595
170.0,866,1853,1714,1615
172.0,876,1873,1734,1635
174.0,886,1893,1754,1655
176.0,896,1913,1774,1675
178.0,906,1933,1794,1695
180.0,916,1953,1814,1715
182.0,926,1973,1834,1735
184.0,936,1993,1854,1755
186.0,946,2013,1874,1775
188.0,956,2033,1894,1795
190.0,966,2055,1914,1815
192.0,976,2076,1934,1835
194.0,986,2098,1954,1855
196.0,996,2118,1974,1875
198.0,1006,2138,1994,1895
200.0,1017,2158,2014,1915
202.0,1026,2178,2034,1935
204.0,1036,2199,2054,1955
206.0,1046,2220,2074,1975
208.0,1056,2240,2094,1995
210.0,1066,2262,2114,2015
212.0,1076,2282,2134,2035
214.0,1086,2303,2154,2055
216.0,1096,2323,2174,2075
218.0,1106,2344,2194,2095
220.0,1116,2365,2214,2115
222.0,1126,2386,2234,2135
224.0,1136,2407,2254,2155
226.0,1146,2427,2274,2175
228.0,1156,2448,2294,2194
230.0,1166,2468,2314,2214
232.0,1176,2488,2334,2234
234.0,1186,2508,2354,2254
236.0,1196,2528,2374,2274
238.0,1206,2548,2394,2294
240.0,1216,2569,2414,2314
242.0,1226,2589,2434,2334
244.0,1236,2611,2454,2354
246.0,1246,2631,2474,2374
248.0,1256,2651,2494,2394
250.0,1266,2672,2514,2414
252.0,1276,2692,2534,2434
254.0,1286,2713,2554,2454
256.0,1296,2733,2574,2474
258.0,1306,2754,2594,2494
260.0,1316,2775,2614,2514
262.0,1326,2795,2634,2534
264.0,1336,2815,2654,2554
266.0,1346,2835,2674,2574
268.0,1356,2856,2694,2594
270.0,1366,2877,2714,2614
272.0,1376,2897,2734,2633
274.0,1386,2918,2754,2653
276.0,1396,2940,2774,2673
