t,own_known,merged_known,total
1.3,0,0,45369
2.0,0,0,45369
3.0,2715,3562,45369
4.0,4384,6106,45369
5.0,5304,7176,45369
6.0,5715,7713,45369
7.0,6189,8198,45369
8.0,6424,8497,45369
9.0,6745,8877,45369
10.0,7133,9515,45369
11.0,7505,10659,45369
12.0,7716,11393,45369
13.0,8108,12300,45369
14.0,8631,13027,45369
15.0,9267,13775,45369
16.0,10048,14449,45369
17.0,10901,14907,45369
18.0,11661,15622,45369
19.0,12464,16463,45369
20.0,12967,17277,45369
21.0,13697,18232,45369
22.0,14235,19069,45369
23.0,14806,19930,45369
24.0,15352,20719,45369
25.0,15892,21333,45369
26.0,16442,22030,45369
27.0,17113,22737,45369
28.0,17865,23490,45369
29.0,18520,24188,45369
30.0,19101,24960,45369
31.0,19682,25778,45369
32.0,20237,26564,45369
33.0,20794,27369,45369
34.0,21270,28289,45369
35.0,21588,29138,45369
36.0,22130,30031,45369
37.0,22539,30260,45369
38.0,22820,30727,45369
39.0,23270,31128,45369
40.0,23949,31545,45369
41.0,24750,31975,45369
42.0,25297,32372,45369
43.0,25779,32671,45369
44.0,26141,32881,45369
45.0,26376,33001,45369
46.0,26597,33097,45369
47.0,26749,33145,45369
48.0,26875,33194,45369
49.0,26938,33214,45369
50.0,27025,33240,45369
51.0,27085,33264,45369
52.0,27099,33294,45369
53.0,27126,33334,45369
54.0,27136,33409,45369
55.0,27147,33551,45369
56.0,27147,33638,45369
57.0,27156,33804,45369
58.0,27162,34048,45369
59.0,27218,34221,45369
60.0,27270,34507,45369
61.0,27346,34801,45369
62.0,27497,35111,45369
63.0,27724,35436,45369
64.0,28026,35658,45369
65.0,28290,36023,45369
66.0,28505,36229,45369
67.0,28793,36434,45369
68.0,29130,36552,45369
69.0,29393,36669,45369
70.0,29779,36766,45369
71.0,30215,36846,45369
72.0,30557,37003,45369
73.0,30799,37144,45369
74.0,31131,37357,45369
75.0,31323,37484,45369
76.0,31405,37542,45369
77.0,31476,37591,45369
78.0,31519,37624,45369
79.0,31532,37635,45369
80.0,31541,37640,45369
81.0,31540,37646,45369
82.0,31541,37649,45369
83.0,31544,37652,45369
84.0,31545,37655,45369
85.0,31547,37655,45369
86.0,31534,37650,45369
87.0,31538,37651,45369
88.0,31544,37653,45369
89.0,31550,37650,45369
90.0,31547,37644,45369
91.0,31538,37645,45369
92.0,31546,37645,45369
93.0,31552,37645,45369
94.0,31558,37648,45369
95.0,31560,37653,45369
96.0,31561,37657,45369
97.0,31578,37664,45369
98.0,31591,37669,45369
99.0,31615,37679,45369
100.0,31643,37690,45369
101.0,31713,37700,45369
102.0,31753,37729,45369
103.0,31887,37759,45369
104.0,32003,37797,45369
105.0,32102,37828,45369
106.0,32252,37874,45369
107.0,32407,37931,45369
108.0,32610,38069,45369
109.0,32753,38465,45369
110.0,33147,38879,45369
111.0,33668,39456,45369
112.0,34260,40062,45369
113.0,34865,40455,45369
114.0,35166,41096,45369
115.0,35714,41683,45369
116.0,36229,42067,45369
117.0,36692,42467,45369
118.0,36983,42675,45369
119.0,37426,42824,45369
120.0,37810,43025,45369
121.0,38122,43218,45369
122.0,38294,43338,45369
123.0,38401,43444,45369
124.0,38480,43481,45369
125.0,38547,43519,45369
126.0,38580,43535,45369
127.0,38593,43538,45369
128.0,38617,43546,45369
129.0,38653,43557,45369
130.0,38683,43577,45369
131.0,38692,43592,45369
132.0,38706,43607,45369
133.0,38773,43611,45369
134.0,38888,43618,45369
135.0,39000,43618,45369
136.0,39115,43624,45369
137.0,39197,43631,45369
138.0,39256,43648,45369
139.0,39289,43669,45369
140.0,39316,43694,45369
141.0,39329,43705,45369
142.0,39353,43716,45369
143.0,39380,43732,45369
144.0,39394,43754,45369
145.0,39409,43775,45369
146.0,39428,43793,45369
147.0,39446,43808,45369
148.0,39454,43816,45369
149.0,39453,43822,45369
150.0,39471,43823,45369
151.0,39485,43826,45369
152.0,39500,43832,45369
153.0,39571,43890,45369
154.0,39652,43970,45369
155.0,39686,44032,45369
156.0,39774,44103,45369
157.0,39793,44130,45369
158.0,39808,44143,45369
159.0,39816,44167,45369
160.0,39839,44176,45369
161.0,39853,44181,45369
162.0,39863,44191,45369
163.0,39881,44194,45369
164.0,39884,44199,45369
165.0,39894,44202,45369
166.0,39898,44211,45369
167.0,39898,44209,45369
168.0,39899,44208,45369
169.0,39903,44212,45369
170.0,39913,44216,45369
171.0,39919,44217,45369
172.0,39924,44220,45369
173.0,39930,44220,45369
174.0,39933,44221,45369
175.0,39937,44220,45369
176.0,39941,44225,45369
177.0,39940,44223,45369
178.0,39950,44227,45369
179.0,39967,44232,45369
180.0,39992,44236,45369
181.0,39987,44237,45369
182.0,39987,44238,45369
183.0,39992,44238,45369
184.0,39987,44237,45369
185.0,39997,44237,45369
186.0,39996,44239,45369
187.0,40002,44239,45369
188.0,40010,44241,45369
189.0,40010,44242,45369
190.0,40006,44242,45369
191.0,40008,44241,45369
192.0,40019,44247,45369
193.0,40044,44248,45369
194.0,40058,44250,45369
195.0,40060,44253,45369
196.0,40068,44255,45369
197.0,40069,44254,45369
198.0,40070,44255,45369
199.0,40079,44255,45369
200.0,40094,44254,45369
201.0,40098,44253,45369
202.0,40092,44252,45369
203.0,40092,44254,45369
204.0,40091,44253,45369
205.0,40103,44256,45369
206.0,40113,44256,45369
207.0,40104,44257,45369
208.0,40114,44257,45369
209.0,40122,44257,45369
210.0,40121,44256,45369
211.0,40129,44256,45369
212.0,40130,44257,45369
213.0,40147,44264,45369
214.0,40165,44268,45369
