t,tx,rx,relayed,dup_dropped
2.0,3,8,8,8
4.0,13,29,27,27
6.0,23,50,47,47
8.0,33,71,67,66
10.0,43,91,87,86
12.0,53,111,107,105
14.0,63,131,127,125
16.0,73,151,147,145
18.0,83,171,167,165
20.0,93,191,187,184
22.0,103,213,207,204
24.0,113,234,227,222
26.0,123,255,247,242
28.0,133,277,267,260
30.0,143,300,287,280
32.0,153,322,306,296
34.0,163,343,326,314
36.0,173,366,346,334
38.0,185,390,369,348
40.0,196,415,391,361
42.0,208,443,415,381
44.0,218,466,435,401
46.0,228,490,455,421
48.0,238,512,475,441
50.0,248,534,495,460
52.0,258,556,515,480
54.0,268,578,534,497
56.0,278,601,554,509
58.0,288,624,573,521
60.0,298,646,593,540
62.0,308,668,612,559
64.0,318,690,632,579
66.0,329,714,654,601
68.0,340,738,676,622
70.0,352,766,700,646
72.0,364,793,724,670
74.0,375,818,746,692
76.0,387,844,770,716
78.0,398,870,793,739
80.0,408,892,813,759
82.0,418,914,833,779
84.0,428,937,853,799
86.0,438,960,873,819
88.0,448,982,893,838
90.0,458,1004,913,858
92.0,468,1026,933,877
94.0,478,1048,953,890
96.0,488,1070,973,907
98.0,498,1092,993,927
100.0,508,1114,1013,947
102.0,518,1135,1033,967
104.0,528,1156,1053,987
106.0,538,1177,1073,1007
108.0,548,1197,1093,1027
110.0,558,1220,1113,1047
112.0,568,1241,1133,1067
114.0,578,1262,1153,1086
116.0,589,1287,1175,1107
118.0,600,1312,1198,1130
120.0,612,1337,1221,1153
122.0,624,1363,1245,1177
124.0,635,1388,1268,1200
126.0,647,1413,1291,1223
128.0,658,1436,1312,1244
130.0,668,1458,1332,1264
132.0,678,1480,1352,1284
134.0,688,1502,1372,1304
136.0,698,1524,1392,1324
138.0,708,1546,1412,1344
140.0,718,1568,1432,1364
142.0,728,1591,1452,1384
144.0,738,1613,1472,1403
146.0,748,1635,1492,1423
148.0,758,1657,1512,1443
150.0,768,1678,1531,1462
152.0,778,1699,1551,1482
154.0,788,1719,1571,1501
156.0,798,1740,1591,1521
158.0,808,1761,1611,1541
160.0,818,1781,1631,1561
162.0,828,1801,1651,1581
164.0,838,1822,1671,1601
166.0,848,1843,1691,1621
168.0,859,1863,1711,1641
170.0,868,1883,1731,1661
172.0,878,1904,1751,1681
174.0,888,1924,1771,1701
176.0,898,1945,1791,1721
178.0,908,1965,1811,1741
180.0,918,1986,1831,1761
182.0,928,2006,1851,1781
184.0,938,2026,1871,1801
186.0,948,2046,1891,1821
188.0,958,2067,1911,1841
190.0,968,2089,1931,1861
192.0,978,2109,1951,1881
194.0,988,2129,1971,1901
196.0,998,2150,1991,1921
198.0,1008,2170,2011,1941
200.0,1018,2191,2031,1961
202.0,1028,2211,2051,1981
204.0,1038,2231,2071,2001
206.0,1048,2251,2091,2021
208.0,1058,2272,2111,2041
210.0,1068,2293,2131,2061
212.0,1078,2313,2151,2081
214.0,1088,2333,2171,2101
216.0,1098,2353,2191,2121
218.0,1108,2373,2211,2141
220.0,1118,2393,2231,2161
222.0,1128,2414,2251,2181
224.0,1138,2434,2271,2201
226.0,1148,2454,2291,2221
228.0,1158,2476,2311,2241
230.0,1168,2496,2331,2261
232.0,1178,2516,2351,2281
234.0,1188,2536,2371,2301
236.0,1198,2557,2391,2321
238.0,1208,2577,2411,2341
240.0,1218,2597,2431,2361
242.0,1228,2617,2451,2381
244.0,1238,2637,2471,2401
246.0,1248,2657,2491,2421
248.0,1258,2677,2511,2441
250.0,1268,2698,2531,2461
252.0,1278,2718,2551,2481
254.0,1288,2738,2571,2501
256.0,1298,2759,2591,2521
258.0,1308,2779,2611,2541
260.0,1318,2799,2631,2561
262.0,1328,2820,2651,2581
264.0,1338,2841,2671,2601
266.0,1348,2862,2691,2621
268.0,1358,2882,2711,2641
270.0,1368,2902,2730,2660
272.0,1378,2923,2750,2680
274.0,1388,2944,2770,2700
276.0,1398,2964,2790,2720
