t,tx,rx,relayed,dup_dropped
2.0,5,6,6,6
4.0,15,26,26,26
6.0,25,46,46,45
8.0,35,66,66,65
10.0,45,86,86,85
12.0,55,107,106,105
14.0,65,128,126,123
16.0,75,151,146,143
18.0,85,171,166,163
20.0,95,192,186,182
22.0,105,213,206,202
24.0,115,235,226,222
26.0,125,256,245,239
28.0,135,278,265,258
30.0,145,299,285,278
32.0,155,320,305,297
34.0,165,343,325,315
36.0,175,365,345,334
38.0,186,388,364,345
40.0,198,410,381,345
42.0,209,427,395,349
44.0,221,451,417,370
46.0,231,474,437,390
48.0,241,496,457,410
50.0,251,518,477,430
52.0,261,540,497,450
54.0,271,563,515,460
56.0,281,586,534,473
58.0,291,609,554,491
60.0,301,632,574,511
62.0,311,656,594,531
64.0,321,679,614,550
66.0,331,702,634,570
68.0,342,726,656,592
70.0,354,752,680,616
72.0,366,777,702,638
74.0,377,803,726,662
76.0,389,829,750,686
78.0,401,853,772,708
80.0,411,878,795,731
82.0,421,900,815,751
84.0,431,922,835,771
86.0,441,944,855,791
88.0,451,966,875,811
90.0,461,987,895,831
92.0,471,1010,915,850
94.0,481,1031,935,870
96.0,491,1055,954,881
98.0,501,1077,974,900
100.0,511,1098,994,920
102.0,521,1118,1014,940
104.0,531,1138,1034,960
106.0,541,1160,1054,980
108.0,551,1181,1074,998
110.0,561,1203,1092,1008
112.0,571,1225,1112,1026
114.0,581,1247,1132,1046
116.0,591,1269,1152,1066
118.0,603,1296,1176,1090
120.0,614,1320,1198,1111
122.0,626,1346,1221,1134
124.0,638,1372,1245,1158
126.0,649,1396,1267,1180
128.0,661,1422,1291,1204
130.0,673,1448,1315,1228
132.0,683,1471,1336,1249
134.0,693,1493,1356,1269
136.0,703,1515,1376,1289
138.0,713,1537,1396,1309
140.0,723,1559,1416,1329
142.0,733,1581,1436,1349
144.0,743,1603,1456,1369
146.0,753,1625,1476,1389
148.0,763,1646,1496,1409
150.0,773,1666,1516,1429
152.0,783,1688,1536,1449
154.0,793,1708,1556,1469
156.0,803,1728,1576,1489
158.0,813,1748,1596,1509
160.0,823,1769,1616,1528
162.0,833,1789,1636,1548
164.0,843,1809,1656,1568
166.0,853,1829,1676,1588
168.0,863,1849,1696,1608
170.0,873,1869,1716,1628
172.0,883,1889,1736,1648
174.0,893,1909,1756,1668
176.0,903,1930,1776,1688
178.0,913,1951,1796,1708
180.0,923,1971,1816,1728
182.0,933,1992,1836,1747
184.0,943,2012,1856,1767
186.0,953,2032,1876,1787
188.0,963,2052,1896,1807
190.0,973,2072,1916,1827
192.0,983,2092,1936,1847
194.0,993,2112,1956,1867
196.0,1003,2132,1976,1887
198.0,1013,2152,1996,1907
200.0,1023,2172,2016,1927
202.0,1033,2193,2036,1947
204.0,1043,2213,2056,1967
206.0,1053,2233,2076,1987
208.0,1063,2253,2096,2007
210.0,1073,2273,2116,2027
212.0,1083,2294,2136,2047
214.0,1093,2314,2156,2067
216.0,1103,2335,2176,2087
218.0,1113,2355,2196,2107
220.0,1123,2375,2216,2127
222.0,1133,2395,2236,2147
224.0,1143,2415,2256,2167
226.0,1153,2435,2276,2187
228.0,1163,2455,2296,2207
230.0,1173,2475,2316,2227
232.0,1183,2496,2336,2247
234.0,1193,2516,2356,2267
236.0,1203,2536,2376,2287
238.0,1213,2556,2396,2307
240.0,1223,2577,2416,2327
242.0,1233,2597,2436,2347
244.0,1243,2617,2456,2367
246.0,1253,2637,2476,2387
248.0,1263,2657,2496,2407
250.0,1273,2678,2516,2427
252.0,1283,2698,2536,2447
254.0,1293,2718,2556,2467
256.0,1303,2738,2576,2487
258.0,1313,2758,2596,2507
260.0,1323,2779,2616,2527
262.0,1333,2799,2636,2547
264.0,1343,2819,2656,2567
266.0,1353,2839,2676,2587
268.0,1363,2859,2696,2607
270.0,1373,2879,2716,2627
272.0,1383,2898,2735,2646
274.0,1393,2918,2755,2666
276.0,1403,2938,2775,2685
