t,gt_x,gt_y,dr_x,dr_y,cdr_x,cdr_y,fused_x,fused_y,P_trace,fb_x,fb_y,b_hat,b_true
0.5,-11.0,-11.0,-11.0,-11.0,-11.001,-11.0,-11.001,-11.0,0.02002,-11.001,-11.0,0.0,-0.0599
1.02,-11.0,-11.0,-11.0,-11.0,-11.0,-11.0,-11.0,-11.0,0.02004,-11.0,-11.0,0.0,-0.0599
1.5,-10.914,-10.914,-10.916,-10.916,-10.916,-10.916,-10.908,-10.928,0.04018,-10.908,-10.928,-0.0,-0.0599
2.0,-10.621,-10.619,-10.646,-10.644,-10.643,-10.646,-10.632,-10.642,0.04124,-10.632,-10.642,-0.0003,-0.0599
2.5,-10.329,-10.322,-10.374,-10.366,-10.371,-10.37,-10.416,-10.327,0.04224,-10.417,-10.328,0.0008,-0.0599
3.0,-10.064,-10.058,-10.126,-10.118,-10.123,-10.122,-10.167,-10.056,0.04397,-10.166,-10.056,-0.0015,-0.0599
3.5,-9.768,-9.766,-9.844,-9.84,-9.841,-9.843,-9.881,-9.755,0.04681,-9.876,-9.752,-0.0049,-0.0599
4.0,-9.501,-9.504,-9.591,-9.592,-9.589,-9.594,-9.634,-9.52,0.04932,-9.631,-9.519,-0.0018,-0.0599
4.5,-9.203,-9.213,-9.307,-9.314,-9.308,-9.314,-9.361,-9.27,0.05269,-9.371,-9.275,0.0059,-0.0599
5.0,-8.905,-8.924,-9.031,-9.044,-9.029,-9.047,-9.106,-9.062,0.05535,-9.15,-9.088,0.0241,-0.0599
5.5,-8.636,-8.664,-8.774,-8.795,-8.776,-8.794,-8.829,-8.79,0.05744,-8.854,-8.803,0.0124,-0.0599
6.0,-8.337,-8.374,-8.491,-8.52,-8.493,-8.519,-8.571,-8.52,0.05814,-8.614,-8.55,0.02,-0.0599
6.5,-8.072,-8.11,-8.242,-8.271,-8.243,-8.27,-8.342,-8.267,0.05833,-8.394,-8.309,0.0236,-0.0599
7.0,-7.776,-7.818,-7.964,-7.997,-7.964,-7.999,-8.105,-7.988,0.05881,-8.176,-8.054,0.0318,-0.0599
7.5,-7.47,-7.576,-7.684,-7.784,-7.687,-7.782,-7.851,-7.752,0.0593,-7.923,-7.827,0.0314,-0.0599
8.0,-7.285,-7.582,-7.513,-7.797,-7.516,-7.794,-7.668,-7.744,0.05699,-7.715,-7.795,0.0201,-0.0599
8.5,-6.917,-7.73,-7.171,-7.926,-7.175,-7.924,-7.328,-7.921,0.05388,-7.409,-7.976,0.0307,-0.0599
9.0,-6.52,-7.749,-6.801,-7.935,-6.804,-7.936,-6.935,-7.94,0.05376,-7.009,-7.978,0.0244,-0.0599
9.5,-6.159,-7.68,-6.466,-7.865,-6.469,-7.87,-6.58,-7.865,0.05401,-6.634,-7.888,0.0153,-0.0599
10.0,-5.77,-7.542,-6.087,-7.726,-6.091,-7.728,-6.171,-7.712,0.05614,-6.193,-7.714,0.0032,-0.0599
10.5,-5.438,-7.376,-5.783,-7.569,-5.787,-7.572,-5.856,-7.556,0.05651,-5.869,-7.552,-0.0001,-0.0599
11.0,-5.095,-7.144,-5.463,-7.348,-5.466,-7.351,-5.513,-7.33,0.05822,-5.502,-7.309,-0.0078,-0.0599
11.5,-4.779,-6.876,-5.176,-7.103,-5.179,-7.106,-5.29,-7.102,0.05611,-5.343,-7.13,0.0136,-0.0599
12.0,-4.513,-6.614,-4.92,-6.85,-4.924,-6.853,-5.028,-6.843,0.05845,-5.072,-6.865,0.01,-0.0599
12.5,-4.231,-6.309,-4.652,-6.56,-4.657,-6.562,-4.771,-6.565,0.06011,-4.835,-6.601,0.0152,-0.0599
13.0,-3.98,-6.031,-4.414,-6.297,-4.419,-6.299,-4.522,-6.285,0.06314,-4.559,-6.304,0.0076,-0.0599
13.5,-3.701,-5.722,-4.149,-6.004,-4.156,-6.005,-4.249,-5.975,0.06667,-4.26,-5.978,0.001,-0.0599
14.0,-3.425,-5.411,-3.888,-5.71,-3.894,-5.712,-3.982,-5.671,0.0699,-3.971,-5.661,-0.0036,-0.0599
14.5,-3.178,-5.131,-3.654,-5.446,-3.662,-5.447,-3.726,-5.393,0.07026,-3.673,-5.349,-0.0132,-0.0599
15.0,-2.901,-4.819,-3.389,-5.149,-3.395,-5.15,-3.456,-5.082,0.07012,-3.382,-5.023,-0.017,-0.0599
15.5,-2.626,-4.508,-3.136,-4.863,-3.142,-4.865,-3.185,-4.783,0.07014,-3.073,-4.693,-0.0242,-0.0599
16.0,-2.377,-4.229,-2.902,-4.601,-2.904,-4.606,-2.943,-4.521,0.06907,-2.827,-4.427,-0.0246,-0.0599
16.5,-2.102,-3.916,-2.642,-4.306,-2.643,-4.313,-2.682,-4.222,0.06852,-2.563,-4.127,-0.0242,-0.0599
17.0,-1.857,-3.633,-2.414,-4.043,-2.418,-4.047,-2.452,-3.934,0.06829,-2.303,-3.818,-0.0289,-0.0599
17.5,-1.58,-3.323,-2.151,-3.748,-2.153,-3.754,-2.191,-3.628,0.06796,-2.035,-3.511,-0.029,-0.0599
18.0,-1.306,-3.01,-1.896,-3.458,-1.897,-3.465,-1.943,-3.34,0.06665,-1.806,-3.239,-0.0247,-0.0599
18.5,-1.057,-2.731,-1.659,-3.193,-1.661,-3.199,-1.691,-3.055,0.06722,-1.511,-2.92,-0.0315,-0.0599
19.0,-0.783,-2.418,-1.404,-2.902,-1.404,-2.91,-1.434,-2.788,0.0657,-1.293,-2.678,-0.0247,-0.0599
19.5,-0.537,-2.136,-1.176,-2.64,-1.175,-2.649,-1.193,-2.514,0.06583,-1.022,-2.38,-0.0289,-0.0599
20.0,-0.261,-1.825,-0.922,-2.354,-0.924,-2.361,-0.958,-2.217,0.06481,-0.805,-2.102,-0.0252,-0.0599
