t,own_known,merged_known,total
1.2,0,0,45369
2.0,35,35,45369
3.0,3686,3706,45369
4.0,5476,6061,45369
5.0,6260,6909,45369
6.0,7085,7571,45369
7.0,7495,7960,45369
8.0,7896,8325,45369
9.0,8270,8710,45369
10.0,8831,9340,45369
11.0,9704,10315,45369
12.0,10619,11234,45369
13.0,11420,12128,45369
14.0,11887,12666,45369
15.0,12576,13381,45369
16.0,13191,14049,45369
17.0,13914,14794,45369
18.0,14546,15452,45369
19.0,15139,16115,45369
20.0,15554,16705,45369
21.0,16181,17569,45369
22.0,16877,18530,45369
23.0,17564,19445,45369
24.0,18181,20295,45369
25.0,18549,20895,45369
26.0,19130,21646,45369
27.0,19782,22412,45369
28.0,20371,23106,45369
29.0,20914,23743,45369
30.0,21472,24502,45369
31.0,21832,25049,45369
32.0,22384,25858,45369
33.0,23019,26799,45369
34.0,23722,27771,45369
35.0,24203,28489,45369
36.0,24943,29454,45369
37.0,25503,30083,45369
38.0,25806,30507,45369
39.0,26079,30918,45369
40.0,26255,31289,45369
41.0,26317,31480,45369
42.0,26395,31747,45369
43.0,26448,32055,45369
44.0,26478,32260,45369
45.0,26506,32484,45369
46.0,26532,32561,45369
47.0,26599,32656,45369
48.0,26654,32718,45369
49.0,26741,32740,45369
50.0,26808,32760,45369
51.0,26932,32776,45369
52.0,27130,32808,45369
53.0,27317,32853,45369
54.0,27471,32919,45369
55.0,27715,33028,45369
56.0,27994,33174,45369
57.0,28216,33319,45369
58.0,28500,33508,45369
59.0,28817,33712,45369
60.0,29176,33990,45369
61.0,29405,34202,45369
62.0,29777,34516,45369
63.0,30133,34848,45369
64.0,30411,35076,45369
65.0,30843,35459,45369
66.0,31201,35778,45369
67.0,31350,35916,45369
68.0,31564,36066,45369
69.0,31719,36177,45369
70.0,31787,36246,45369
71.0,31878,36317,45369
72.0,31922,36397,45369
73.0,31942,36534,45369
74.0,31988,36764,45369
75.0,32034,36861,45369
76.0,32062,37005,45369
77.0,32097,37095,45369
78.0,32115,37139,45369
79.0,32116,37169,45369
80.0,32159,37183,45369
