t,own_known,merged_known,total
1.2,0,0,45369
2.0,34,34,45369
3.0,3054,3096,45369
4.0,4571,5571,45369
5.0,5092,6670,45369
6.0,5693,7206,45369
7.0,6016,7728,45369
8.0,6332,8100,45369
9.0,6681,8491,45369
10.0,6959,8881,45369
11.0,7153,9568,45369
12.0,7483,10505,45369
13.0,7846,11497,45369
14.0,8249,12346,45369
15.0,8764,12853,45369
16.0,9375,13530,45369
17.0,10093,14138,45369
18.0,10889,14929,45369
19.0,11683,15710,45369
20.0,12469,16540,45369
21.0,13100,17219,45369
22.0,13689,18055,45369
23.0,14294,18957,45369
24.0,14893,19867,45369
25.0,15429,20660,45369
26.0,15994,21195,45369
27.0,16503,21861,45369
28.0,17138,22622,45369
29.0,17827,23385,45369
30.0,18408,24107,45369
31.0,18974,24860,45369
32.0,19563,25497,45369
33.0,20094,26324,45369
34.0,20598,27229,45369
35.0,21174,28207,45369
36.0,21580,28862,45369
37.0,22116,29747,45369
38.0,22642,30443,45369
39.0,23075,30833,45369
40.0,23544,31207,45369
41.0,23980,31273,45369
42.0,24645,31615,45369
43.0,25262,31993,45369
44.0,25808,32240,45369
45.0,26074,32410,45369
46.0,26399,32518,45369
47.0,26614,32601,45369
48.0,26712,32628,45369
49.0,26847,32663,45369
50.0,26927,32680,45369
51.0,26967,32690,45369
52.0,26999,32711,45369
53.0,27029,32748,45369
54.0,27053,32791,45369
55.0,27064,32840,45369
56.0,27067,32941,45369
57.0,27070,33092,45369
58.0,27095,33242,45369
59.0,27159,33463,45369
60.0,27245,33705,45369
61.0,27352,33983,45369
62.0,27549,34213,45369
63.0,27816,34527,45369
64.0,28043,34852,45369
65.0,28311,35114,45369
66.0,28648,35502,45369
67.0,28866,35797,45369
68.0,29134,35920,45369
69.0,29513,36069,45369
70.0,29736,36174,45369
71.0,30098,36280,45369
72.0,30515,36445,45369
73.0,30856,36662,45369
74.0,31017,36762,45369
75.0,31205,36914,45369
76.0,31333,37002,45369
77.0,31394,37047,45369
78.0,31437,37078,45369
79.0,31453,37092,45369
80.0,31488,37115,45369
81.0,31507,37134,45369
82.0,31512,37140,45369
83.0,31521,37146,45369
84.0,31518,37147,45369
85.0,31523,37152,45369
86.0,31518,37151,45369
87.0,31517,37150,45369
88.0,31522,37148,45369
89.0,31526,37148,45369
90.0,31531,37149,45369
91.0,31534,37148,45369
92.0,31529,37150,45369
93.0,31525,37151,45369
94.0,31532,37151,45369
95.0,31550,37151,45369
96.0,31562,37151,45369
97.0,31567,37156,45369
98.0,31570,37162,45369
99.0,31583,37170,45369
100.0,31597,37179,45369
101.0,31613,37184,45369
102.0,31639,37188,45369
103.0,31663,37190,45369
104.0,31733,37199,45369
105.0,31877,37203,45369
106.0,32091,37218,45369
107.0,32350,37284,45369
108.0,32783,37523,45369
109.0,33350,37984,45369
110.0,33717,38493,45369
111.0,34181,38803,45369
112.0,34639,39318,45369
113.0,34974,39763,45369
114.0,35483,40055,45369
115.0,36000,40651,45369
116.0,36346,41171,45369
117.0,36819,41649,45369
118.0,37211,42001,45369
119.0,37424,42404,45369
120.0,37655,42743,45369
121.0,37809,42982,45369
122.0,37920,43197,45369
123.0,37998,43306,45369
124.0,38067,43468,45369
125.0,38097,43585,45369
126.0,38132,43673,45369
127.0,38187,43733,45369
128.0,38221,43787,45369
129.0,38244,43832,45369
130.0,38264,43849,45369
131.0,38285,43883,45369
132.0,38312,43901,45369
133.0,38328,43911,45369
134.0,38356,43926,45369
135.0,38368,43936,45369
136.0,38402,43942,45369
137.0,38423,43953,45369
138.0,38472,43959,45369
139.0,38511,43962,45369
140.0,38569,43963,45369
141.0,38616,43963,45369
142.0,38663,43967,45369
143.0,38685,43968,45369
144.0,38698,43969,45369
145.0,38706,43972,45369
146.0,38719,43978,45369
147.0,38727,43978,45369
148.0,38744,43979,45369
149.0,38757,43980,45369
150.0,38753,43981,45369
151.0,38764,43981,45369
152.0,38766,43982,45369
153.0,38763,43982,45369
154.0,38761,43984,45369
155.0,38766,43985,45369
156.0,38770,43985,45369
157.0,38777,44000,45369
158.0,38865,44092,45369
159.0,38920,44156,45369
160.0,38960,44185,45369
161.0,38985,44200,45369
162.0,39015,44210,45369
163.0,39038,44220,45369
164.0,39044,44228,45369
165.0,39057,44234,45369
166.0,39060,44236,45369
167.0,39059,44235,45369
168.0,39066,44235,45369
169.0,39048,44238,45369
170.0,39056,44239,45369
171.0,39058,44238,45369
172.0,39062,44240,45369
173.0,39068,44245,45369
174.0,39076,44246,45369
175.0,39085,44252,45369
176.0,39090,44254,45369
177.0,39092,44254,45369
178.0,39092,44254,45369
179.0,39094,44255,45369
180.0,39093,44259,45369
181.0,39099,44262,45369
182.0,39106,44265,45369
183.0,39104,44267,45369
184.0,39104,44267,45369
185.0,39107,44269,45369
186.0,39113,44271,45369
187.0,39118,44271,45369
188.0,39118,44271,45369
189.0,39124,44271,45369
190.0,39125,44271,45369
191.0,39124,44271,45369
192.0,39140,44273,45369
193.0,39125,44275,45369
194.0,39123,44277,45369
195.0,39122,44277,45369
196.0,39114,44278,45369
197.0,39105,44280,45369
198.0,39114,44281,45369
199.0,39132,44281,45369
200.0,39139,44284,45369
201.0,39152,44284,45369
202.0,39164,44284,45369
203.0,39185,44284,45369
204.0,39189,44284,45369
205.0,39192,44284,45369
206.0,39198,44285,45369
207.0,39192,44285,45369
208.0,39189,44285,45369
209.0,39187,44286,45369
210.0,39192,44287,45369
211.0,39195,44287,45369
212.0,39199,44287,45369
213.0,39201,44287,45369
214.0,39203,44287,45369
215.0,39203,44288,45369
216.0,39196,44288,45369
217.0,39198,44288,45369
218.0,39197,44287,45369
219.0,39197,44286,45369
220.0,39198,44287,45369
221.0,39186,44287,45369
222.0,39192,44287,45369
223.0,39196,44287,45369
224.0,39197,44289,45369
225.0,39200,44290,45369
226.0,39197,44289,45369
227.0,39194,44290,45369
228.0,39187,44291,45369
229.0,39185,44291,45369
230.0,39190,44291,45369
231.0,39198,44295,45369
232.0,39198,44295,45369
233.0,39200,44295,45369
234.0,39205,44297,45369
235.0,39206,44297,45369
236.0,39210,44297,45369
237.0,39212,44297,45369
238.0,39211,44298,45369
239.0,39210,44298,45369
240.0,39205,44298,45369
241.0,39213,44298,45369
242.0,39213,44298,45369
243.0,39210,44298,45369
244.0,39209,44298,45369
245.0,39212,44298,45369
246.0,39212,44298,45369
247.0,39211,44298,45369
248.0,39205,44298,45369
249.0,39207,44298,45369
250.0,39204,44298,45369
251.0,39203,44298,45369
252.0,39203,44298,45369
253.0,39203,44298,45369
254.0,39201,44298,45369
255.0,39204,44298,45369
256.0,39202,44298,45369
257.0,39203,44298,45369
258.0,39207,44298,45369
259.0,39204,44298,45369
260.0,39202,44298,45369
261.0,39206,44298,45369
262.0,39209,44298,45369
263.0,39209,44298,45369
264.0,39211,44298,45369
265.0,39212,44298,45369
266.0,39213,44298,45369
267.0,39212,44298,45369
268.0,39214,44298,45369
269.0,39213,44298,45369
270.0,39212,44298,45369
271.0,39212,44298,45369
272.0,39214,44298,45369
273.0,39215,44298,45369
274.0,39218,44298,45369
275.0,39216,44298,45369
276.0,39217,44298,45369
