t,gt_x,gt_y,dr_x,dr_y,cdr_x,cdr_y,fused_x,fused_y,P_trace,fb_x,fb_y,b_hat,b_true
1.5,-12.8,-10.2,-12.8,-10.2,-12.8,-10.2,-12.84,-10.172,0.04001,-12.84,-10.172,0.0,-0.0651
2.0,-12.8,-10.2,-12.801,-10.201,-12.801,-10.201,-12.886,-10.152,0.04002,-12.886,-10.152,-0.0,-0.0651
2.5,-12.776,-10.225,-12.781,-10.226,-12.779,-10.225,-12.882,-10.187,0.04004,-12.882,-10.187,-0.0,-0.0651
3.0,-12.753,-10.32,-12.766,-10.314,-12.76,-10.312,-12.799,-10.262,0.04011,-12.799,-10.262,-0.0002,-0.0651
3.5,-12.752,-10.346,-12.767,-10.338,-12.76,-10.336,-12.769,-10.262,0.04005,-12.769,-10.262,-0.0,-0.0651
4.0,-12.752,-10.346,-12.767,-10.338,-12.76,-10.336,-12.787,-10.267,0.04002,-12.787,-10.268,0.0,-0.0651
4.5,-12.707,-10.366,-12.723,-10.355,-12.716,-10.353,-12.721,-10.278,0.04008,-12.721,-10.278,0.0,-0.0651
5.0,-12.484,-10.315,-12.515,-10.305,-12.508,-10.3,-12.55,-10.237,0.04039,-12.55,-10.237,0.0002,-0.0651
5.5,-12.261,-10.174,-12.302,-10.172,-12.298,-10.163,-12.362,-10.128,0.04076,-12.363,-10.128,0.0008,-0.0651
6.0,-11.998,-9.943,-12.054,-9.958,-12.055,-9.944,-12.154,-9.91,0.04157,-12.156,-9.911,0.0037,-0.0651
6.5,-11.773,-9.733,-11.842,-9.766,-11.847,-9.748,-11.948,-9.711,0.04191,-11.95,-9.712,0.0038,-0.0651
7.0,-11.506,-9.472,-11.589,-9.523,-11.592,-9.506,-11.692,-9.46,0.0431,-11.694,-9.462,0.0029,-0.0651
7.5,-11.252,-9.219,-11.347,-9.286,-11.352,-9.267,-11.47,-9.23,0.0451,-11.476,-9.236,0.007,-0.0651
8.0,-11.025,-8.964,-11.128,-9.042,-11.137,-9.019,-11.199,-8.949,0.04628,-11.191,-8.94,-0.0088,-0.0651
8.5,-10.797,-8.62,-10.908,-8.713,-10.917,-8.69,-10.958,-8.642,0.04951,-10.953,-8.628,-0.0093,-0.0651
9.0,-10.567,-8.275,-10.688,-8.392,-10.702,-8.366,-10.742,-8.313,0.05343,-10.732,-8.294,-0.0107,-0.0651
9.5,-10.339,-7.98,-10.469,-8.117,-10.485,-8.091,-10.514,-8.024,0.05715,-10.494,-7.993,-0.0162,-0.0651
10.0,-10.046,-7.693,-10.194,-7.858,-10.213,-7.829,-10.242,-7.775,0.06158,-10.226,-7.749,-0.0122,-0.0651
10.5,-9.747,-7.488,-9.913,-7.675,-9.935,-7.641,-9.954,-7.591,0.0645,-9.935,-7.559,-0.0137,-0.0651
11.0,-9.381,-7.337,-9.566,-7.544,-9.591,-7.503,-9.604,-7.468,0.06757,-9.592,-7.442,-0.0101,-0.0651
11.5,-9.014,-7.265,-9.229,-7.485,-9.255,-7.435,-9.296,-7.393,0.07134,-9.293,-7.385,-0.0032,-0.0651
12.0,-8.674,-7.234,-8.908,-7.464,-8.934,-7.409,-8.975,-7.39,0.07259,-8.991,-7.391,0.0025,-0.0651
12.5,-8.35,-7.268,-8.603,-7.504,-8.629,-7.443,-8.672,-7.373,0.07234,-8.648,-7.361,-0.0083,-0.0651
13.0,-8.038,-7.361,-8.315,-7.596,-8.34,-7.534,-8.432,-7.449,0.07491,-8.451,-7.479,0.008,-0.0651
13.5,-7.687,-7.488,-7.98,-7.721,-8.004,-7.651,-8.126,-7.595,0.07779,-8.208,-7.651,0.0253,-0.0651
14.0,-7.287,-7.529,-7.617,-7.756,-7.64,-7.685,-7.787,-7.618,0.07869,-7.903,-7.692,0.0332,-0.0651
14.5,-6.917,-7.509,-7.271,-7.739,-7.294,-7.666,-7.382,-7.68,0.07674,-7.425,-7.683,0.0118,-0.0651
15.0,-6.514,-7.427,-6.888,-7.662,-6.912,-7.587,-7.012,-7.63,0.07885,-7.088,-7.641,0.0188,-0.0651
15.5,-6.134,-7.274,-6.535,-7.521,-6.561,-7.442,-6.653,-7.509,0.07802,-6.72,-7.509,0.0156,-0.0651
16.0,-5.812,-7.089,-6.235,-7.351,-6.264,-7.268,-6.385,-7.328,0.07788,-6.494,-7.358,0.0255,-0.0651
16.5,-5.492,-6.832,-5.933,-7.111,-5.965,-7.023,-6.039,-7.054,0.07325,-6.058,-7.042,0.0042,-0.0651
17.0,-5.241,-6.558,-5.696,-6.853,-5.731,-6.763,-5.83,-6.802,0.07335,-5.884,-6.813,0.0126,-0.0651
17.5,-5.005,-6.22,-5.467,-6.53,-5.503,-6.438,-5.565,-6.438,0.07067,-5.551,-6.418,-0.0028,-0.0651
18.0,-4.802,-5.858,-5.275,-6.195,-5.316,-6.101,-5.31,-6.138,0.06929,-5.254,-6.059,-0.0162,-0.0651
18.5,-4.643,-5.52,-5.124,-5.881,-5.164,-5.788,-5.139,-5.845,0.06968,-5.078,-5.747,-0.0183,-0.0651
19.0,-4.471,-5.141,-4.96,-5.535,-5.007,-5.439,-5.012,-5.501,0.07136,-4.982,-5.43,-0.0101,-0.0651
19.5,-4.306,-4.806,-4.803,-5.227,-4.852,-5.129,-4.868,-5.172,0.07092,-4.833,-5.107,-0.0098,-0.0651
20.0,-4.102,-4.444,-4.605,-4.892,-4.658,-4.792,-4.672,-4.865,0.07256,-4.661,-4.806,-0.0057,-0.0651
