t,own_known,merged_known,total
1.0,0,0,45369
2.0,1608,1608,45369
3.0,3176,4089,45369
4.0,4279,5910,45369
5.0,5316,6919,45369
6.0,5719,7613,45369
7.0,6104,8236,45369
8.0,6466,8658,45369
9.0,6792,9161,45369
10.0,7020,9667,45369
11.0,7334,10297,45369
12.0,7686,11177,45369
13.0,8071,12003,45369
14.0,8496,12775,45369
15.0,8955,13450,45369
16.0,9614,14033,45369
17.0,10291,14546,45369
18.0,10852,14935,45369
19.0,11694,15559,45369
20.0,12392,16272,45369
21.0,13038,17051,45369
22.0,13639,17826,45369
23.0,14225,18587,45369
24.0,14783,19351,45369
25.0,15342,20083,45369
26.0,15924,20769,45369
27.0,16490,21404,45369
28.0,17244,21971,45369
29.0,17943,22514,45369
30.0,18609,23053,45369
31.0,19286,23714,45369
32.0,19907,24410,45369
33.0,20508,25312,45369
34.0,21073,26107,45369
35.0,21565,27194,45369
36.0,22036,28262,45369
37.0,22427,28835,45369
38.0,22609,29353,45369
39.0,22866,29712,45369
40.0,23169,29894,45369
41.0,23674,30057,45369
42.0,24437,30193,45369
43.0,25364,30360,45369
44.0,26015,30539,45369
45.0,26290,30678,45369
46.0,26462,30771,45369
47.0,26587,30860,45369
48.0,26692,30950,45369
49.0,26777,30996,45369
50.0,26827,31044,45369
51.0,26859,31091,45369
52.0,26892,31171,45369
53.0,26904,31237,45369
54.0,26928,31326,45369
55.0,26943,31445,45369
56.0,26989,31589,45369
57.0,27024,31794,45369
58.0,27089,31961,45369
59.0,27163,32213,45369
60.0,27285,32476,45369
61.0,27414,32768,45369
62.0,27576,32953,45369
63.0,27697,33253,45369
64.0,27937,33625,45369
65.0,28177,33864,45369
66.0,28458,34233,45369
67.0,28631,34593,45369
68.0,28963,34844,45369
69.0,29291,35122,45369
70.0,29543,35328,45369
71.0,29898,35432,45369
72.0,30182,35487,45369
73.0,30369,35561,45369
74.0,30443,35628,45369
75.0,30507,35748,45369
76.0,30519,35872,45369
77.0,30517,35914,45369
78.0,30539,35946,45369
79.0,30553,35978,45369
80.0,30559,35994,45369
81.0,30592,36022,45369
82.0,30610,36049,45369
83.0,30619,36057,45369
84.0,30621,36066,45369
85.0,30630,36074,45369
86.0,30648,36091,45369
87.0,30648,36112,45369
88.0,30655,36166,45369
89.0,30665,36188,45369
90.0,30665,36230,45369
91.0,30689,36291,45369
92.0,30702,36325,45369
93.0,30724,36365,45369
94.0,30752,36392,45369
95.0,30767,36404,45369
96.0,30774,36416,45369
97.0,30787,36419,45369
98.0,30791,36437,45369
99.0,30793,36449,45369
100.0,30799,36473,45369
101.0,30804,36493,45369
102.0,30803,36502,45369
103.0,30806,36504,45369
104.0,30809,36508,45369
105.0,30815,36512,45369
106.0,30846,36533,45369
107.0,30888,36602,45369
108.0,30953,36800,45369
109.0,31101,36998,45369
110.0,31314,37409,45369
111.0,31598,37985,45369
112.0,31974,38563,45369
113.0,32256,38946,45369
114.0,32796,39555,45369
115.0,33403,40250,45369
116.0,34025,40796,45369
117.0,34749,41149,45369
118.0,35426,41615,45369
119.0,36024,41917,45369
120.0,36690,42119,45369
121.0,37281,42300,45369
122.0,37754,42442,45369
123.0,38028,42550,45369
124.0,38351,42646,45369
125.0,38507,42718,45369
126.0,38654,42779,45369
127.0,38763,42817,45369
128.0,38851,42841,45369
129.0,38880,42860,45369
130.0,38900,42879,45369
131.0,38931,42897,45369
132.0,38962,42922,45369
133.0,39003,42958,45369
134.0,39074,42991,45369
135.0,39136,43027,45369
136.0,39267,43071,45369
137.0,39413,43110,45369
138.0,39541,43153,45369
139.0,39768,43218,45369
140.0,39958,43284,45369
141.0,40060,43326,45369
142.0,40171,43370,45369
143.0,40236,43407,45369
144.0,40285,43443,45369
145.0,40332,43476,45369
146.0,40361,43502,45369
147.0,40370,43515,45369
148.0,40377,43522,45369
149.0,40388,43533,45369
150.0,40417,43557,45369
151.0,40433,43571,45369
152.0,40468,43590,45369
153.0,40492,43608,45369
154.0,40523,43629,45369
155.0,40550,43653,45369
156.0,40564,43670,45369
157.0,40577,43677,45369
158.0,40581,43692,45369
159.0,40600,43704,45369
160.0,40605,43705,45369
161.0,40613,43706,45369
162.0,40605,43702,45369
163.0,40599,43700,45369
164.0,40601,43705,45369
165.0,40606,43703,45369
166.0,40605,43699,45369
167.0,40600,43698,45369
168.0,40606,43699,45369
169.0,40611,43699,45369
170.0,40613,43701,45369
171.0,40620,43707,45369
172.0,40631,43707,45369
173.0,40630,43707,45369
174.0,40630,43704,45369
175.0,40631,43704,45369
176.0,40625,43705,45369
177.0,40633,43707,45369
178.0,40638,43714,45369
179.0,40622,43710,45369
180.0,40624,43712,45369
181.0,40624,43713,45369
182.0,40629,43712,45369
183.0,40628,43714,45369
184.0,40627,43715,45369
185.0,40634,43715,45369
186.0,40633,43720,45369
187.0,40629,43720,45369
188.0,40627,43724,45369
189.0,40632,43731,45369
190.0,40627,43736,45369
191.0,40633,43740,45369
192.0,40633,43742,45369
193.0,40628,43738,45369
194.0,40625,43740,45369
195.0,40617,43735,45369
196.0,40614,43734,45369
197.0,40620,43733,45369
198.0,40621,43733,45369
199.0,40627,43734,45369
200.0,40636,43743,45369
201.0,40621,43740,45369
202.0,40620,43743,45369
203.0,40614,43739,45369
204.0,40618,43739,45369
205.0,40623,43739,45369
206.0,40630,43739,45369
207.0,40640,43744,45369
208.0,40641,43742,45369
209.0,40651,43745,45369
210.0,40647,43747,45369
211.0,40648,43749,45369
212.0,40648,43749,45369
213.0,40659,43751,45369
214.0,40657,43752,45369
215.0,40662,43752,45369
216.0,40664,43755,45369
217.0,40666,43757,45369
218.0,40657,43755,45369
219.0,40663,43757,45369
220.0,40670,43758,45369
221.0,40670,43753,45369
222.0,40673,43754,45369
223.0,40670,43753,45369
224.0,40674,43754,45369
225.0,40680,43757,45369
226.0,40679,43754,45369
227.0,40679,43757,45369
228.0,40683,43756,45369
229.0,40683,43757,45369
230.0,40682,43761,45369
231.0,40678,43766,45369
232.0,40679,43767,45369
233.0,40677,43770,45369
234.0,40678,43773,45369
235.0,40671,43771,45369
