t,own_known,merged_known,total
1.1,0,0,45369
2.0,1626,1626,45369
3.0,3073,3939,45369
4.0,4624,6050,45369
5.0,5526,6898,45369
6.0,6003,7657,45369
7.0,6251,8214,45369
8.0,6540,8620,45369
9.0,6918,9162,45369
10.0,7184,9711,45369
11.0,7606,10493,45369
12.0,7984,11326,45369
13.0,8212,12052,45369
14.0,8418,12762,45369
15.0,8688,13410,45369
16.0,9169,14013,45369
17.0,9957,14545,45369
18.0,10532,14910,45369
19.0,11233,15464,45369
20.0,11868,16140,45369
21.0,12443,16900,45369
22.0,12940,17707,45369
23.0,13468,18500,45369
24.0,13983,19284,45369
25.0,14472,20059,45369
26.0,14948,20756,45369
27.0,15481,21392,45369
28.0,16071,21952,45369
29.0,16699,22477,45369
30.0,17383,22989,45369
31.0,18042,23644,45369
32.0,18725,24396,45369
33.0,19433,25352,45369
34.0,19985,26068,45369
35.0,20487,27110,45369
36.0,20895,28143,45369
37.0,21353,28781,45369
38.0,21768,29334,45369
39.0,22417,29681,45369
40.0,22936,29877,45369
41.0,23756,30073,45369
42.0,24463,30202,45369
43.0,25051,30366,45369
44.0,25507,30519,45369
45.0,25783,30688,45369
46.0,26045,30768,45369
47.0,26264,30861,45369
48.0,26386,30927,45369
49.0,26538,30972,45369
50.0,26655,31010,45369
51.0,26812,31062,45369
52.0,26882,31125,45369
53.0,27034,31221,45369
54.0,27167,31300,45369
55.0,27304,31434,45369
56.0,27484,31583,45369
57.0,27680,31799,45369
58.0,27837,31966,45369
59.0,28110,32228,45369
60.0,28337,32472,45369
61.0,28517,32768,45369
62.0,28793,32947,45369
63.0,29128,33249,45369
64.0,29342,33604,45369
65.0,29656,33856,45369
66.0,30002,34215,45369
67.0,30277,34573,45369
68.0,30653,34818,45369
69.0,31047,35115,45369
70.0,31319,35318,45369
71.0,31774,35423,45369
72.0,32207,35514,45369
73.0,32494,35571,45369
74.0,32781,35707,45369
75.0,33115,35855,45369
76.0,33252,35900,45369
77.0,33314,35922,45369
78.0,33386,35955,45369
79.0,33426,35983,45369
80.0,33460,35999,45369
81.0,33520,36027,45369
82.0,33521,36031,45369
83.0,33538,36038,45369
84.0,33543,36039,45369
85.0,33560,36045,45369
86.0,33616,36071,45369
87.0,33740,36095,45369
88.0,33823,36137,45369
89.0,34001,36176,45369
90.0,34161,36233,45369
91.0,34241,36270,45369
92.0,34351,36311,45369
93.0,34434,36334,45369
94.0,34478,36343,45369
95.0,34511,36351,45369
96.0,34518,36359,45369
97.0,34532,36377,45369
98.0,34546,36388,45369
99.0,34574,36407,45369
100.0,34604,36424,45369
101.0,34607,36433,45369
102.0,34616,36435,45369
103.0,34624,36434,45369
104.0,34653,36438,45369
105.0,34682,36441,45369
106.0,34703,36462,45369
107.0,34747,36539,45369
108.0,34765,36729,45369
109.0,34776,36924,45369
110.0,34797,37338,45369
111.0,34810,37915,45369
112.0,34819,38492,45369
113.0,34873,38876,45369
114.0,34987,39483,45369
115.0,35353,40168,45369
116.0,35759,40707,45369
117.0,36271,41017,45369
118.0,36733,41486,45369
119.0,37400,41805,45369
120.0,38024,41998,45369
121.0,38435,42184,45369
122.0,38922,42322,45369
123.0,39316,42446,45369
124.0,39548,42536,45369
125.0,39779,42645,45369
126.0,39896,42702,45369
127.0,39917,42752,45369
128.0,39935,42775,45369
129.0,39936,42805,45369
130.0,39953,42827,45369
131.0,39984,42843,45369
132.0,40008,42867,45369
133.0,40055,42897,45369
134.0,40113,42923,45369
135.0,40162,42960,45369
136.0,40203,43007,45369
137.0,40237,43039,45369
138.0,40256,43086,45369
139.0,40262,43132,45369
140.0,40258,43191,45369
141.0,40263,43251,45369
142.0,40265,43295,45369
143.0,40264,43345,45369
144.0,40274,43384,45369
145.0,40303,43419,45369
146.0,40314,43450,45369
147.0,40321,43467,45369
148.0,40324,43481,45369
149.0,40323,43486,45369
150.0,40325,43497,45369
151.0,40332,43523,45369
152.0,40327,43541,45369
153.0,40327,43562,45369
154.0,40332,43582,45369
155.0,40331,43606,45369
156.0,40339,43631,45369
157.0,40354,43643,45369
158.0,40361,43651,45369
159.0,40358,43658,45369
160.0,40375,43660,45369
161.0,40376,43662,45369
162.0,40394,43662,45369
163.0,40397,43662,45369
164.0,40400,43662,45369
165.0,40396,43662,45369
166.0,40393,43662,45369
167.0,40404,43662,45369
168.0,40403,43663,45369
169.0,40406,43666,45369
170.0,40408,43668,45369
171.0,40413,43667,45369
172.0,40410,43668,45369
173.0,40409,43669,45369
174.0,40396,43668,45369
175.0,40394,43667,45369
176.0,40398,43667,45369
177.0,40403,43667,45369
178.0,40403,43667,45369
179.0,40405,43668,45369
180.0,40408,43670,45369
181.0,40407,43671,45369
182.0,40403,43671,45369
183.0,40412,43671,45369
184.0,40422,43672,45369
185.0,40459,43678,45369
186.0,40512,43680,45369
187.0,40548,43679,45369
188.0,40587,43686,45369
189.0,40623,43689,45369
190.0,40652,43691,45369
191.0,40659,43692,45369
192.0,40668,43692,45369
193.0,40656,43693,45369
194.0,40652,43696,45369
195.0,40660,43698,45369
196.0,40672,43699,45369
197.0,40684,43699,45369
198.0,40689,43699,45369
199.0,40691,43698,45369
200.0,40698,43698,45369
201.0,40702,43698,45369
202.0,40702,43701,45369
203.0,40708,43701,45369
204.0,40713,43702,45369
205.0,40718,43703,45369
206.0,40728,43703,45369
207.0,40727,43705,45369
208.0,40727,43702,45369
209.0,40725,43702,45369
210.0,40735,43703,45369
211.0,40729,43703,45369
212.0,40724,43703,45369
213.0,40728,43707,45369
214.0,40735,43709,45369
215.0,40735,43712,45369
216.0,40741,43714,45369
217.0,40731,43713,45369
218.0,40737,43713,45369
219.0,40735,43713,45369
220.0,40742,43714,45369
221.0,40743,43714,45369
222.0,40738,43716,45369
223.0,40744,43716,45369
224.0,40749,43713,45369
225.0,40753,43715,45369
226.0,40754,43718,45369
227.0,40756,43720,45369
228.0,40749,43719,45369
229.0,40754,43724,45369
230.0,40749,43723,45369
231.0,40754,43726,45369
232.0,40746,43727,45369
233.0,40740,43728,45369
234.0,40744,43728,45369
235.0,40743,43729,45369
236.0,40740,43730,45369
237.0,40744,43731,45369
238.0,40751,43734,45369
239.0,40747,43737,45369
240.0,40740,43735,45369
241.0,40734,43737,45369
242.0,40727,43736,45369
243.0,40730,43740,45369
244.0,40729,43739,45369
245.0,40732,43742,45369
246.0,40733,43741,45369
247.0,40735,43743,45369
248.0,40736,43743,45369
249.0,40741,43748,45369
250.0,40752,43749,45369
251.0,40762,43749,45369
252.0,40766,43747,45369
253.0,40763,43750,45369
254.0,40769,43753,45369
255.0,40776,43755,45369
256.0,40784,43754,45369
257.0,40793,43753,45369
258.0,40801,43756,45369
259.0,40816,43755,45369
260.0,40822,43753,45369
261.0,40850,43762,45369
262.0,40856,43760,45369
263.0,40862,43767,45369
264.0,40855,43765,45369
265.0,40856,43766,45369
266.0,40852,43764,45369
267.0,40860,43764,45369
268.0,40858,43766,45369
269.0,40869,43764,45369
270.0,40877,43770,45369
271.0,40869,43767,45369
272.0,40883,43768,45369
273.0,40890,43773,45369
274.0,40899,43774,45369
275.0,40898,43773,45369
276.0,40887,43771,45369
