t,gt_x,gt_y,dr_x,dr_y,cdr_x,cdr_y,fused_x,fused_y,P_trace,fb_x,fb_y,b_hat,b_true
1.5,-10.914,-10.914,-10.905,-10.906,-10.904,-10.907,-10.887,-10.892,0.04022,-10.887,-10.892,0.0,0.0777
2.0,-10.62,-10.62,-10.594,-10.593,-10.593,-10.594,-10.559,-10.626,0.0416,-10.559,-10.626,0.0005,0.0777
2.5,-10.326,-10.326,-10.276,-10.276,-10.276,-10.276,-10.243,-10.343,0.04295,-10.245,-10.345,0.0029,0.0777
3.0,-10.06,-10.062,-9.99,-9.991,-9.991,-9.991,-9.941,-10.11,0.04357,-9.948,-10.115,0.0066,0.0777
3.5,-9.77,-9.764,-9.677,-9.67,-9.679,-9.669,-9.629,-9.872,0.0447,-9.651,-9.886,0.0177,0.0777
4.0,-9.506,-9.499,-9.389,-9.381,-9.391,-9.38,-9.32,-9.579,0.04844,-9.341,-9.591,0.0129,0.0777
4.5,-9.213,-9.204,-9.077,-9.066,-9.076,-9.068,-9.059,-9.283,0.05173,-9.098,-9.32,0.0269,0.0777
5.0,-8.922,-8.907,-8.767,-8.75,-8.764,-8.753,-8.783,-8.981,0.05563,-8.841,-9.044,0.0374,0.0777
5.5,-8.658,-8.642,-8.479,-8.46,-8.474,-8.466,-8.551,-8.757,0.0545,-8.655,-8.873,0.0644,0.0777
6.0,-8.367,-8.344,-8.16,-8.134,-8.155,-8.14,-8.225,-8.405,0.05771,-8.32,-8.513,0.0526,0.0777
6.5,-8.105,-8.077,-7.879,-7.846,-7.875,-7.851,-7.961,-8.129,0.05812,-8.07,-8.254,0.0567,0.0777
7.0,-7.811,-7.783,-7.56,-7.528,-7.557,-7.532,-7.647,-7.812,0.05995,-7.762,-7.943,0.0547,0.0777
7.5,-7.518,-7.547,-7.238,-7.28,-7.237,-7.281,-7.335,-7.554,0.06105,-7.451,-7.685,0.0515,0.0777
8.0,-7.381,-7.565,-7.091,-7.314,-7.089,-7.309,-7.207,-7.594,0.05626,-7.333,-7.728,0.0565,0.0777
8.5,-7.023,-7.726,-6.713,-7.495,-6.703,-7.475,-6.82,-7.767,0.05421,-6.956,-7.881,0.0544,0.0777
9.0,-6.626,-7.757,-6.273,-7.532,-6.263,-7.505,-6.372,-7.832,0.05387,-6.533,-7.934,0.056,0.0777
9.5,-6.261,-7.705,-5.879,-7.48,-5.87,-7.442,-6.054,-7.774,0.05219,-6.258,-7.908,0.0723,0.0777
10.0,-5.866,-7.587,-5.455,-7.357,-5.448,-7.315,-5.679,-7.647,0.05206,-5.911,-7.802,0.0796,0.0777
10.5,-5.527,-7.435,-5.08,-7.19,-5.077,-7.139,-5.362,-7.454,0.05224,-5.615,-7.638,0.0858,0.0777
11.0,-5.177,-7.217,-4.704,-6.957,-4.705,-6.899,-5.014,-7.196,0.05352,-5.273,-7.398,0.0846,0.0777
11.5,-4.854,-6.958,-4.351,-6.676,-4.355,-6.615,-4.693,-6.904,0.05401,-4.96,-7.128,0.0852,0.0777
12.0,-4.586,-6.698,-4.063,-6.398,-4.069,-6.335,-4.407,-6.624,0.05604,-4.681,-6.858,0.0825,0.0777
12.5,-4.303,-6.394,-3.756,-6.071,-3.763,-6.007,-4.095,-6.289,0.05897,-4.369,-6.529,0.0775,0.0777
13.0,-4.059,-6.11,-3.482,-5.756,-3.486,-5.695,-3.822,-5.983,0.06099,-4.109,-6.237,0.0768,0.0777
13.5,-3.789,-5.794,-3.188,-5.415,-3.192,-5.355,-3.549,-5.676,0.06218,-3.884,-5.968,0.0852,0.0777
14.0,-3.519,-5.477,-2.895,-5.077,-2.9,-5.015,-3.269,-5.357,0.06379,-3.637,-5.677,0.0888,0.0777
14.5,-3.278,-5.191,-2.635,-4.773,-2.643,-4.709,-3.014,-5.055,0.0656,-3.39,-5.385,0.0871,0.0777
15.0,-3.006,-4.876,-2.341,-4.439,-2.352,-4.372,-2.756,-4.732,0.06473,-3.16,-5.094,0.0918,0.0777
15.5,-2.731,-4.565,-2.038,-4.102,-2.056,-4.03,-2.469,-4.426,0.06436,-2.906,-4.81,0.0953,0.0777
16.0,-2.481,-4.286,-1.763,-3.801,-1.785,-3.725,-2.205,-4.147,0.064,-2.662,-4.544,0.0962,0.0777
16.5,-2.207,-3.973,-1.466,-3.467,-1.489,-3.391,-1.924,-3.828,0.06405,-2.4,-4.241,0.0971,0.0777
17.0,-1.962,-3.69,-1.201,-3.166,-1.227,-3.087,-1.678,-3.554,0.06326,-2.184,-3.987,0.1004,0.0777
17.5,-1.687,-3.378,-0.891,-2.821,-0.921,-2.738,-1.375,-3.227,0.06368,-1.899,-3.67,0.0998,0.0777
18.0,-1.411,-3.066,-0.598,-2.495,-0.631,-2.409,-1.086,-2.907,0.06415,-1.613,-3.352,0.097,0.0777
18.5,-1.163,-2.786,-0.329,-2.196,-0.364,-2.109,-0.822,-2.598,0.06433,-1.33,-3.034,0.0915,0.0777
