t,tx,rx,relayed,dup_dropped
2.0,7,8,8,8
4.0,17,28,28,28
6.0,27,48,48,48
8.0,37,68,68,68
10.0,47,88,88,88
12.0,57,108,108,108
14.0,67,129,128,126
16.0,77,152,148,145
18.0,87,172,168,165
20.0,97,193,188,184
22.0,107,214,207,203
24.0,117,237,227,223
26.0,127,260,247,243
28.0,137,281,267,263
30.0,147,303,287,283
32.0,157,325,307,302
34.0,167,347,326,319
36.0,177,369,346,339
38.0,188,393,367,359
40.0,199,417,389,380
42.0,211,443,413,403
44.0,223,468,435,425
46.0,233,490,455,445
48.0,243,512,475,465
50.0,253,535,495,484
52.0,263,557,515,502
54.0,273,579,535,522
56.0,283,601,554,540
58.0,293,622,574,560
60.0,303,645,594,579
62.0,313,668,614,598
64.0,323,691,634,616
66.0,333,714,654,636
68.0,344,738,676,655
70.0,356,764,700,679
72.0,368,788,722,701
74.0,379,814,746,725
76.0,391,841,770,749
78.0,403,865,792,771
80.0,414,891,816,794
82.0,425,916,839,817
84.0,435,938,859,837
86.0,445,960,879,857
88.0,455,982,899,877
90.0,465,1004,919,897
92.0,475,1026,939,917
94.0,485,1048,959,937
96.0,495,1070,979,957
98.0,505,1093,999,976
100.0,515,1116,1019,996
102.0,525,1138,1039,1016
104.0,535,1161,1059,1036
106.0,545,1183,1079,1055
108.0,555,1205,1099,1074
110.0,565,1226,1119,1092
112.0,575,1248,1139,1112
114.0,585,1270,1159,1132
116.0,595,1292,1179,1151
118.0,607,1318,1203,1174
120.0,619,1344,1227,1198
122.0,630,1368,1249,1220
124.0,642,1394,1273,1244
126.0,654,1420,1297,1268
128.0,665,1444,1319,1290
130.0,677,1469,1342,1313
132.0,687,1491,1362,1333
134.0,697,1513,1382,1353
136.0,707,1535,1402,1373
138.0,717,1557,1422,1393
140.0,727,1579,1442,1413
142.0,737,1601,1462,1433
144.0,747,1623,1482,1453
146.0,757,1643,1502,1473
148.0,767,1664,1522,1493
150.0,777,1685,1542,1512
152.0,787,1705,1562,1532
154.0,797,1725,1582,1552
156.0,807,1746,1602,1572
158.0,817,1766,1622,1592
160.0,827,1786,1642,1612
162.0,837,1807,1662,1632
164.0,847,1828,1682,1652
166.0,857,1848,1702,1672
168.0,867,1869,1722,1692
170.0,877,1889,1742,1712
172.0,887,1910,1762,1732
174.0,897,1931,1782,1752
176.0,907,1952,1802,1772
178.0,917,1972,1822,1792
180.0,927,1993,1842,1811
182.0,937,2013,1862,1831
184.0,947,2033,1882,1851
186.0,957,2053,1902,1871
188.0,967,2073,1922,1891
190.0,977,2093,1942,1911
192.0,987,2113,1962,1931
194.0,997,2134,1982,1951
196.0,1007,2155,2002,1970
198.0,1017,2175,2022,1990
200.0,1027,2195,2042,2010
202.0,1037,2215,2062,2030
204.0,1047,2235,2082,2050
206.0,1057,2257,2102,2070
208.0,1067,2277,2122,2090
210.0,1077,2297,2142,2110
212.0,1087,2317,2162,2130
214.0,1097,2337,2182,2150
216.0,1107,2357,2202,2170
218.0,1117,2377,2222,2190
220.0,1127,2397,2242,2210
222.0,1137,2417,2262,2230
224.0,1147,2438,2282,2250
226.0,1157,2459,2302,2270
228.0,1167,2480,2322,2290
230.0,1177,2500,2342,2310
232.0,1187,2520,2362,2330
234.0,1197,2540,2382,2350
236.0,1207,2561,2402,2370
238.0,1217,2581,2422,2390
240.0,1227,2601,2442,2410
242.0,1237,2621,2462,2430
244.0,1247,2642,2482,2450
246.0,1257,2662,2502,2470
248.0,1267,2683,2522,2490
250.0,1277,2703,2542,2510
252.0,1287,2723,2562,2530
254.0,1297,2743,2582,2550
256.0,1307,2763,2602,2570
258.0,1317,2783,2622,2590
260.0,1327,2803,2642,2610
262.0,1337,2823,2662,2630
264.0,1347,2843,2682,2650
266.0,1357,2863,2702,2670
268.0,1367,2883,2722,2689
270.0,1377,2903,2742,2709
272.0,1387,2923,2762,2729
274.0,1397,2944,2782,2749
276.0,1407,2964,2802,2769
