t,own_known,merged_known,total
1.2,0,0,45369
2.0,1540,3424,45369
3.0,3311,5129,45369
4.0,4902,6650,45369
5.0,5621,7170,45369
6.0,6085,7683,45369
7.0,6432,8157,45369
8.0,6652,8409,45369
9.0,6952,8942,45369
10.0,7219,9424,45369
11.0,7611,10254,45369
12.0,8039,11149,45369
13.0,8320,11987,45369
14.0,8517,12483,45369
15.0,8771,13147,45369
16.0,9218,13783,45369
17.0,10040,14414,45369
18.0,10890,14936,45369
19.0,11349,15544,45369
20.0,11970,16222,45369
21.0,12502,16934,45369
22.0,13054,17719,45369
23.0,13551,18515,45369
24.0,14030,19244,45369
25.0,14543,19973,45369
26.0,14966,20597,45369
27.0,15474,21196,45369
28.0,16050,21763,45369
29.0,16786,22360,45369
30.0,17458,22960,45369
31.0,18075,23625,45369
32.0,18726,24351,45369
33.0,19365,25186,45369
34.0,19718,25788,45369
35.0,20175,26629,45369
36.0,20685,27487,45369
37.0,21053,28227,45369
38.0,21594,28791,45369
39.0,22218,29076,45369
40.0,22945,29357,45369
41.0,23770,29682,45369
42.0,24193,29952,45369
43.0,24854,30163,45369
44.0,25327,30364,45369
45.0,25578,30465,45369
46.0,25914,30558,45369
47.0,26121,30616,45369
48.0,26226,30656,45369
49.0,26351,30707,45369
50.0,26472,30751,45369
51.0,26549,30797,45369
52.0,26640,30839,45369
53.0,26744,30924,45369
54.0,26841,31028,45369
55.0,27009,31179,45369
56.0,27166,31268,45369
57.0,27335,31492,45369
58.0,27461,31748,45369
59.0,27661,31910,45369
60.0,27895,32157,45369
61.0,28110,32445,45369
62.0,28272,32679,45369
63.0,28561,32907,45369
64.0,28848,33240,45369
65.0,29139,33617,45369
66.0,29455,33954,45369
67.0,29655,34282,45369
68.0,29943,34460,45369
69.0,30297,34684,45369
70.0,30557,34769,45369
71.0,30898,34836,45369
72.0,31324,34931,45369
73.0,31544,34966,45369
74.0,31905,35014,45369
75.0,32106,35061,45369
76.0,32224,35149,45369
77.0,32375,35174,45369
78.0,32485,35233,45369
79.0,32590,35264,45369
80.0,32617,35288,45369
81.0,32654,35321,45369
82.0,32671,35338,45369
83.0,32695,35351,45369
84.0,32732,35364,45369
85.0,32789,35377,45369
86.0,32853,35386,45369
87.0,32927,35405,45369
88.0,33015,35427,45369
89.0,33120,35449,45369
90.0,33225,35474,45369
91.0,33318,35498,45369
92.0,33379,35517,45369
93.0,33416,35533,45369
94.0,33436,35540,45369
95.0,33447,35552,45369
96.0,33451,35557,45369
97.0,33449,35560,45369
98.0,33446,35561,45369
99.0,33451,35562,45369
100.0,33454,35566,45369
101.0,33466,35574,45369
102.0,33475,35579,45369
103.0,33492,35593,45369
104.0,33545,35621,45369
