t,tx,rx,relayed,dup_dropped
2.0,4,10,10,10
4.0,14,29,29,29
6.0,24,49,49,49
8.0,34,70,69,69
10.0,44,90,89,88
12.0,54,110,109,105
14.0,64,131,129,125
16.0,74,151,149,145
18.0,84,172,169,165
20.0,94,192,189,185
22.0,104,213,209,204
24.0,114,233,229,224
26.0,124,253,249,241
28.0,134,276,269,261
30.0,144,299,289,281
32.0,154,320,309,301
34.0,164,344,329,321
36.0,174,367,349,341
38.0,185,390,370,354
40.0,197,415,393,372
42.0,208,442,416,390
44.0,218,466,436,410
46.0,228,488,456,430
48.0,238,510,476,449
50.0,248,532,496,469
52.0,258,554,516,489
54.0,268,576,536,509
56.0,278,598,556,528
58.0,288,620,576,548
60.0,298,644,596,568
62.0,308,667,616,588
64.0,318,690,636,608
66.0,328,712,656,626
68.0,339,736,678,648
70.0,351,762,702,672
72.0,362,788,725,695
74.0,374,814,748,718
76.0,386,840,772,742
78.0,397,866,795,765
80.0,407,888,815,785
82.0,417,910,835,805
84.0,427,932,855,825
86.0,437,954,875,845
88.0,447,976,895,864
90.0,457,998,915,884
92.0,467,1020,935,904
94.0,477,1042,955,924
96.0,487,1064,975,944
98.0,497,1085,995,964
100.0,507,1107,1015,984
102.0,517,1128,1035,1004
104.0,527,1150,1055,1024
106.0,537,1172,1075,1043
108.0,547,1194,1095,1063
110.0,557,1216,1115,1083
112.0,567,1237,1135,1103
114.0,579,1264,1159,1127
116.0,590,1288,1181,1149
118.0,602,1314,1205,1173
120.0,614,1340,1229,1197
122.0,625,1364,1251,1219
124.0,637,1390,1275,1243
126.0,648,1412,1295,1263
128.0,658,1434,1315,1282
130.0,668,1456,1335,1302
132.0,678,1478,1355,1322
134.0,688,1500,1375,1341
136.0,698,1522,1395,1361
138.0,708,1544,1415,1380
140.0,718,1567,1435,1400
142.0,728,1589,1455,1419
144.0,738,1611,1475,1439
146.0,748,1633,1495,1459
148.0,758,1655,1515,1479
150.0,768,1676,1535,1497
152.0,778,1696,1555,1517
154.0,788,1716,1575,1537
156.0,798,1736,1595,1557
158.0,808,1756,1615,1577
160.0,818,1777,1635,1596
162.0,828,1797,1655,1616
164.0,838,1817,1675,1636
166.0,848,1838,1695,1656
168.0,858,1858,1715,1676
170.0,868,1879,1735,1696
172.0,878,1899,1755,1716
174.0,888,1919,1775,1736
176.0,898,1939,1795,1756
178.0,908,1959,1815,1776
180.0,918,1981,1835,1796
182.0,928,2002,1855,1816
184.0,938,2023,1875,1836
186.0,948,2043,1895,1856
188.0,958,2064,1915,1876
190.0,968,2084,1935,1896
192.0,978,2104,1955,1916
194.0,988,2124,1975,1936
196.0,998,2145,1995,1956
198.0,1008,2165,2015,1976
200.0,1018,2186,2035,1996
202.0,1028,2206,2055,2016
204.0,1038,2226,2075,2036
206.0,1048,2246,2095,2056
208.0,1058,2266,2115,2076
210.0,1068,2288,2135,2096
212.0,1078,2308,2155,2116
214.0,1088,2328,2175,2136
216.0,1098,2349,2195,2156
218.0,1108,2370,2215,2176
220.0,1118,2391,2235,2196
222.0,1128,2413,2255,2216
224.0,1138,2436,2275,2236
226.0,1148,2456,2295,2256
228.0,1158,2477,2315,2276
230.0,1168,2499,2335,2296
232.0,1178,2519,2355,2316
234.0,1188,2542,2375,2336
236.0,1198,2563,2395,2356
238.0,1208,2584,2415,2376
240.0,1218,2604,2435,2396
242.0,1228,2625,2455,2416
244.0,1238,2647,2475,2436
246.0,1248,2667,2495,2456
248.0,1257,2688,2515,2476
250.0,1267,2708,2535,2496
252.0,1277,2728,2555,2516
254.0,1287,2748,2575,2536
256.0,1297,2769,2595,2556
258.0,1306,2789,2615,2576
260.0,1316,2810,2635,2596
262.0,1326,2831,2655,2616
264.0,1336,2852,2675,2636
266.0,1346,2872,2695,2656
268.0,1356,2892,2715,2676
270.0,1366,2912,2735,2696
272.0,1376,2933,2755,2716
274.0,1386,2953,2775,2736
276.0,1396,2973,2795,2756
