t,tx,rx,relayed,dup_dropped
2.0,6,9,8,8
4.0,15,29,28,28
6.0,25,49,48,48
8.0,35,70,68,68
10.0,45,90,88,88
12.0,55,111,108,106
14.0,65,131,128,126
16.0,75,152,148,146
18.0,85,174,168,166
20.0,95,195,188,186
22.0,105,216,208,204
24.0,115,238,228,224
26.0,125,260,248,242
28.0,135,281,268,262
30.0,145,303,288,281
32.0,155,325,308,301
34.0,165,347,328,319
36.0,175,368,347,336
38.0,186,389,362,336
40.0,198,414,384,345
42.0,211,438,405,362
44.0,221,460,425,382
46.0,231,483,445,402
48.0,241,505,465,422
50.0,251,528,485,442
52.0,261,550,505,462
54.0,271,572,525,481
56.0,281,595,545,501
58.0,291,617,565,521
60.0,301,640,585,541
62.0,311,663,605,561
64.0,321,687,625,580
66.0,331,709,645,600
68.0,342,733,667,622
70.0,354,759,691,646
72.0,366,783,713,668
74.0,377,810,737,692
76.0,389,836,761,716
78.0,400,861,784,739
80.0,410,883,804,759
82.0,420,905,824,779
84.0,430,927,844,799
86.0,440,949,864,819
88.0,450,972,884,838
90.0,460,994,904,858
92.0,470,1018,924,878
94.0,480,1039,944,898
96.0,490,1063,964,918
98.0,500,1086,984,937
100.0,510,1109,1004,957
102.0,520,1131,1024,976
104.0,530,1153,1044,995
106.0,540,1175,1064,1015
108.0,551,1197,1084,1034
110.0,560,1219,1104,1053
112.0,570,1242,1124,1073
114.0,582,1269,1148,1096
116.0,593,1294,1170,1117
118.0,605,1320,1194,1140
120.0,617,1347,1218,1164
122.0,628,1371,1240,1186
124.0,640,1397,1264,1210
126.0,650,1420,1285,1231
128.0,660,1442,1305,1251
130.0,670,1464,1325,1271
132.0,680,1486,1345,1291
134.0,690,1508,1365,1311
136.0,700,1530,1385,1329
138.0,710,1552,1404,1347
140.0,721,1575,1425,1366
142.0,730,1594,1444,1386
144.0,741,1615,1464,1406
146.0,751,1635,1484,1426
148.0,760,1655,1504,1446
150.0,770,1676,1523,1465
152.0,780,1697,1543,1485
154.0,790,1717,1563,1505
156.0,800,1737,1583,1525
158.0,810,1757,1603,1545
160.0,820,1777,1623,1565
162.0,830,1797,1643,1585
164.0,840,1817,1663,1605
166.0,850,1837,1683,1625
168.0,860,1859,1703,1645
170.0,870,1879,1723,1665
172.0,880,1899,1743,1685
174.0,890,1919,1763,1705
176.0,900,1939,1783,1725
178.0,910,1959,1803,1745
180.0,920,1980,1823,1765
182.0,930,2000,1843,1785
184.0,940,2020,1863,1805
186.0,950,2040,1883,1825
188.0,960,2060,1903,1845
190.0,970,2081,1923,1865
192.0,980,2101,1943,1885
194.0,990,2122,1963,1905
196.0,1000,2142,1983,1925
198.0,1010,2162,2003,1945
200.0,1020,2182,2023,1965
202.0,1030,2203,2043,1985
204.0,1040,2223,2063,2005
206.0,1050,2243,2083,2025
208.0,1060,2263,2103,2045
210.0,1070,2283,2123,2065
212.0,1080,2303,2143,2085
214.0,1090,2323,2163,2105
216.0,1100,2343,2183,2125
218.0,1110,2363,2203,2145
220.0,1120,2383,2223,2165
222.0,1130,2403,2243,2185
224.0,1140,2423,2263,2205
226.0,1150,2443,2283,2225
228.0,1160,2463,2303,2245
230.0,1170,2483,2323,2265
232.0,1180,2503,2343,2285
234.0,1190,2524,2363,2305
236.0,1200,2544,2383,2325
238.0,1210,2564,2403,2345
240.0,1220,2584,2423,2365
242.0,1230,2604,2443,2385
244.0,1240,2625,2463,2405
246.0,1250,2646,2483,2425
248.0,1260,2665,2502,2444
250.0,1270,2685,2522,2464
252.0,1280,2706,2542,2484
254.0,1290,2726,2562,2504
256.0,1300,2746,2582,2524
258.0,1310,2766,2601,2543
260.0,1320,2786,2621,2563
262.0,1330,2806,2641,2583
264.0,1340,2826,2661,2603
266.0,1350,2847,2681,2623
268.0,1360,2867,2701,2643
270.0,1370,2887,2721,2663
272.0,1380,2907,2741,2683
274.0,1390,2927,2761,2703
276.0,1400,2947,2781,2723
