t,own_known,merged_known,total
1.1,0,0,45369
2.0,23,23,45369
3.0,3146,3163,45369
4.0,4698,5780,45369
5.0,5279,7018,45369
6.0,5859,7556,45369
7.0,6335,8167,45369
8.0,6592,8610,45369
9.0,6968,9113,45369
10.0,7394,9555,45369
11.0,7785,10660,45369
12.0,8136,11476,45369
13.0,8552,12390,45369
14.0,8937,13196,45369
15.0,9662,13888,45369
16.0,10443,14422,45369
17.0,11265,15144,45369
18.0,11957,15909,45369
19.0,12590,16723,45369
20.0,13174,17579,45369
21.0,13679,18399,45369
22.0,14231,19250,45369
23.0,14806,20050,45369
24.0,15353,20891,45369
25.0,15985,21652,45369
26.0,16582,22357,45369
27.0,17270,23037,45369
28.0,17951,23800,45369
29.0,18645,24617,45369
30.0,19285,25453,45369
31.0,19854,26325,45369
32.0,20377,27178,45369
33.0,20822,28006,45369
34.0,21143,28768,45369
35.0,21628,29580,45369
36.0,22036,30321,45369
37.0,22462,30893,45369
38.0,22964,31346,45369
39.0,23403,31659,45369
40.0,24186,32109,45369
41.0,24880,32264,45369
42.0,25252,32571,45369
43.0,25616,32799,45369
44.0,25820,32920,45369
45.0,25928,32998,45369
46.0,26123,33088,45369
47.0,26334,33188,45369
48.0,26415,33226,45369
49.0,26537,33255,45369
50.0,26654,33294,45369
51.0,26718,33324,45369
52.0,26792,33368,45369
53.0,26849,33416,45369
54.0,26916,33496,45369
55.0,26941,33576,45369
56.0,27030,33725,45369
57.0,27104,33881,45369
58.0,27166,34024,45369
59.0,27293,34232,45369
60.0,27436,34392,45369
61.0,27620,34636,45369
62.0,27770,34933,45369
63.0,27971,35141,45369
64.0,28134,35442,45369
65.0,28393,35784,45369
66.0,28647,36006,45369
67.0,28863,36310,45369
68.0,29129,36499,45369
69.0,29427,36610,45369
70.0,29765,36751,45369
71.0,30103,36897,45369
72.0,30325,37029,45369
73.0,30681,37232,45369
74.0,30906,37365,45369
75.0,31068,37488,45369
76.0,31146,37550,45369
77.0,31200,37590,45369
78.0,31235,37613,45369
79.0,31262,37634,45369
80.0,31284,37645,45369
81.0,31287,37648,45369
82.0,31294,37654,45369
83.0,31297,37659,45369
84.0,31309,37666,45369
85.0,31311,37669,45369
86.0,31310,37669,45369
87.0,31310,37674,45369
88.0,31313,37678,45369
89.0,31312,37687,45369
90.0,31312,37689,45369
91.0,31314,37695,45369
92.0,31316,37695,45369
93.0,31326,37695,45369
94.0,31330,37695,45369
95.0,31325,37695,45369
96.0,31331,37695,45369
97.0,31335,37695,45369
98.0,31349,37696,45369
99.0,31346,37696,45369
100.0,31354,37700,45369
101.0,31388,37705,45369
102.0,31446,37713,45369
103.0,31505,37741,45369
104.0,31694,37889,45369
105.0,31982,38115,45369
106.0,32332,38458,45369
107.0,32728,38709,45369
108.0,33184,39163,45369
109.0,33684,39680,45369
110.0,34167,40083,45369
111.0,34629,40724,45369
112.0,35084,41343,45369
113.0,35476,41677,45369
114.0,35865,42076,45369
115.0,36146,42376,45369
116.0,36570,42606,45369
117.0,36923,42719,45369
118.0,37113,42898,45369
119.0,37313,43024,45369
120.0,37444,43101,45369
121.0,37515,43131,45369
122.0,37572,43190,45369
123.0,37609,43212,45369
124.0,37629,43231,45369
125.0,37668,43245,45369
126.0,37706,43275,45369
127.0,37728,43286,45369
128.0,37745,43305,45369
129.0,37779,43325,45369
130.0,37817,43333,45369
131.0,37850,43340,45369
132.0,37945,43344,45369
133.0,38022,43350,45369
134.0,38084,43356,45369
135.0,38124,43364,45369
136.0,38152,43376,45369
137.0,38183,43392,45369
138.0,38195,43403,45369
139.0,38196,43413,45369
140.0,38204,43422,45369
141.0,38212,43434,45369
142.0,38228,43434,45369
143.0,38246,43435,45369
144.0,38257,43435,45369
145.0,38259,43437,45369
146.0,38264,43437,45369
147.0,38267,43438,45369
148.0,38276,43438,45369
149.0,38275,43439,45369
150.0,38276,43440,45369
151.0,38273,43450,45369
152.0,38321,43509,45369
153.0,38367,43560,45369
154.0,38408,43617,45369
155.0,38430,43654,45369
156.0,38444,43680,45369
157.0,38473,43703,45369
158.0,38473,43708,45369
159.0,38477,43713,45369
160.0,38468,43721,45369
161.0,38468,43724,45369
162.0,38485,43725,45369
163.0,38487,43729,45369
164.0,38487,43729,45369
165.0,38488,43728,45369
166.0,38489,43730,45369
167.0,38490,43731,45369
168.0,38495,43732,45369
169.0,38497,43733,45369
170.0,38494,43733,45369
171.0,38490,43734,45369
172.0,38493,43734,45369
173.0,38494,43735,45369
174.0,38497,43735,45369
175.0,38500,43735,45369
176.0,38505,43735,45369
177.0,38506,43735,45369
178.0,38508,43736,45369
179.0,38513,43736,45369
180.0,38511,43737,45369
181.0,38515,43738,45369
182.0,38514,43738,45369
183.0,38524,43740,45369
184.0,38527,43740,45369
185.0,38533,43741,45369
186.0,38533,43741,45369
187.0,38536,43741,45369
188.0,38535,43741,45369
189.0,38540,43741,45369
190.0,38542,43740,45369
191.0,38544,43740,45369
192.0,38539,43739,45369
193.0,38541,43739,45369
194.0,38545,43739,45369
195.0,38549,43740,45369
196.0,38550,43740,45369
197.0,38553,43740,45369
198.0,38544,43739,45369
199.0,38535,43740,45369
200.0,38523,43740,45369
201.0,38531,43740,45369
202.0,38542,43740,45369
203.0,38556,43740,45369
204.0,38559,43740,45369
205.0,38559,43741,45369
206.0,38554,43741,45369
207.0,38553,43741,45369
208.0,38555,43741,45369
209.0,38551,43741,45369
210.0,38554,43741,45369
211.0,38553,43741,45369
212.0,38551,43741,45369
213.0,38546,43739,45369
214.0,38548,43739,45369
215.0,38550,43739,45369
216.0,38551,43739,45369
217.0,38550,43739,45369
218.0,38557,43739,45369
219.0,38563,43739,45369
220.0,38562,43740,45369
221.0,38567,43741,45369
222.0,38565,43739,45369
223.0,38564,43738,45369
224.0,38567,43739,45369
225.0,38567,43739,45369
226.0,38555,43739,45369
227.0,38559,43739,45369
228.0,38554,43739,45369
229.0,38558,43739,45369
230.0,38560,43738,45369
231.0,38559,43738,45369
232.0,38554,43738,45369
233.0,38558,43738,45369
234.0,38555,43739,45369
