t,gt_x,gt_y,dr_x,dr_y,cdr_x,cdr_y,fused_x,fused_y,P_trace,fb_x,fb_y,b_hat,b_true
1.5,-10.2,-12.8,-10.2,-12.8,-10.2,-12.8,-10.247,-12.753,0.04002,-10.247,-12.753,0.0,-0.0778
2.0,-10.2,-12.8,-10.199,-12.799,-10.199,-12.799,-10.232,-12.759,0.04002,-10.232,-12.759,-0.0,-0.0778
2.5,-10.207,-12.787,-10.205,-12.789,-10.205,-12.789,-10.233,-12.74,0.04003,-10.233,-12.74,-0.0,-0.0778
3.0,-10.229,-12.738,-10.223,-12.742,-10.224,-12.743,-10.244,-12.69,0.04006,-10.244,-12.69,-0.0,-0.0778
3.5,-10.217,-12.583,-10.208,-12.598,-10.208,-12.598,-10.246,-12.527,0.04024,-10.246,-12.527,-0.0003,-0.0778
4.0,-10.131,-12.381,-10.127,-12.415,-10.127,-12.416,-10.14,-12.291,0.04054,-10.14,-12.29,-0.0021,-0.0778
4.5,-9.98,-12.161,-9.987,-12.211,-9.985,-12.213,-9.958,-12.043,0.041,-9.956,-12.04,-0.0054,-0.0778
5.0,-9.773,-11.908,-9.794,-11.974,-9.789,-11.978,-9.774,-11.807,0.0418,-9.772,-11.803,-0.0051,-0.0778
5.5,-9.573,-11.682,-9.607,-11.762,-9.601,-11.769,-9.576,-11.562,0.04219,-9.57,-11.554,-0.0102,-0.0778
6.0,-9.303,-11.403,-9.356,-11.5,-9.345,-11.511,-9.308,-11.27,0.04366,-9.295,-11.256,-0.0162,-0.0778
6.5,-9.062,-11.16,-9.133,-11.273,-9.123,-11.283,-9.042,-11.023,0.04546,-9.018,-10.995,-0.0255,-0.0778
7.0,-8.808,-10.886,-8.902,-11.018,-8.892,-11.028,-8.756,-10.736,0.04794,-8.712,-10.683,-0.0407,-0.0778
7.5,-8.679,-10.601,-8.792,-10.757,-8.781,-10.768,-8.637,-10.481,0.04986,-8.59,-10.418,-0.0403,-0.0778
8.0,-8.71,-10.253,-8.822,-10.44,-8.814,-10.451,-8.658,-10.141,0.05032,-8.607,-10.059,-0.0471,-0.0778
8.5,-8.78,-9.955,-8.882,-10.168,-8.876,-10.179,-8.694,-9.852,0.04984,-8.644,-9.748,-0.0544,-0.0778
9.0,-8.718,-9.804,-8.818,-10.033,-8.815,-10.043,-8.665,-9.713,0.04984,-8.614,-9.619,-0.049,-0.0778
